Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,Clustered Local Degree,DIL Centrality,I-GSM Values,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.028153153,0.04545473,0.743302459,125,899.0205239,288.7749868,16.85453323,0.006531713,63,337,0.007462808,0.040156544,0.06,104.94,394.2924659,258.4006439,335,14494.55191,2475,848,0.000278242,4849,0.125,254.5454545,17.5,4.154950453,0.201620976,50,54.6,0.001046642,4566.616223,727.3202851,-0.069873427,62161.23948,0.100490228,0.065938426,349,1760.461208,5994512,31.48181818,3837.014372,124,646,7676.75,5,0.915750347,2637.112281,714.8400458,-5038.278131,4
2,0.003378378,0.000203959,-0.128571429,0,725.9090333,208.3713849,1.63163398,0.000911585,8,76,9.55E-05,0.008685691,0.333333333,38.66666667,5.512820513,119.1519803,48,1100.090392,87,70,0.000233699,1227,0.111111111,8.590909091,2.4,0.527771737,0.1224492,41,13.4,0.000117016,879.1839181,73.23250573,-0.481288889,1899.690078,0.010493959,0.000936129,138,1396.187333,129360,4.06,539.4221561,32,112.5,907.5,2,0.051086213,67.32802047,16.29065533,-9790.778849,2
3,0.009009009,0.009363894,0.146886241,0,862.7242445,252.5359834,5.154697511,0.001974878,26,198,0.001622333,0.009809262,0.25,80,51.31278679,212.6602362,188,4281.967721,512,200,0.000271739,2906,0.125,41.36363636,6.5,1.732102564,0.164608444,48,30.4,0.000829394,2263.195076,287.2069398,-0.20184128,20319.47313,0.038484929,0.02156425,284,1684.232253,1155900,10.08575758,1554.077954,72,476,4525,5,0.280583859,451.4074145,364.1212991,-6401.257915,4
4,0.010135135,0.001160764,0.213000725,0,729.8100887,218.9346194,4.948726161,0.002171067,29,208,0.00196589,0.016867023,0.25,85,55.01522922,155.2641542,192,3520.560652,612,226,0.000230894,2732,0.111111111,48.68181818,6.9,1.448155774,0.165179102,47,32.6,0.000147394,2127.683739,236.6376179,-0.205430309,19005.68829,0.03200186,0.004274428,194,1404.902697,635060,12.55242424,1384.672354,77,398,2921,5,0.231061269,393.0295603,72.11643751,-6212.884165,4
5,0.004504505,0.002368543,-0.031034483,4,706.3973297,204.7513077,2.12545041,0.001228275,11,97,0.000248103,0.000173058,0.166666667,42,12.05740741,119.2040054,56.5,1413.733034,144,92,0.00022748,1474,0.111111111,13.68181818,3.4,0.587911317,0.132384808,43,16.8,0.000106858,1247.714062,88.87937309,-0.271701563,3734.200138,0.013748694,0.001175443,149,1359.765548,181194,4.31,643.7176756,40,128.5,1243.25,2,0.067621779,141.9725688,20.15425713,-9051.473237,2
6,0.013513514,0.010199449,0.219236939,0,861.4678103,259.2175548,7.784204217,0.002492997,44,388,0.002996562,0.002603999,0.106060606,123.8787879,264.9099115,262.9285886,379,6782.43842,1344,380,0.000262536,6262,0.111111111,106.9090909,9.3,2.850638905,0.269290148,77,52,0.000748774,5631.855811,480.8852756,-0.111351025,68108.66984,0.067384496,0.032946066,533,1673.230867,3019100,14.14452381,2613.605703,124,869,8136,6,0.626775219,1657.410692,400.715358,-4701.930341,4
7,0.002252252,0,-0.744107744,0,691.4339422,198.9157429,1.03994912,0.000596902,8,92,0.000439011,0.005966669,1,68,2,112.2310073,50.5,679.0949209,68,74,0.000223614,1258,0.111111111,5.568181818,2,0.496723347,0.12992327,43,14.8,5.99E-05,462.792337,71.27073962,-0.579041975,2286.574882,0.01033193,0.000479407,139,1331.232405,136789,2.31,413.6647981,36,120.5,1044,2,0.043365873,12.10398549,14.37304205,-10231.11417,2
8,0.001126126,0,-0.923076923,0,686.435201,196.7438448,0.51611332,0.000391742,4,63,0.000782569,0.001164566,0,25,1,102.5198826,19.5,329.9346827,25,52,0.000223164,949,0.111111111,2.227272727,1,0.317871602,0.116250627,40,10.6,5.25E-05,949,39.8571552,-1,551.8191618,0.006094788,0.000210114,123,1321.593311,82940,1.06,258.4006439,26,49.5,646,1,0.017573948,38.16952022,7.474051542,-13647.23483,1
9,0.003378378,9.80E-05,-0.30952381,0,691.1585965,199.883536,1.556612754,0.000848384,10,87,9.55E-05,0.002365817,0.333333333,42.66666667,6.912820513,109.5282453,75.75,1008.220715,96,76,0.000223364,1281,0.111111111,8.590909091,3,0.580750337,0.126801619,42,14.6,6.02E-05,917.8766088,79.94250585,-0.428819753,2605.109237,0.011232025,0.000602351,131,1328.750622,134178,3.893333333,498.5069899,35,170.25,1060.75,3,0.062580258,65.45938309,14.30705679,-9189.292741,3
10,0.002252252,0,-0.525925926,0,688.0429888,198.0810234,1.03452302,0.000650067,6,71,0.000439011,0.008685691,1,56,2,105.3172207,42.5,664.4249209,56,62,0.000223264,1046,0.111111111,5.090909091,2,0.445288606,0.121218431,41,12.4,5.84E-05,384.8018955,60.63112923,-0.714844444,1219.25639,0.00887947,0.000350408,124,1324.41709,102641,2.393333333,377.5526242,30,104,758.5,2,0.03726422,10.82872848,10.53094133,-10970.01401,2
