Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.033707865,0.166496425,0.166666667,3,24.62155829,16.28278342,0.786256063,0.014996059,5,13,0.020365169,7,13.35519882,7,13.5,38.75208996,21,26,0.000990099,45,0.043478261,3.818181818,2.4,4.3,1.233333333,4,4.6,0.016003714,13.3,-0.333333333,81.68456941,0.168197988,0.080018572,17,33.11067606,2210,3,36.42773995,10,19,46.5,2,9.563964195,28.5,3.141523328,-456.4238145,2
2,0.011235955,0,-0.5,0,19.91798322,12.24582029,0.211960285,0.005915682,2,5,0.000702247,1,8.009307167,3,3,7.920807441,3,8,0.000910747,19,0.041666667,0.477272727,1,1.666666667,0.433333333,1,1.8,0.00625067,4.9,-1,6.621829941,0.061656524,0.01250134,9,26.85515657,320,1,13.35519882,4,4.5,19,1,1.762901022,4.5,1.644773042,-505.8089545,1
3,0.033707865,0.137895812,0.066666667,0,24.96310921,16.04520317,0.779665103,0.014230446,6,15,0.020365169,8.333333333,14.19645204,8,16.5,41.19311096,24,28,0.00093985,51,0.041666667,4.056818182,2.1,5.05,1.416666667,5,5,0.013045069,14,-0.333333333,108.9127592,0.177440894,0.078270416,19,33.09039996,2604,3,37.35772191,11,21.5,54.5,2,11.02678093,32.25,3.214626561,-470.3633551,2
4,0.033707865,0.231358529,0.066666667,0,25.13529004,16.83051726,0.815245413,0.01506871,5,13,0.020365169,8.333333333,14.22198073,8,13.5,41.26718624,24,28,0.00105042,47,0.045454545,4.056818182,2.4,4.283333333,1.216666667,3,5,0.021679337,12.6,-0.333333333,97.44825824,0.163977151,0.108396687,17,34.41685503,2380,3,35.84393915,11,20.5,42.25,2,10.19057819,30.75,3.190062099,-437.5063569,2
5,0.033707865,0.166496425,0.166666667,3,24.55738856,16.21304298,0.782961441,0.014995914,5,13,0.020365169,7,13.32786723,7,13.5,38.6727833,21,26,0.000982318,45,0.043478261,3.818181818,2.4,4.3,1.233333333,4,4.6,0.011559467,13.3,-0.333333333,81.68456941,0.168197988,0.057797335,17,32.96736355,2210,3,36.34959637,10,19,46.5,2,9.413475406,28.5,3.141523328,-458.7839344,2
6,0.011235955,0,-0.5,0,19.86457927,12.19032883,0.211039571,0.005915637,2,5,0.000702247,1,7.989038753,3,3,7.900762985,3,8,0.000904159,19,0.041666667,0.477272727,1,1.666666667,0.433333333,1,1.8,0.00451541,4.9,-1,6.621829941,0.061656524,0.009030821,9,26.73829194,320,1,13.32786723,4,4.5,19,1,1.735908124,4.5,1.644773042,-507.9396602,1
7,0.033707865,0.137895812,0.066666667,0,24.90910858,15.98654161,0.77690296,0.014230381,6,15,0.020365169,8.333333333,14.17572818,8,16.5,41.13297759,24,28,0.000932836,51,0.041666667,4.056818182,2.1,5.05,1.416666667,5,5,0.009432313,14,-0.333333333,108.9127592,0.177440894,0.056593878,19,32.97090927,2604,3,37.29835997,11,21.5,54.5,2,10.8952045,32.25,3.214626561,-472.6538752,2
8,0.033707865,0.231358529,0.066666667,0,25.05773081,16.74617641,0.811244684,0.015068356,5,13,0.020365169,8.333333333,14.18482944,8,13.5,41.15938625,24,28,0.001041667,47,0.045454545,4.056818182,2.4,4.283333333,1.216666667,3,5,0.01564505,12.6,-0.333333333,97.44825824,0.163977151,0.078225252,17,34.24164142,2380,3,35.73738993,11,20.5,42.25,2,9.980014095,30.75,3.190062099,-439.9679674,2
9,0.033707865,0.066649642,0.166666667,3,22.85925393,15.09543107,0.725405177,0.015253235,5,13,0.020365169,7,12.45008175,7,13.5,36.12575858,21,26,0.000849618,43,0.038461538,3.818181818,2.4,4.133333333,1.233333333,4,4.6,0.007285025,11.9,-0.333333333,68.78700582,0.154734245,0.036425124,15,30.35365979,2015,3,32.66401944,10,18,41.5,2,8.988526897,27,3.138092691,-486.3672256,2
10,0.011235955,0,-0.5,0,18.50817115,11.3558332,0.196191505,0.005988613,2,5,0.000702247,1,7.531185216,3,3,7.447968551,3,8,0.000790514,17,0.037037037,0.477272727,1,1.666666667,0.433333333,1,1.8,0.002845966,4.9,-1,6.621829941,0.061656524,0.005691931,9,24.80481492,312,1,12.45008175,4,4.5,18,1,1.710141028,4.5,1.644716395,-532.9850638,1
