Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.1875,0.18181818181818182,0.2,0.07692307692307693,0.5714285714285714
10,0.34375,0.3333333333333333,0.4375,0.3333333333333333,0.375
15,0.5625,0.6521739130434783,0.48,0.5416666666666666,0.6363636363636364
20,0.71875,0.7857142857142857,0.6129032258064516,0.7142857142857143,0.6785714285714286
25,0.875,0.875,0.875,0.875,0.875
30,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
