Lambda,Kendall_Tau,P_Value
0.0068,0.8251530467232451,2.209402804381235e-252
0.0083,0.8213910053087591,7.418628180328536e-251
0.0098,0.8190020382074901,6.816239681983639e-250
0.0113,0.8043526358199672,1.9006470567610103e-241
0.0128,0.8046312825638702,7.9723934224214e-242
0.0143,0.8102931102269306,2.1702105216010174e-245
0.0158,0.8223969489154345,8.327616412073824e-253
0.0173,0.8423251744317486,3.5845487297114907e-265
0.0188,0.8491243128281702,1.8320829523353757e-269
0.0203,0.8673575927343437,4.141580036707704e-281
