Lambda,Kendall_Tau,P_Value
0.0292,0.7141669110448019,2.1270670546817003e-219
0.0357,0.7261809148346037,7.423254601860287e-228
0.0422,0.729778408359982,7.630770420229489e-231
0.0486,0.7313231068898959,2.0971433266272436e-232
0.0551,0.7288741755092399,3.3024560227054684e-231
0.0616,0.7214110848363523,6.962203828210314e-227
0.0681,0.7164570615443864,5.512129122252635e-224
0.0746,0.7248684205776907,2.2395535413404507e-229
0.0811,0.7160521209725658,6.175732352093686e-224
0.0876,0.7179308573530822,3.426845970058367e-225
