H Values,Clustering Coefficient,P Value,Local Gravity Model Centrality,Global Relative Change in Avg Degree,PE Values,Local-Global Centrality,Centrality Values,Extended Coreness,H-GSM_1,Leverage Centrality,Density Centrality,Eccentricity Centrality,HCC Value,Global Relative Change in Avg Clustering,DNC Scores,Closeness Centrality,Extended Improved Gravity Index Values,GIN Values,EHCC Value,DIL Centrality,MCGM Values,Laplacian Centrality,Second order centrality,PageRank Centrality
0.065938426,0.06,50,2475,0.007462808,0.100490228,16.85453323,727.3202851,337,288.7749868,0.743302459,254.5454545,0.125,0.201620976,0.040156544,31.48181818,0.000278242,7676.75,1760.461208,4.154950453,394.2924659,0.915750347,848,-5038.278131,0.006531713
0.000936129,0.333333333,41,87,9.55e-05,0.010493959,1.63163398,73.23250573,76,208.3713849,-0.128571429,8.590909091,0.111111111,0.1224492,0.008685691,4.06,0.000233699,907.5,1396.187333,0.527771737,5.512820513,0.051086213,70,-9790.778849,0.000911585
0.02156425,0.25,48,512,0.001622333,0.038484929,5.154697511,287.2069398,198,252.5359834,0.146886241,41.36363636,0.125,0.164608444,0.009809262,10.08575758,0.000271739,4525.0,1684.232253,1.732102564,51.31278679,0.280583859,200,-6401.257915,0.001974878
0.004274428,0.25,47,612,0.00196589,0.03200186,4.948726161,236.6376179,208,218.9346194,0.213000725,48.68181818,0.111111111,0.165179102,0.016867023,12.55242424,0.000230894,2921.0,1404.902697,1.448155774,55.01522922,0.231061269,226,-6212.884165,0.002171067
0.001175443,0.166666667,43,144,0.000248103,0.013748694,2.12545041,88.87937309,97,204.7513077,-0.031034483,13.68181818,0.111111111,0.132384808,0.000173058,4.31,0.00022748,1243.25,1359.765548,0.587911317,12.05740741,0.067621779,92,-9051.473237,0.001228275
0.032946066,0.106060606,77,1344,0.002996562,0.067384496,7.784204217,480.8852756,388,259.2175548,0.219236939,106.9090909,0.111111111,0.269290148,0.002603999,14.14452381,0.000262536,8136.0,1673.230867,2.850638905,264.9099115,0.626775219,380,-4701.930341,0.002492997
0.000479407,1.0,43,68,0.000439011,0.01033193,1.03994912,71.27073962,92,198.9157429,-0.744107744,5.568181818,0.111111111,0.12992327,0.005966669,2.31,0.000223614,1044.0,1331.232405,0.496723347,2.0,0.043365873,74,-10231.11417,0.000596902
0.000210114,0.0,40,25,0.000782569,0.006094788,0.51611332,39.8571552,63,196.7438448,-0.923076923,2.227272727,0.111111111,0.116250627,0.001164566,1.06,0.000223164,646.0,1321.593311,0.317871602,1.0,0.017573948,52,-13647.23483,0.000391742
0.000602351,0.333333333,42,96,9.55e-05,0.011232025,1.556612754,79.94250585,87,199.883536,-0.30952381,8.590909091,0.111111111,0.126801619,0.002365817,3.893333333,0.000223364,1060.75,1328.750622,0.580750337,6.912820513,0.062580258,76,-9189.292741,0.000848384
0.000350408,1.0,41,56,0.000439011,0.00887947,1.03452302,60.63112923,71,198.0810234,-0.525925926,5.090909091,0.111111111,0.121218431,0.008685691,2.393333333,0.000223264,758.5,1324.41709,0.445288606,2.0,0.03726422,62,-10970.01401,0.000650067
0.010240517,0.109090909,52,957,0.002653005,0.049238205,6.41683567,332.8027271,278,234.2570556,0.285507735,78.75,0.111111111,0.190633507,0.000348132,12.39571429,0.000240269,4730.0,1490.285089,1.928834394,195.6148623,0.380779427,306,-5497.915453,0.002631928
0.348038607,0.3,198,665,0.000591661,0.055482622,4.095135084,493.1829687,696,309.7099148,-0.308868623,54.09090909,0.142857143,0.581163678,0.001848609,6.336628444,0.000335909,22448.0,2227.40193,3.250103721,30.22328549,2.080725432,296,-6895.268422,0.001149301
0.002436887,0.3,45,215,0.000591661,0.018209154,2.668866547,132.8338248,125,207.2040323,-0.007142857,18.29545455,0.111111111,0.142320416,0.001838792,6.276666667,0.000227739,1840.75,1366.458239,0.830561018,15.2,0.101597703,116,-8051.219472,0.001377875
0.000558456,0.0,40,128,0.000248103,0.010114915,2.080906455,61.97999719,82,200.7523153,0.052298851,13.36363636,0.111111111,0.122404473,0.002392511,4.226666667,0.000223614,872.0,1330.748375,0.480197417,18.75,0.061509074,84,-9771.367934,0.001339296
0.000210114,0.0,40,25,0.000782569,0.006094788,0.51611332,39.8571552,63,196.7438448,-0.923076923,2.227272727,0.111111111,0.116250627,0.001164566,1.06,0.000223164,646.0,1321.593311,0.317871602,1.0,0.017573948,52,-13647.23483,0.000391742
0.000210114,0.0,40,25,0.000782569,0.006094788,0.51611332,39.8571552,63,196.7438448,-0.923076923,2.227272727,0.111111111,0.116250627,0.001164566,1.06,0.000223164,646.0,1321.593311,0.317871602,1.0,0.017573948,52,-13647.23483,0.000391742
0.001324776,0.5,44,184,0.000248103,0.020155262,2.196377745,139.985779,135,212.0367766,-0.333812261,15.27272727,0.111111111,0.14104492,0.004023867,4.699393939,0.000232504,1900.5,1403.271575,0.868546751,9.841269841,0.105847016,112,-7907.803137,0.001020307
0.019856737,0.3,51,310,0.000591661,0.035269793,3.301523756,264.9631666,193,254.3148716,-0.313095238,25.45454545,0.125,0.169050318,0.00056713,5.819090909,0.000277932,4842.5,1726.500955,1.62742086,29.97443609,0.251354978,154,-6914.794641,0.001207026
0.001024446,0.666666667,44,120,9.55e-05,0.016877733,1.635341256,117.8088612,117,209.5683361,-0.461904762,10.02272727,0.111111111,0.136737228,0.006234168,3.499393939,0.00023175,1685.25,1394.653594,0.734449971,4.358974359,0.083473423,92,-8805.249919,0.000808313
0.008667674,0.666666667,44,105,9.55e-05,0.019652835,1.867175917,156.5522211,103,236.8856761,-0.428571429,8.590909091,0.125,0.133660305,0.003309426,3.66,0.000265957,3021.5,1630.135797,1.058765375,4.333333333,0.102896454,82,-8974.897678,0.000821636
0.000322389,0.0,40,70,0.000439011,0.009263391,1.045768884,57.64301234,83,200.5180512,-0.759259259,6.204545455,0.111111111,0.123019857,0.001205498,2.082222222,0.000224467,738.5,1335.391752,0.405669559,3.86,0.04456036,76,-10367.59139,0.00066051
0.011458602,0.0,46,80,0.000439011,0.022780237,1.309209882,168.7113856,136,247.0335389,-0.808278867,7.318181818,0.125,0.141134374,0.001207747,2.098095238,0.000278009,4274.75,1707.910619,1.052556005,3.893333333,0.112384509,86,-9525.550516,0.00053739
0.000322389,0.0,40,70,0.000439011,0.009263391,1.045768884,57.64301234,83,200.5180512,-0.759259259,6.204545455,0.111111111,0.123019857,0.001205498,2.082222222,0.000224467,738.5,1335.391752,0.405669559,3.86,0.04456036,76,-10367.59139,0.00066051
0.000210114,0.0,40,25,0.000782569,0.006094788,0.51611332,39.8571552,63,196.7438448,-0.923076923,2.227272727,0.111111111,0.116250627,0.001164566,1.06,0.000223164,646.0,1321.593311,0.317871602,1.0,0.017573948,52,-13647.23483,0.000391742
0.000842499,0.2,42,225,0.000591661,0.01586232,2.633875172,106.5697721,116,205.0625678,-0.06984127,20.28409091,0.111111111,0.136032389,0.001522676,5.915555556,0.00022477,1206.25,1344.933949,0.716514363,28.70549451,0.102298851,120,-7796.556908,0.001375981
0.000210114,0.0,40,25,0.000782569,0.006094788,0.51611332,39.8571552,63,196.7438448,-0.923076923,2.227272727,0.111111111,0.116250627,0.001164566,1.06,0.000223164,646.0,1321.593311,0.317871602,1.0,0.017573948,52,-13647.23483,0.000391742
0.008585656,0.0,28,36,0.000439011,0.019470131,1.282306273,149.6282044,81,241.5430779,-0.482352941,3.818181818,0.125,0.082483131,0.006081088,2.371428571,0.000274574,3741.25,1677.067499,0.914732986,3.6,0.081359368,42,-10475.30524,0.000572701
1.775481416,0.038095238,226,3270,0.004027234,0.181509108,13.26363185,1495.223234,1207,354.6857965,0.184659343,257.7272727,0.142857143,0.709800655,0.003026543,16.611255,0.000358295,54214.75,2409.032535,9.853646424,877.3180835,5.213335165,676,-3620.294972,0.002568856
0.000392181,1.0,25,34,0.000439011,0.008474285,1.00927335,62.66968117,55,192.698239,-0.618181818,2.863636364,0.111111111,0.074348949,0.005715283,2.5,0.000219539,874.0,1295.139393,0.404136495,2.0,0.025705056,40,-10508.86177,0.000584307
0.007458089,0.2,49,324,0.000935218,0.030730266,3.600659796,217.3911009,183,233.4064826,-0.13997114,29.11363636,0.111111111,0.159730094,0.000991681,7.122727273,0.000250564,3361.25,1540.387902,1.316262965,50.98931624,0.218640319,150,-6450.021483,0.001383905
