H Values,Clustering Coefficient,P Value,Local Gravity Model Centrality,Global Relative Change in Avg Degree,PE Values,Local-Global Centrality,Centrality Values,Extended Coreness,H-GSM_1,Leverage Centrality,Density Centrality,Eccentricity Centrality,HCC Value,Global Relative Change in Avg Clustering,DNC Scores,Closeness Centrality,Extended Improved Gravity Index Values,GIN Values,EHCC Value,DIL Centrality,MCGM Values,Laplacian Centrality,Second order centrality,PageRank Centrality,Average Spreading Ability
0.00040063828339884685,0.06,0.12311557788944723,0.016606454558884754,0.21783090996351873,0.06038158706896089,0.1360378135422146,0.04799057617468194,0.033675110574989946,0.15905537114834417,0.9806693455338455,0.04165634492839962,0.7291666647708335,0.09884939504198431,0.73646334299061,0.24387035409183366,0.45744936177200646,0.013204527979753258,0.3355631780457171,0.040872597957046765,0.021574451590934216,0.007280058656971927,0.06274217585692995,0.8474099813388569,0.4512892581345684,0.07078039927404718
5.687850525899099e-06,0.333333333,0.10050251256281408,0.0005707839213526908,0.0,0.006028827883872106,0.010977050438140332,0.004706709734597213,0.007438681141938078,0.08562127948434159,0.4846849825602461,0.001342911902441918,0.5185185151481482,0.059177171953376656,0.1592779586377459,0.024481586994395323,0.3167834067037625,0.0015541319385730641,0.2162677927965654,0.005084568904077819,0.00024755528299657013,0.00039910482581373045,0.004769001490312966,0.6565177649785396,0.04615104030564891,0.009074410163339382
0.00013102319549540908,0.25,0.11809045226130653,0.0034247035281161444,0.04514422659570215,0.022933822598342375,0.03992009252330649,0.018866339554923717,0.019702452754322475,0.12595762136348407,0.6413850499226741,0.006714559511717872,0.7291666647708335,0.08030276768606609,0.17988460566706954,0.07269077274665253,0.43691301025080687,0.007780125612756963,0.3105990969573732,0.016967255146125706,0.0027599582425813494,0.0022254355875398635,0.014456035767511177,0.7926635968014213,0.12280065238743161,0.0323049001814882
2.59711742845861e-05,0.25,0.11557788944723618,0.004096214023825193,0.055302256358315115,0.019018408192248336,0.03822797502416608,0.015519945012598714,0.020707679935665458,0.09526887626123864,0.678995707474639,0.007914053638495478,0.5185185151481482,0.08058871897612302,0.30932617166007437,0.0924253853031769,0.3079252695336925,0.00501951915708565,0.2191219714168867,0.01416565732984174,0.0029630594252888923,0.0018313372989789826,0.01639344262295082,0.8002299465560694,0.13694333060003427,0.0323049001814882
7.141909416965006e-06,0.166666667,0.10552763819095477,0.0009535449039068482,0.004512048410784897,0.007994507457391758,0.015033903114816208,0.005742131796248139,0.009549658222758344,0.08231499625008806,0.5401709888439902,0.0021773425988104635,0.5185185151481482,0.0641558105164039,0.003153580631217917,0.026481716650800173,0.29714392183365024,0.0021319833210491513,0.20434008902413112,0.005677943867042657,0.0006065651431749998,0.0005306940310831944,0.006408345752608048,0.6862132232680633,0.06898027519215694,0.017059891107078035
0.00020017849251637812,0.106060606,0.19095477386934673,0.009011670852415422,0.0857763752133867,0.040387559549419076,0.06152229259302321,0.03168288724700796,0.038801769199839166,0.1320600236819451,0.6825433130065035,0.01745785473059759,0.5185185151481482,0.13275777279272927,0.04773780640432092,0.10516300756680252,0.40785010958194645,0.013994932290705284,0.30699627317226197,0.028003438969087236,0.01447704215994869,0.004980409075206077,0.027868852459016394,0.8609199582774851,0.16015030141380646,0.03629764065335753
2.912832412268462e-06,1.0,0.10552763819095477,0.00044319692716797166,0.010156669669909048,0.005930971346974996,0.006116178741263842,0.004576891039048872,0.009047044632086852,0.07698526735352196,0.13452380525659474,0.0008474686762426016,0.5185185151481482,0.06292235726309953,0.10941023633184291,0.010480679399561398,0.28493516664666607,0.0017890588595201554,0.19499582219589875,0.004778225938823192,5.485600020728547e-05,0.00033766674712866745,0.005067064083457525,0.6388309532650643,0.023466484046243814,0.013793103448275855
1.2766227423293407e-06,0.0,0.09798994974874373,0.00015444741401308103,0.020314728999754707,0.003371972387151167,0.0018127077786459162,0.0024981159337423113,0.0061318858061922,0.07500163278502792,0.032713307821186866,0.00029987353153049516,0.5185185151481482,0.05607112604521085,0.02133815052733543,0.00048003111753716285,0.28351407512205606,0.0011040704746341314,0.19183913292691737,0.003013562009251822,0.0,0.00013241590097561674,0.003427719821162444,0.50161669853138,0.008677113275723798,0.007622504537205081
3.6598334916169607e-06,0.333333333,0.10301507537688442,0.0006312198659665051,0.0,0.006474578846733708,0.010360728171370867,0.005150739967491599,0.00854443104141536,0.0778691706307107,0.38174629767232215,0.001342911902441918,0.5185185151481482,0.06135812767101895,0.0433694732925386,0.023148167220791924,0.28414567135521607,0.001817886888281062,0.19418306761916773,0.005607289129475618,0.00032435368328676976,0.0004905738597059755,0.005216095380029807,0.6806774701693641,0.04159506924858304,0.011978221415607983
2.1290414811544834e-06,1.0,0.10050251256281408,0.00036261566768288586,0.010156669669909048,0.005053765997429072,0.006071601673812054,0.0038728212037450207,0.006936067551266587,0.0762229026481078,0.258641262497328,0.0007692407984734168,0.5185185151481482,0.05856044532672447,0.1592779586377459,0.011147389282362842,0.28382987323863607,0.001297691563326789,0.19276388714834883,0.004270738398405033,5.485600020728547e-05,0.00028911009844182845,0.004172876304023845,0.6091517934931028,0.027298989880786117,0.009074410163339382
