Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.38461538461538464,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10,0.10416666666666667,0.6666666666666666,0.5384615384615384,1.0,0.6666666666666666
15,0.15625,0.5789473684210527,0.5,0.6363636363636364,1.0
20,0.20833333333333334,0.42857142857142855,0.5384615384615384,0.6428571428571429,0.6071428571428571
25,0.2708333333333333,0.40540540540540543,0.45714285714285713,0.5609756097560976,0.696969696969697
30,0.3229166666666667,0.4489795918367347,0.525,0.6086956521739131,0.6511627906976745
35,0.375,0.375,0.5106382978723404,0.6538461538461539,0.673469387755102
40,0.4479166666666667,0.4479166666666667,0.509090909090909,0.6885245901639344,0.6491228070175439
45,0.5,0.5,0.5245901639344263,0.7164179104477612,0.746031746031746
50,0.5625,0.5625,0.4520547945205479,0.7105263157894737,0.782608695652174
55,0.6145833333333334,0.6145833333333334,0.43373493975903615,0.7195121951219512,0.7733333333333333
60,0.6666666666666666,0.6666666666666666,0.449438202247191,0.735632183908046,0.7469879518072289
65,0.71875,0.71875,0.5319148936170213,0.7419354838709677,0.8023255813953488
70,0.7916666666666666,0.7916666666666666,0.6770833333333334,0.7916666666666666,0.8260869565217391
75,0.84375,0.84375,0.84375,0.84375,0.84375
80,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
