Lambda,Kendall_Tau,P_Value
0.0021,0.7095602781422697,4.13340582291949e-120
0.0026,0.7154725837792727,1.8842502224626903e-122
0.003,0.6986111283603922,4.325122690797823e-117
0.0035,0.6851638886870467,8.036780914900304e-113
0.0039,0.6844957837073062,1.0569478860828933e-112
0.0044,0.6708682676104323,2.1124400112419475e-108
0.0049,0.6953298999076768,2.4685097685731283e-116
0.0053,0.7216534114170517,3.370925107321203e-125
0.0058,0.7545033184593211,1.1140228884473773e-136
0.0063,0.7830852383691643,4.351546675560671e-147
