Laplacian Centrality,P Value,Coreness Centrality,Global Relative Change in Avg Clustering,Node H-Index,Volume Centrality,Local-Global Centrality,Eccentricity Centrality,Improved Gravity Index Values,Extended Degree,Local Gravity Model Centrality,Clustering Coefficient,H Values,Global Relative Change in Avg Degree,EHCC Value,Eigenvector Centrality,GIN Values,PageRank Centrality,GGC Values,Leverage Centrality,Closeness Centrality,Degree Centrality,Semi local centrality,Second order centrality,I-GSM Values
60722,76,10603,0.000639743,93,83274,765.5013824,0.5,3595590.0,10262.8,2499980,0.760782664,256.7178216,0.000298133,133.4614261,0.02421181,66516.4388,0.001309471,291914.9522,-0.35497787,0.001144165,0.201646091,12397804,-1454.196736,31472.33352
74254,124,12486,0.000388828,102,83257,931.4405041,0.5,4147415.0,12251.8,3502555,0.777574371,361.5276528,0.000706783,159.4364442,0.028954641,72000.92557,0.00147809,365485.1794,-0.298633459,0.001166861,0.236625514,14802039,-1329.232361,38830.44095
79758,141,13610,0.000642208,108,83248,1020.28691,0.5,4401057.5,12926.0,3983996,0.730133753,420.7409968,0.000923127,174.2663117,0.030914107,74416.52074,0.001566696,441518.1009,-0.265478591,0.001179245,0.255144033,15614630,-1273.025398,41703.08039
56114,56,10019,0.000618162,88,83276,740.6309061,0.5,3299798.5,9418.0,2246496,0.7625,223.1194285,0.000250057,120.1904824,0.022269631,64960.77678,0.00130894,271719.2979,-0.312555737,0.001141553,0.197530864,11372838,-1471.852309,28784.84772
59514,74,10103,0.000500194,87,83279,722.3491696,0.5,3427895.5,10210.2,2360898,0.788920056,241.0927208,0.000177942,130.8266794,0.023863478,65764.99244,0.00125503,264741.0032,-0.392178287,0.001137656,0.191358025,12337542,-1496.761324,31001.38023
199358,383,30561,0.000181054,162,83093,2881.685528,0.5,7749787.5,24415.0,16912701,0.547123591,1895.538432,0.004649053,371.0538298,0.062024752,127429.006,0.003167188,2001960.498,0.180878849,0.001443001,0.574074074,29460708,-766.8547878,107657.0611
184876,329,28640,7.96e-05,155,83105,2693.009644,0.5,7402736.25,22824.2,15128220,0.527245079,1656.236157,0.004360594,340.1298144,0.057829475,120912.8309,0.003074391,1918521.157,0.180117952,0.00141844,0.549382716,27536637,-790.8014447,98213.59267
93760,228,15466,0.000780318,119,83233,1182.530158,0.5,5305111.75,14943.4,5163850,0.715670942,554.4145421,0.001283701,204.8646129,0.035847313,80074.07077,0.001707856,556824.167,-0.234845785,0.00120048,0.28600823,18054803,-1191.28722,49660.93219
63490,88,10902,0.001086413,93,83272,786.521492,0.5,3675532.5,10738.0,2669500,0.676969697,276.1719854,0.00034621,140.4493169,0.025332231,67516.49573,0.001326218,362911.3171,-0.358241695,0.001146789,0.205761317,12973678,-1437.284953,33051.26561
374974,390,47649,0.003143306,171,82912,5652.593426,0.5,9573027.75,32858.8,37470220,0.376783177,4168.557734,0.008999972,524.5359129,0.087484685,211352.0531,0.005173651,5345902.19,0.479065131,0.001953125,0.946502058,39587938,-512.1429352,209495.7739
