Laplacian Centrality,P Value,Coreness Centrality,Global Relative Change in Avg Clustering,Node H-Index,Volume Centrality,Local-Global Centrality,Eccentricity Centrality,Improved Gravity Index Values,Extended Degree,Local Gravity Model Centrality,Clustering Coefficient,H Values,Global Relative Change in Avg Degree,EHCC Value,Eigenvector Centrality,GIN Values,PageRank Centrality,GGC Values,Leverage Centrality,Closeness Centrality,Degree Centrality,Semi local centrality,Second order centrality,I-GSM Values,Average Spreading Ability
0.1472025066821499,0.1928020565552699,0.20899084456331654,0.1742719300278509,0.532934131736527,0.8096234309623469,0.12284236931252214,1.0,0.3651452359866292,0.2989142597913201,0.062103342679805815,0.6315936706385512,0.05853458128320009,0.029597055367699337,0.24331602570722624,0.2636632680699484,0.1321584479699359,0.18375165317872114,0.04824740965038134,0.40972053673599695,0.11074956477515019,0.19542619559844573,0.2998254533729987,0.8633620534205901,0.13535736393811434,0.24794952681388013
0.18106874355560448,0.31619537275064263,0.24773171484415182,0.10586068551657764,0.5868263473053893,0.7740585774058388,0.15037977358441093,1.0,0.4225588759671856,0.3590685014365643,0.0870464399757111,0.6574537159137939,0.08247026707142396,0.07222458433334779,0.2926354630187344,0.31733442754126806,0.16230867992022088,0.21606197978283623,0.0605561852238459,0.44802867163217663,0.1329470101519863,0.23076923006972655,0.36019822128675344,0.8809932653730145,0.16833824115174512,0.18359621451104102
0.19484348252630315,0.3598971722365038,0.2708569077255426,0.17494400510395353,0.6227544910179641,0.7552301255230134,0.16512373132209143,1.0,0.4489486538474344,0.37945864206865265,0.09902422687967133,0.5843928573980102,0.09599296795002257,0.09479208739597902,0.3207933152168901,0.33950827522098276,0.17558809105343223,0.2330404270460997,0.07327698550619637,0.47057041327553206,0.1450589754122411,0.24948024927018814,0.38060320160348865,0.88892350051287,0.18121412935411038,0.16025236593059936
0.13567016707877427,0.14138817480719792,0.19697561979220246,0.1683879331851042,0.502994011976048,0.8138075313807462,0.11871514269295681,1.0,0.3343701411824635,0.27336458490851356,0.05579690568012474,0.6342384515838597,0.05086163141749294,0.02458210104847135,0.21811814236574342,0.2416850447617917,0.12360640423162109,0.18364990436377862,0.04486854586541297,0.438563021104991,0.10819494161140786,0.1912681907703459,0.27408752241471485,0.8608710302813594,0.1233113806433072,0.122397476340694
0.1441792718208483,0.18766066838046272,0.19870383705380107,0.13622430130775176,0.49700598802395207,0.8200836820083737,0.1156813097810122,1.0,0.3476977632376247,0.2973234538031151,0.05864311690307181,0.6749266224967065,0.05496623756127904,0.01705956525657673,0.238313364142099,0.2597214488651393,0.12802747218271607,0.17331981281283929,0.043701031959083786,0.3844282572119438,0.1043835455665747,0.1850311850437887,0.2983122137187974,0.8573566196904121,0.13324643354213814,0.13501577287066246
0.49416375521808337,0.9820051413881747,0.6196070363131365,0.04921170910191412,0.9461077844311379,0.4309623430962404,0.47402066731811365,1.0,0.7973612459048596,0.7269257523060638,0.4206779153568996,0.302548309065342,0.4327961819812046,0.4834548024060431,0.6944388551451266,0.6915647556333387,0.4670171333464933,0.5397224690892466,0.33434910655604094,0.7740454291636818,0.40302114508147024,0.5717255714125804,0.7282921977331287,0.9603390644487853,0.4768363610543456,0.4296529968454258
0.45791997437257864,0.8431876606683804,0.580084353461578,0.02155057126381469,0.9041916167664672,0.45606694560669325,0.44271012378361707,1.0,0.761252922573546,0.6788144563738092,0.37628175227115107,0.2719344339944838,0.3781461172188912,0.4533647635515172,0.6357226289208063,0.6440898654478441,0.43119533288772927,0.521940953495618,0.32038916431507447,0.7735281011021976,0.378999667468654,0.5467775464855615,0.6799768325826396,0.9569604328719388,0.4345083744458885,0.6712933753943217
0.22988597799645621,0.5835475578406168,0.3090422796008641,0.21259929466197897,0.6886227544910181,0.7238493723849331,0.19204780965147739,1.0,0.5430093528596066,0.4404717979736882,0.1283778544057547,0.562119425205126,0.12652033300600896,0.13240466204239948,0.37889109948261285,0.3953337697264524,0.20668971511202064,0.260089132728359,0.09256843727819757,0.4913974242189334,0.1658275140347789,0.28066527992376417,0.4418784089764828,0.900455932383337,0.21688321078529446,0.3861198738170346
0.15412991901334427,0.2236503856041131,0.2151424750540068,0.2960552055827218,0.532934131736527,0.8054393305439191,0.12633063205589792,1.0,0.3734627096678608,0.3132859519128988,0.06632083648685452,0.5025176260605686,0.06297737779053231,0.03461211399997997,0.2565841143346704,0.2763422554017794,0.1376561270906004,0.18696066900516486,0.0601255613884515,0.4075014870350865,0.11331592433933846,0.19958419941615052,0.3142862308550525,0.8657481352984566,0.14243453233832504,0.28391167192429023
0.9336740312133984,0.9999999999999999,0.9711758049583377,0.8568610958504477,1.0,0.05230125523013385,0.9338496106419443,1.0,0.9870569996520795,0.9822954786027522,0.9321291250713064,0.040215788718031,0.9518913391847396,0.9373124451313343,0.9858592478758683,0.9796762494167172,0.9283728521496389,0.9241955999290249,0.8938122125443744,0.9767800058911993,0.9019394401736986,0.94802494823711,0.9825971664234665,0.9962763358510172,0.9333029340697124,0.7173501577287066
