feature,rank
I-GSM Values,1
Gravity Model Centrality,2
H-GSM_1,3
Societal Capital Scores,4
PE Values,5
LGC Scores,6
Semi local centrality,7
Global Relative Change in Avg Degree,8
MCGM Values,9
Clustered Local Degree,10
EHCC Value,11
K-Shell Value,12
Volume Centrality,13
Isolating Centrality,14
Eccentricity Centrality,15
Global Relative Change in Avg Clustering,16
Betweenness Centrality,17
Clustering Coefficient,18
Node H-Index,19
Closeness Centrality,20
Eigenvector Centrality,21
GSM,22
DIL Centrality,23
MDD Value,24
Gravity Index Centrality,25
Improved Gravity Index Values,26
CLC Values,27
DNC Scores,28
Density Centrality,29
PageRank Centrality,30
GIN Values,31
Extended Improved Gravity Index Values,32
Subgraph centrality,33
Constraint Coefficients,34
EIGSM Values,35
GGC Values,36
Centrality Values,37
P Value,38
Degree Centrality,39
Local-Global Centrality,40
H Values,41
Laplacian Centrality,42
HVGc Index,43
Second order centrality,44
Coreness Centrality,45
Local Gravity Model Centrality,46
Leverage Centrality,47
Extended Degree,48
HCC Value,49
Extended Coreness,50
