Societal Capital Scores,Node H-Index,Eigenvector Centrality,Eccentricity Centrality,Extended Degree,Laplacian Centrality,PageRank Centrality,Degree Centrality,Second order centrality,Improved Gravity Index Values,Closeness Centrality,DNC Scores,Semi local centrality,LGC Scores,Local Gravity Model Centrality,Gravity Model Centrality,Clustered Local Degree,GIN Values,EIGSM Values,EHCC Value,MCGM Values,Constraint Coefficients,Gravity Index Centrality,P Value,H-GSM_1
10,2,0.016003714,0.043478261,4.6,26,0.014996059,0.033707865,-456.4238145,19.0,0.000990099,3,45,2210,21,38.75208996,7,33.11067606,36.42773995,4.3,9.563964195,-0.333333333,13.5,4,16.28278342
4,1,0.00625067,0.041666667,1.8,8,0.005915682,0.011235955,-505.8089545,4.5,0.000910747,1,19,320,3,7.920807441,3,26.85515657,13.35519882,1.666666667,1.762901022,-1.0,3.0,1,12.24582029
11,2,0.013045069,0.041666667,5.0,28,0.014230446,0.033707865,-470.3633551,21.5,0.00093985,3,51,2604,24,41.19311096,8,33.09039996,37.35772191,5.05,11.02678093,-0.333333333,16.5,5,16.04520317
11,2,0.021679337,0.045454545,5.0,28,0.01506871,0.033707865,-437.5063569,20.5,0.00105042,3,47,2380,24,41.26718624,8,34.41685503,35.84393915,4.283333333,10.19057819,-0.333333333,13.5,3,16.83051726
10,2,0.011559467,0.043478261,4.6,26,0.014995914,0.033707865,-458.7839344,19.0,0.000982318,3,45,2210,21,38.6727833,7,32.96736355,36.34959637,4.3,9.413475406,-0.333333333,13.5,4,16.21304298
4,1,0.00451541,0.041666667,1.8,8,0.005915637,0.011235955,-507.9396602,4.5,0.000904159,1,19,320,3,7.900762985,3,26.73829194,13.32786723,1.666666667,1.735908124,-1.0,3.0,1,12.19032883
11,2,0.009432313,0.041666667,5.0,28,0.014230381,0.033707865,-472.6538752,21.5,0.000932836,3,51,2604,24,41.13297759,8,32.97090927,37.29835997,5.05,10.8952045,-0.333333333,16.5,5,15.98654161
11,2,0.01564505,0.045454545,5.0,28,0.015068356,0.033707865,-439.9679674,20.5,0.001041667,3,47,2380,24,41.15938625,8,34.24164142,35.73738993,4.283333333,9.980014095,-0.333333333,13.5,3,16.74617641
10,2,0.007285025,0.038461538,4.6,26,0.015253235,0.033707865,-486.3672256,18.0,0.000849618,3,43,2015,21,36.12575858,7,30.35365979,32.66401944,4.133333333,8.988526897,-0.333333333,13.5,4,15.09543107
4,1,0.002845966,0.037037037,1.8,8,0.005988613,0.011235955,-532.9850638,4.5,0.000790514,1,17,312,3,7.447968551,3,24.80481492,12.45008175,1.666666667,1.710141028,-1.0,3.0,1,11.3558332
9,2,0.00550751,0.037037037,4.2,24,0.015695737,0.033707865,-489.7006729,15.5,0.000809717,3,35,1608,18,32.42578774,6,28.76174889,30.91953758,3.683333333,7.948309585,-0.333333333,12.5,3,14.58012753
11,2,0.010294929,0.04,5.0,28,0.014293165,0.033707865,-478.8606358,21.5,0.000893655,3,49,2576,24,40.50085798,8,32.24517605,36.54977956,5.05,10.92656307,-0.333333333,16.5,5,15.6745136
10,2,0.005273833,0.038461538,4.6,26,0.015253217,0.033707865,-488.582724,18.0,0.000843882,3,43,2015,21,36.0886985,7,30.26680367,32.62753062,4.133333333,8.922322705,-0.333333333,13.5,4,15.05221727
4,1,0.002060756,0.037037037,1.8,8,0.00598861,0.011235955,-535.0075497,4.5,0.000785546,1,17,312,3,7.438000831,3,24.7310949,12.43730968,1.666666667,1.698084934,-1.0,3.0,1,11.3201724
9,2,0.003986759,0.037037037,4.2,24,0.015695731,0.033707865,-491.9011578,15.5,0.000804505,3,35,1608,18,32.39588458,6,28.68637231,30.8858808,3.683333333,7.901013898,-0.333333333,12.5,3,14.54242951
11,2,0.007449576,0.04,5.0,28,0.014293141,0.033707865,-481.110703,21.5,0.000887311,3,49,2576,24,40.45412941,8,32.14396846,36.50365267,5.05,10.82333979,-0.333333333,16.5,5,15.62446576
8,1,0.01218338,0.043478261,3.8,22,0.016918055,0.033707865,-486.5920389,6.25,0.000965251,3,28,1210,15,28.29693028,5,28.66656817,27.93672731,2.95,5.305324802,-0.333333333,5.0,2,14.30398417
4,1,0.004758208,0.041666667,1.8,8,0.006460368,0.011235955,-533.1902216,4.0,0.00088968,1,14,248,3,6.781601981,3,24.51023455,9.752019316,1.3,1.342584168,-1.0,1.75,1,11.3418691
4,1,0.004758208,0.041666667,1.8,8,0.006460368,0.011235955,-533.1902216,4.0,0.00088968,1,14,248,3,6.781601981,3,24.51023455,9.752019316,1.3,1.342584168,-1.0,1.75,1,11.3418691
8,1,0.008793616,0.043478261,3.8,22,0.016917877,0.033707865,-488.8065183,6.25,0.000957854,3,28,1210,15,28.21762362,5,28.52325567,27.85903918,2.95,5.219458386,-0.333333333,5.0,2,14.23653009
4,1,0.003434639,0.041666667,1.8,8,0.006460312,0.011235955,-535.2119322,4.0,0.000883392,1,14,248,3,6.761557525,3,24.39336992,9.724687727,1.3,1.324396768,-1.0,1.75,1,11.28637764
4,1,0.003434639,0.041666667,1.8,8,0.006460312,0.011235955,-535.2119322,4.0,0.000883392,1,14,248,3,6.761557525,3,24.39336992,9.724687727,1.3,1.324396768,-1.0,1.75,1,11.28637764
9,2,0.047510287,0.05,4.2,24,0.015363444,0.033707865,-386.9486797,16.0,0.001182033,3,36,1692,18,36.60731254,6,34.76942668,35.5428199,4.066666667,9.610805477,-0.333333333,13.0,4,17.351748
8,2,0.025633497,0.047619048,3.6,18,0.010460014,0.02247191,-417.6348895,16.0,0.001106195,2,35,1197,12,23.88905491,6,33.31176423,24.70621644,3.166666667,6.736429126,-0.5,11.0,3,15.80415974
11,2,0.077479636,0.052631579,5.0,28,0.014595277,0.033707865,-347.9191885,20.5,0.001269036,3,48,2380,24,44.19396578,8,38.19713472,38.88270401,5.183333333,13.03170516,-0.333333333,16.0,6,18.58169067
4,1,0.018552704,0.047619048,1.8,8,0.006020011,0.011235955,-444.1275501,4.25,0.001070664,1,17,284,3,8.009752007,3,28.6478017,12.61604052,1.583333333,1.900102151,-1.0,3.0,1,13.17153176
9,2,0.018131902,0.045454545,4.2,24,0.015667852,0.033707865,-440.4958825,16.5,0.001042753,3,36,1776,18,35.08143841,6,32.31255025,34.4788459,3.75,8.633006035,-0.333333333,12.5,3,16.25674771
4,1,0.007080793,0.043478261,1.8,8,0.006106669,0.011235955,-491.484102,4.25,0.00095511,1,18,288,3,7.618883381,3,26.70076763,12.09017592,1.483333333,1.718596688,-1.0,3.0,1,12.32866429
12,3,0.013716527,0.043478261,5.4,30,0.015413898,0.033707865,-457.889119,22.5,0.000987167,3,51,2715,27,42.25352278,9,33.30145432,34.27411459,4.35,10.62458602,-0.333333333,14.0,3,16.33262337
9,2,0.034243874,0.05,4.2,24,0.015361702,0.033707865,-389.7297534,16.0,0.00117096,3,36,1692,18,36.38125181,6,34.48596337,35.31559362,4.066666667,9.162801409,-0.333333333,13.0,4,17.21963317
8,2,0.018478807,0.047619048,3.6,18,0.010459418,0.02247191,-420.2129234,16.0,0.001096491,2,35,1197,12,23.78756344,6,33.09476579,24.59115745,3.166666667,6.526590911,-0.5,11.0,3,15.70228387
11,2,0.055840012,0.052631579,5.0,28,0.014591555,0.033707865,-351.009632,20.5,0.001256281,3,48,2380,24,43.83408152,8,37.81516791,38.5100151,5.183333333,12.18726801,-0.333333333,16.0,6,18.40818228
4,1,0.013372433,0.047619048,1.8,8,0.006019524,0.011235955,-446.5526629,4.25,0.001061571,1,17,284,3,7.959006272,3,28.43320101,12.53813282,1.583333333,1.817013876,-1.0,3.0,1,13.07299578
9,2,0.01307541,0.045454545,4.2,24,0.015667447,0.033707865,-442.9408792,16.5,0.001034126,3,36,1776,18,34.97363842,6,32.13733664,34.37289735,3.75,8.469960102,-0.333333333,12.5,3,16.17240687
4,1,0.005106374,0.043478261,1.8,8,0.006106561,0.011235955,-493.6766376,4.25,0.000947867,1,18,288,3,7.592447828,3,26.56060472,12.05302462,1.483333333,1.688274355,-1.0,3.0,1,12.26269266
12,3,0.009895969,0.043478261,5.4,30,0.015413752,0.033707865,-460.2417248,22.5,0.000979432,3,51,2715,27,42.17421612,9,33.15814182,34.19551557,4.35,10.48814256,-0.333333333,14.0,3,16.26288293
9,2,0.048289757,0.05,4.2,24,0.015250783,0.033707865,-385.8164641,16.0,0.001187648,3,38,1716,18,37.14522449,6,35.19119024,36.1628382,4.066666667,9.637444628,-0.333333333,13.0,4,17.49512347
4,1,0.018857255,0.047619048,1.8,8,0.005987726,0.011235955,-443.1414492,4.25,0.001075269,1,17,284,3,8.10491861,3,28.92788059,12.80142203,1.583333333,1.90504242,-1.0,3.0,1,13.26620118
8,2,0.027323978,0.047619048,3.6,18,0.010257024,0.02247191,-415.5346286,17.0,0.001113586,2,35,1314,12,24.91360895,6,34.23929147,27.02340276,3.333333333,7.022161144,-0.5,11.0,3,16.09625296
9,2,0.034808953,0.05,4.2,24,0.015249051,0.033707865,-388.6056407,16.0,0.001176471,3,38,1716,18,36.91916375,6,34.90772693,35.93561191,4.066666667,9.181652699,-0.333333333,13.0,4,17.36300864
4,1,0.013593286,0.047619048,1.8,8,0.005987241,0.011235955,-445.5719291,4.25,0.001066098,1,17,284,3,8.054172876,3,28.7132799,12.72351433,1.583333333,1.82051595,-1.0,3.0,1,13.16766519
8,2,0.019703844,0.047619048,3.6,18,0.010256444,0.02247191,-418.1256122,17.0,0.001103753,2,35,1314,12,24.81211748,6,34.02229303,26.90834377,3.333333333,6.794195383,-0.5,11.0,3,15.99437708
9,2,0.006426969,0.04,4.2,24,0.015877439,0.033707865,-482.9683164,15.5,0.000888889,3,36,1620,18,32.76998308,6,29.64648889,31.1490172,3.583333333,7.976990847,-0.333333333,12.5,3,15.05317801
4,1,0.002510261,0.038461538,1.8,8,0.006164592,0.011235955,-529.8852655,4.25,0.000824402,1,16,280,3,7.18529758,3,24.67243915,11.29357513,1.483333333,1.648815257,-1.0,3.0,1,11.41210631
10,2,0.009282959,0.041666667,4.6,26,0.01573767,0.033707865,-472.711719,18.5,0.000933707,3,41,2080,21,36.52553443,7,31.19000227,33.47012932,3.916666667,9.05457272,-0.333333333,13.0,3,15.61191679
8,2,0.004661807,0.038461538,3.6,18,0.010611365,0.02247191,-488.9463378,16.0,0.00084674,2,32,1170,12,22.09467238,6,29.26845162,22.46852962,3.066666667,6.1307347,-0.5,11.0,3,13.94508443
9,2,0.004643178,0.04,4.2,24,0.015877414,0.033707865,-485.199335,15.5,0.000882613,3,36,1620,18,32.72325451,6,29.5452813,31.103171,3.583333333,7.921432855,-0.333333333,12.5,3,15.00313016
4,1,0.001813787,0.038461538,1.8,8,0.006164581,0.011235955,-531.9195377,4.25,0.000819001,1,16,280,3,7.172944221,3,24.58749188,11.27747098,1.483333333,1.63830779,-1.0,3.0,1,11.3712278
10,2,0.006701065,0.041666667,4.6,26,0.015737592,0.033707865,-474.990915,18.5,0.000926784,3,41,2080,21,36.46540106,7,31.07051159,33.41094336,3.916666667,8.969321826,-0.333333333,13.0,3,15.55325522
8,2,0.0033716,0.038461538,3.6,18,0.010611348,0.02247191,-491.1502023,16.0,0.000841043,2,32,1170,12,22.06996567,6,29.18255523,22.4421199,3.066666667,6.094397906,-0.5,11.0,3,13.90282035
11,2,0.322319111,0.0625,5.0,28,0.013661111,0.033707865,-308.6337968,22.0,0.001272265,3,57,2786,24,44.64313244,8,37.53863974,42.85769518,6.733333333,25.42832345,-0.333333333,16.5,10,17.82404008
8,2,0.233089571,0.066666667,3.6,18,0.009402593,0.02247191,-322.2286318,18.0,0.001269036,2,41,1485,12,26.32610547,6,35.99710702,30.39408033,5.5,15.27313093,-0.5,12.0,10,16.47888282
11,2,0.338128155,0.066666667,5.0,28,0.013409922,0.033707865,-292.9245987,23.0,0.001396648,3,58,2982,24,47.51580585,8,40.14561706,46.44656436,7.4,26.97897349,-0.333333333,17.0,10,18.9650503
10,2,0.254209059,0.058823529,4.6,26,0.014814099,0.033707865,-338.8772074,18.5,0.001157407,3,45,2132,21,37.78933418,7,33.51850502,36.01087237,4.716666667,19.17231884,-0.333333333,13.5,4,16.31828277
11,2,0.274599732,0.0625,5.0,28,0.013645839,0.033707865,-310.3785117,21.5,0.001265823,3,54,2646,24,43.54979911,8,36.91830267,40.93507227,6.65,22.64493506,-0.333333333,16.5,10,17.58022271
11,2,0.286802383,0.066666667,5.0,28,0.013393847,0.033707865,-294.762312,22.5,0.001388889,3,55,2842,24,46.42247252,8,39.52527999,44.52394144,7.316666667,23.91649544,-0.333333333,17.0,10,18.72123294
9,2,0.18332996,0.058823529,4.2,24,0.014776371,0.033707865,-342.0493557,15.5,0.001146789,3,37,1620,18,33.303892,6,31.80519311,32.82364786,4.383333333,14.62440463,-0.333333333,13.0,4,15.72364628
9,2,0.185301208,0.058823529,4.2,24,0.014851498,0.033707865,-310.1737605,16.5,0.001347709,3,41,1836,18,39.22724452,6,37.32690627,38.89848248,5.25,15.07665251,-0.333333333,13.0,8,18.29657355
4,1,0.072358064,0.055555556,1.8,8,0.005874828,0.011235955,-379.1144441,4.25,0.001204819,1,18,288,3,8.486578022,3,30.49862965,13.51895214,1.983333333,2.872760088,-1.0,3.0,1,13.87071313
8,2,0.102613549,0.055555556,3.6,18,0.010010052,0.02247191,-328.7670326,17.0,0.001308901,2,36,1323,12,26.33862827,6,37.04385895,28.7495939,4.433333333,9.612946514,-0.5,11.5,7,17.31074025
12,3,0.299564834,0.0625,5.4,30,0.013897644,0.033707865,-294.088017,24.0,0.001381215,3,60,3135,27,48.89811835,9,40.20993712,43.47478601,6.6,25.24604223,-0.333333333,17.0,9,19.03735219
9,2,0.133517966,0.058823529,4.2,24,0.014832389,0.033707865,-313.6363527,16.0,0.001333333,3,39,1728,18,37.87573516,6,36.45917287,36.92130621,5.166666667,12.77292003,-0.333333333,13.0,8,17.94242711
