Starting Node,Average Spreading Ability,Node,Rank
1,2.6,1,449.0
2,3.21,2,409.0
3,1.86,3,482.0
4,3.2,4,410.0
5,3.62,5,382.0
6,3.87,6,362.0
7,3.47,7,391.0
8,2.35,8,461.0
9,2.54,9,452.0
10,3.34,10,400.0
11,2.41,11,458.0
12,1.85,12,483.0
13,2.76,13,438.0
14,4.49,14,318.0
15,3.89,15,360.0
16,4.07,16,346.0
17,2.96,17,425.0
18,3.7,18,378.0
19,3.47,19,391.0
20,2.98,20,424.0
21,2.84,21,433.0
22,2.45,22,455.0
23,5.27,23,270.0
24,2.66,24,446.0
25,5.83,25,237.0
26,7.01,26,180.0
27,5.69,27,243.0
28,6.15,28,220.0
29,5.16,29,276.0
30,6.47,30,204.0
31,5.57,31,250.0
32,2.69,32,444.0
33,3.07,33,418.0
34,2.23,34,468.0
35,3.02,35,421.0
36,2.25,36,467.0
37,3.41,37,395.0
38,3.81,38,368.0
39,2.54,39,452.0
40,3.79,40,370.0
41,4.26,41,333.0
42,3.26,42,406.0
43,3.64,43,380.0
44,3.09,44,416.0
45,2.63,45,447.0
46,9.26,46,105.0
47,11.27,47,71.0
48,14.85,48,33.0
49,2.56,49,451.0
50,4.34,50,328.0
51,6.93,51,184.0
52,10.99,52,75.0
53,8.99,53,113.0
54,2.47,54,454.0
55,2.8,55,436.0
56,2.85,56,432.0
57,2.73,57,441.0
58,3.84,58,365.0
59,3.53,59,389.0
60,4.03,60,350.0
61,3.91,61,359.0
62,4.78,62,296.0
63,4.25,63,334.0
64,5.33,64,267.0
65,4.26,65,333.0
66,5.47,66,258.0
67,2.25,67,467.0
68,2.07,68,473.0
69,2.88,69,431.0
70,4.12,70,342.0
71,3.16,71,411.0
72,4.69,72,303.0
73,4.18,73,336.0
74,3.37,74,398.0
75,4.71,75,301.0
76,2.94,76,427.0
77,4.3,77,332.0
78,3.05,78,419.0
79,2.82,79,435.0
80,2.31,80,464.0
81,2.23,81,468.0
82,2.73,82,441.0
83,2.26,83,466.0
84,2.45,84,455.0
85,2.44,85,456.0
86,3.27,86,405.0
87,3.94,87,357.0
88,4.16,88,338.0
89,4.87,89,292.0
90,3.23,90,408.0
91,3.38,91,397.0
92,4.87,92,292.0
93,2.57,93,450.0
94,2.61,94,448.0
95,2.28,95,465.0
96,4.71,96,301.0
97,5.79,97,238.0
98,2.88,98,431.0
99,2.49,99,453.0
100,2.73,100,441.0
101,1.86,101,482.0
102,1.42,102,489.0
103,3.08,103,417.0
104,1.86,104,482.0
105,4.43,105,323.0
106,2.03,106,474.0
107,8.56,107,121.0
108,4.45,108,322.0
109,3.13,109,413.0
110,2.76,110,438.0
111,5.49,111,256.0
112,2.01,112,475.0
113,3.78,113,371.0
114,2.26,114,466.0
115,2.96,115,425.0
116,2.39,116,459.0
117,6.06,117,222.0
118,4.08,118,345.0
119,7.22,119,169.0
120,8.15,120,137.0
121,4.93,121,288.0
122,4.74,122,299.0
123,4.12,123,342.0
124,5.62,124,248.0
125,3.93,125,358.0
126,6.28,126,214.0
127,5.94,127,229.0
128,5.35,128,265.0
129,10.54,129,81.0
130,5.62,130,248.0
131,4.38,131,325.0
132,11.52,132,66.0
133,9.65,133,98.0
134,9.19,134,107.0
135,15.9,135,24.0
136,4.75,136,298.0
137,5.31,137,268.0
138,5.01,138,285.0
139,2.74,139,440.0
140,8.13,140,139.0
141,11.93,141,61.0
142,8.58,142,120.0
143,5.52,143,254.0
144,6.81,144,189.0
145,9.51,145,102.0
146,8.17,146,136.0
147,9.24,147,106.0
148,7.12,148,174.0
149,9.69,149,95.0
150,8.4,150,126.0
151,6.33,151,211.0
152,6.41,152,206.0
153,7.84,153,146.0
154,7.34,154,165.0
155,5.9,155,232.0
156,6.18,156,219.0
157,5.72,157,241.0
158,9.06,158,111.0
159,6.86,159,187.0
160,5.85,160,235.0
161,4.74,161,299.0
162,8.4,162,126.0
163,5.7,163,242.0
164,6.8,164,190.0
165,6.2,165,218.0
166,8.33,166,128.0
167,7.52,167,158.0
168,4.5,168,317.0
169,4.09,169,344.0
170,4.16,170,338.0
171,5.08,171,280.0
172,5.17,172,275.0
173,7.02,173,179.0
174,7.08,174,176.0
175,7.62,175,154.0
176,13.47,176,49.0
177,13.85,177,44.0
178,6.67,178,196.0
179,7.84,179,146.0
180,9.65,180,98.0
181,9.66,181,97.0
182,9.42,182,103.0
183,5.99,183,225.0
184,4.16,184,338.0
185,12.84,185,54.0
186,15.37,186,29.0
187,4.08,187,345.0
188,3.86,188,363.0
189,3.44,189,393.0
190,8.19,190,134.0
191,7.74,191,148.0
192,5.95,192,228.0
193,6.31,193,212.0
194,8.33,194,128.0
195,8.38,195,127.0
196,4.42,196,324.0
197,11.53,197,65.0
198,13.07,198,50.0
199,7.08,199,176.0
200,14.16,200,41.0
201,9.65,201,98.0
202,12.11,202,60.0
203,16.61,203,15.0
204,8.25,204,132.0
205,16.89,205,13.0
206,14.94,206,32.0
207,11.16,207,73.0
208,9.96,208,87.0
209,14.31,209,36.0
210,9.81,210,90.0
211,4.57,211,312.0
212,13.65,212,46.0
213,7.61,213,155.0
214,4.99,214,287.0
215,10.99,215,75.0
216,12.87,216,52.0
217,8.91,217,115.0
218,11.72,218,64.0
219,12.48,219,57.0
220,3.44,220,393.0
221,4.79,221,295.0
222,2.93,222,428.0
223,1.93,223,478.0
224,2.03,224,474.0
225,2.32,225,463.0
226,3.15,226,412.0
227,2.15,227,471.0
228,2.69,228,444.0
229,3.42,229,394.0
230,2.39,230,459.0
231,3.3,231,402.0
232,1.62,232,487.0
233,3.21,233,409.0
234,5.44,234,260.0
235,4.31,235,331.0
236,4.64,236,307.0
237,9.73,237,94.0
238,2.8,238,436.0
239,3.2,239,410.0
240,3.86,240,363.0
241,5.83,241,237.0
242,3.83,242,366.0
243,4.48,243,319.0
244,6.96,244,183.0
245,5.91,245,231.0
246,5.11,246,278.0
247,2.83,247,434.0
248,1.75,248,486.0
249,15.19,249,30.0
250,2.56,250,451.0
251,8.5,251,122.0
252,16.0,252,22.0
253,16.12,253,19.0
254,15.92,254,23.0
255,9.66,255,97.0
256,18.01,256,5.0
257,6.77,257,192.0
258,4.11,258,343.0
259,8.05,259,141.0
260,3.55,260,388.0
261,1.51,261,488.0
262,3.4,262,396.0
263,4.59,263,310.0
264,3.56,264,387.0
265,10.01,265,86.0
266,4.6,266,309.0
267,2.19,267,469.0
268,2.36,268,460.0
269,7.67,269,151.0
270,4.25,270,334.0
271,4.09,271,344.0
272,3.28,272,404.0
273,4.2,273,335.0
274,3.26,274,406.0
275,3.2,275,410.0
276,4.0,276,352.0
277,3.97,277,354.0
278,3.85,278,364.0
279,7.64,279,153.0
280,5.09,280,279.0
281,1.81,281,485.0
282,4.64,282,307.0
283,3.76,283,373.0
284,5.06,284,282.0
285,4.74,285,299.0
286,3.66,286,379.0
287,3.88,287,361.0
