Lambda,Kendall_Tau,P_Value
0.0128,0.5230048591409339,2.6488023025289885e-60
0.0156,0.5418732495880022,3.835478587545696e-65
0.0185,0.553449411765253,2.9672278106356846e-68
0.0213,0.5687766622136687,3.567156021768577e-72
0.0242,0.5582745038513737,7.130850344536164e-70
0.027,0.588115343928449,1.7383545429654435e-77
0.0298,0.5917824732471114,1.4467505195372739e-78
0.0327,0.5733455196250822,5.803339476723346e-74
0.0355,0.6025271735170603,1.4801412360905487e-81
0.0384,0.5820591350722486,2.757078703915359e-76
