feature,score,rank
H Values,8.027401386112576e-05,1
Subgraph centrality,8.195082695716671e-05,2
MCGM Values,0.00018387010976028684,3
Coreness Centrality,0.0002496020431379531,4
Gravity Index Centrality,0.00025297484552833094,5
Extended Improved Gravity Index Values,0.00026911909521132316,6
Extended Coreness,0.00027902125024614755,7
Eigenvector Centrality,0.0003599483486704802,8
EIGSM Values,0.00039053356831586505,9
Improved Gravity Index Values,0.0004141165750465303,10
Local Gravity Model Centrality,0.00045694317426880904,11
Laplacian Centrality,0.0004838464901203432,12
HVGc Index,0.0004845447762266142,13
EHCC Value,0.0005666042026564178,14
Extended Degree,0.0005972765803372582,15
Societal Capital Scores,0.0006014887387943979,16
Semi local centrality,0.0006402721144074253,17
CLC Values,0.0006686671886848572,18
Gravity Model Centrality,0.000687259347040059,19
LGC Scores,0.000702537030893291,20
Clustered Local Degree,0.0007151143534411819,21
I-GSM Values,0.000744333295237043,22
Local-Global Centrality,0.0008912545577223208,23
Degree Centrality,0.001006775641287927,24
GGC Values,0.0010156705881907424,25
DNC Scores,0.0010441327630016373,26
H-GSM_1,0.001115625500100248,27
Density Centrality,0.0011505724948109863,28
Global Relative Change in Avg Degree,0.0011677982728193204,29
K-Shell Value,0.001188163782427476,30
MDD Value,0.001232305355865937,31
PE Values,0.0013777796525999975,32
Node H-Index,0.0014261888546528434,33
Centrality Values,0.001638162549556843,34
DIL Centrality,0.0016935516321303634,35
Isolating Centrality,0.0017058742888569345,36
HCC Value,0.002180460457257838,37
PageRank Centrality,0.0028312797129920186,38
Constraint Coefficients,0.003102270603046464,39
Second order centrality,0.0031409777901161284,40
GIN Values,0.0034140969201644777,41
Eccentricity Centrality,0.0035690970412138867,42
P Value,0.003781508942480749,43
GSM,0.004174035879923488,44
Volume Centrality,0.005715515835312046,45
Clustering Coefficient,0.007734709800867101,46
Closeness Centrality,0.0077792543977807105,47
Betweenness Centrality,0.014257260998674748,48
Global Relative Change in Avg Clustering,0.018063614643483272,49
Leverage Centrality,0.02045132555526663,50
