DIL Centrality,Clustering Coefficient,HVGc Index,Isolating Centrality,Gravity Index Centrality,Local Gravity Model Centrality,MCGM Values,Constraint Coefficients,Clustered Local Degree,Coreness Centrality,LGC Scores,Global Relative Change in Avg Clustering,Density Centrality,DNC Scores,Gravity Model Centrality,EHCC Value,Societal Capital Scores,GGC Values,Eigenvector Centrality,Degree Centrality,Extended Improved Gravity Index Values,Betweenness Centrality,Global Relative Change in Avg Degree,K-Shell Value,EIGSM Values
41.96523878,0.266666667,74324.57302,0,672.5,474,0.934670573,-0.206792913,100.0666667,39,5320900,0.001026128,35.79545455,7.555170701,3333.673446,4.018759673,85,713.1182068,0.008643492,0.009693053,22771.25,0.028407884,0.001258567,5,2342.034963
42.11534492,0.361111111,28268.88986,9,290.0,630,0.188367605,-0.209147753,95.27777778,40,755665,0.00025906,38.65909091,12.38533868,3048.629126,2.721730509,79,227.7605805,0.000524449,0.01453958,4971.0,0.006051726,0.002695605,5,1283.968811
289.5030474,0.342857143,3264690.525,0,3990.25,7020,10.24116496,-0.094658764,628.4571429,139,96023340,0.001256687,258.9204545,18.52946105,15297.17884,19.79889727,483,4257.145279,0.076137225,0.024232633,156025.75,0.034414474,0.005569681,11,14092.79689
3.798850575,0.0,15878.97267,0,183.0,70,0.333991986,-0.5,35.0,16,1723528,0.002376923,6.363636364,2.572085386,989.3406312,2.044989763,37,302.8076401,0.006375586,0.003231018,14646.5,0.000265128,0.000657484,2,1345.581282
1044.806035,0.250712251,6531377.115,0,4933.5,16308,17.77580236,-0.064140805,755.4301994,256,161564532,7.83e-05,506.8636364,35.05210418,30383.42715,34.95507271,631,9546.582031,0.117842421,0.04361874,267372.0,0.016789657,0.011317833,11,23377.2368
43.64714501,0.416666667,26150.87401,0,295.0,666,0.19273929,-0.223370133,104.8333333,41,791112,0.001511182,38.65909091,12.47653637,3086.01267,2.761696331,83,210.9928166,0.00052149,0.01453958,5006.5,0.011678933,0.002695605,5,1288.273981
287.6027238,0.183823529,61825.01338,0,467.5,1819,0.544593233,-0.126313521,126.6691176,70,3626480,0.00410992,117.6477273,23.07518038,7175.942787,5.398680838,124,1051.374062,0.002405188,0.027463651,11021.25,0.055708637,0.006527707,5,2594.669167
37.31661986,0.4,27603.71787,0,270.0,800,0.167406576,-0.231149543,112.0,42,699300,0.006159673,43.75,15.14471819,2754.725646,2.897143226,90,213.5867158,0.000170735,0.016155089,3782.25,0.005581147,0.003174618,5,1181.256365
10.65818182,0.7,13901.08585,0,201.25,285,0.093178876,-0.314470026,96.9,25,313416,0.001313393,15.11363636,6.728051524,1290.549651,1.746824015,62,51.17143044,0.000141002,0.008077544,2611.25,0.000126337,0.000779555,5,735.9615853
1.0,0.0,228.453133,0,14.75,9,0.006378469,-1.0,9.0,5,14400,0.002119229,0.954545455,1.361111111,188.2623095,0.378042981,10,13.12899158,2.22e-05,0.001615509,490.0,0.0,0.001136496,1,152.0057013
24.44935065,0.3,10060.32828,0,154.0,240,0.077569669,-0.246299225,62.4,22,249165,0.001239905,15.11363636,6.409869705,1267.230458,1.564396321,53,109.1962844,0.000135142,0.008077544,2216.5,0.001248922,0.000779555,4,668.8296559
41.49991089,0.318181818,31673.75724,12,288.75,960,0.191112894,-0.204734254,105.4545455,48,819546,0.008258742,57.27272727,18.30986971,3284.985828,3.253722109,92,280.5400565,0.000166035,0.019386107,4122.75,0.005669511,0.004132643,5,1317.325397
7.986666667,0.8,14081.9873,0,203.75,290,0.094802018,-0.330837143,104.4,25,324193,0.002102261,15.51136364,6.716146762,1299.237823,1.776363094,63,43.10011457,0.000160503,0.008077544,2742.5,2.07e-05,0.000779555,5,788.5852742
600.942725,0.164835165,1861138.24,0,2805.75,4494,6.930884359,-0.085039005,373.9120879,124,51186882,0.002242028,184.8636364,16.88700679,12287.7307,18.08728518,335,4485.738225,0.057580044,0.022617124,128552.25,0.003046016,0.005090669,9,11735.84505
722.9346224,0.298701299,5481563.367,0,4620.0,13002,15.02112975,-0.079164923,767.5324675,191,153169120,0.000430214,455.0,28.7772109,24813.28552,28.55244406,613,7602.920953,0.101411816,0.035541195,209114.0,0.091418076,0.00892277,11,19669.5569
2961.109921,0.184939092,14475213.05,0,6322.25,39560,33.25475451,-0.044478374,1090.143965,401,388387374,0.000896578,1050.079545,56.64521749,59121.86736,55.6250665,963,21625.93811,0.181025691,0.069466882,417565.5,0.011864705,0.018982036,11,37041.7485
1666.806452,0.250196078,22629944.99,0,7328.75,61404,46.67093195,-0.051429437,1505.236078,479,661989680,0.014682438,1533.477273,67.16445171,82266.40233,65.52118801,1255,28501.889,0.222849822,0.082390953,493846.5,0.025474619,0.022814138,11,43728.369
14693.41791,0.053319454,34660127.98,1188,10543.5,210012,103.8835435,-0.018787511,1675.831251,814,3070333483,0.074897457,7129.5,176.0924143,255207.0116,133.4156067,1723,126497.1337,0.312853837,0.213247173,736991.25,0.349907666,0.061614165,11,83549.13007
354.1134822,0.411255411,7318493.028,44,4845.5,14938,17.64193523,-0.079510622,958.2424242,209,183346768,0.005966337,453.25,27.90756024,26469.62759,29.5973653,701,6554.065847,0.117648095,0.035541195,241005.5,0.00929245,0.00892277,11,21289.07637
1136.356697,0.233766234,5330438.517,0,4518.25,12122,14.36730885,-0.065447903,679.8051948,205,126354228,0.001888646,397.25,27.80801419,24292.30168,29.08153777,573,8010.156646,0.100749745,0.035541195,224014.5,0.053573665,0.00892277,11,20045.15727
3.6,0.0,5032.991414,0,47.0,36,0.113012122,-0.5,18.0,12,562359,0.001873032,3.818181818,2.342857143,806.5230289,1.355603518,20,183.7019196,0.003234868,0.003231018,9672.5,0.012861333,0.000657484,1,791.5199117
