Centrality Values,Degree Centrality,Laplacian Centrality,EHCC Value,LGC Scores,Semi local centrality,I-GSM Values,Societal Capital Scores,Global Relative Change in Avg Degree,DIL Centrality,Second order centrality,HCC Value,Extended Improved Gravity Index Values,Eigenvector Centrality,Improved Gravity Index Values,Node H-Index,Constraint Coefficients,Leverage Centrality,Volume Centrality,Global Relative Change in Avg Clustering,Density Centrality,P Value,MCGM Values,Clustering Coefficient,H Values
10.9,0.001759015,20,0.942448331,1950,56,39.23854317,9,0.000493441,3.3,-9146.374587,0.268680445,44.5,2.4e-07,19.5,2,-0.5,-0.214285714,18,0.000879507,2.068181818,25,0.221454866,0.0,9.61e-07
12.0,0.001759015,16,1.264228935,1544,43,37.22158217,7,0.000493441,3.166666667,-9280.441612,0.224006359,51.5,4.75e-07,17.0,2,-0.5,-0.1,19,0.007648987,1.75,22,0.193774648,0.0,1.9e-06
28.5,0.004397537,50,2.090143084,7800,97,49.18721705,15,0.002552864,19.93333333,-7859.029681,0.449761526,112.25,6.74e-07,27.5,2,-0.2,0.44047619,25,0.000879507,9.943181818,42,0.605543427,0.0,6.07e-06
21.7,0.002638522,34,2.886645469,6868,113,48.89053074,14,0.001179915,5.428571429,-8317.188996,0.77154213,106.0,2.04e-06,32.0,2,-0.459876543,-0.044444444,31,0.005551498,4.295454545,99,0.432542303,0.333333333,1.22e-05
14.12,0.001759015,22,1.597615262,3003,71,42.6787175,10,0.000493441,3.466666667,-8738.622562,0.376311606,61.0,5.7e-07,24.5,2,-0.5,-0.314285714,25,0.007648987,2.227272727,41,0.262979731,0.0,2.28e-06
7.12,0.000879507,12,0.613195548,900,40,35.92428499,6,0.000193033,1.0,-10281.94824,0.163434022,27.5,1.41e-07,7.25,1,-1.0,-0.666666667,14,0.000879507,0.636363636,14,0.077855196,0.0,2.82e-07
15.72,0.001759015,22,1.611128776,3091,79,52.49887879,10,0.000493441,3.466666667,-8211.228659,0.376311606,67.5,7.37e-07,25.0,2,-0.5,-0.314285714,26,0.000879507,2.227272727,41,0.266441093,0.0,2.95e-06
22.01,0.002638522,36,1.981399046,7722,129,58.90351168,15,0.001179915,8.523809524,-7858.563221,0.455643879,91.25,1.54e-06,36.0,2,-0.333333333,-0.027777778,36,0.001217981,5.011363636,43,0.467141675,0.0,7.68e-06
23.8,0.002638522,34,3.038950715,7276,113,49.62329324,14,0.001179915,5.428571429,-8211.059592,0.77154213,112.0,2.06e-06,33.5,2,-0.459876543,-0.044444444,34,0.005551498,4.295454545,99,0.445518405,0.333333333,1.23e-05
51.10909091,0.005277045,86,6.733068362,31304,273,68.47949942,28,0.003239338,16.85813492,-7213.998996,1.119554849,264.0,7.26e-06,55.5,3,-0.320848765,0.258080808,45,0.024506042,15.27272727,126,1.211159275,0.266666667,8.71e-05
55.75909091,0.004397537,74,6.455961844,34151,284,77.74541969,27,0.002552864,23.80952381,-6968.938042,1.111923688,276.0,1.2e-05,65.5,4,-0.272988889,0.076262626,65,0.002166758,12.32954545,127,1.162780818,0.2,0.000119934
38.17909091,0.00351803,52,3.985532591,19084,226,74.34447691,20,0.00186639,19.26785714,-7011.223452,0.9290938,182.25,1.71e-05,54.0,3,-0.25,0.072222222,60,0.002571877,8.909090909,112,0.8254542,0.0,0.000119435
38.4474026,0.00351803,54,5.071860095,17334,217,71.33156946,21,0.00186639,10.77678571,-7215.536908,1.019077901,197.5,5.94e-06,47.5,3,-0.413263889,0.005555556,44,0.013674874,7.636363636,125,0.742272376,0.333333333,4.75e-05
48.76818182,0.004397537,68,6.149761526,26860,259,70.85130951,24,0.002552864,18.22222222,-7296.728494,1.071383148,250.0,1.01e-05,55.5,3,-0.313155556,0.167532468,54,0.014690296,11.13636364,127,1.011358911,0.2,0.000100772
39.18909091,0.002638522,52,4.687758347,26780,314,78.20863316,23,0.001179915,11.05128205,-7520.316574,1.204928458,189.5,1.73e-05,63.5,3,-0.333333333,-0.283333333,67,0.002264174,6.681818182,152,0.765758985,0.0,0.000103756
11.62,0.000879507,10,1.049602544,1030,52,46.74617126,5,0.000193033,1.0,-9649.423107,0.120508744,54.0,3.55e-06,7.75,1,-1.0,-0.6,19,0.000879507,0.556818182,9,0.077867955,0.0,7.09e-06
43.28454545,0.00351803,48,3.911446741,17616,193,70.46258816,18,0.00186639,18.625,-7865.226831,0.825596184,199.0,6.02e-05,51.0,2,-0.25,0.116666667,60,0.001217981,8.272727273,99,0.799986366,0.0,0.000481387
55.22142857,0.005277045,82,5.280922099,30463,271,81.4863196,26,0.003239338,37.43849206,-6097.997516,0.998410175,250.75,6.35e-06,58.0,3,-0.194513889,0.311976912,56,0.002505232,17.18181818,110,1.25268076,0.066666667,6.99e-05
20.02,0.001759015,26,3.006677266,5304,116,52.46059459,12,0.000493441,2.0,-8336.570233,0.868044515,103.0,2.75e-06,30.0,2,-0.730902778,-0.416666667,30,0.008936238,2.068181818,120,0.297594814,1.0,1.1e-05
38.08597403,0.00351803,46,4.681558029,14628,182,81.70755315,17,0.00186639,19.3,-6388.459598,0.953259141,187.0,6.47e-06,46.5,3,-0.25,0.107142857,54,0.004264247,7.954545455,123,0.742284544,0.0,5.17e-05
33.16909091,0.002638522,50,4.413195548,23400,289,69.58864233,22,0.001179915,7.051282051,-8024.065188,1.191414944,165.5,1.66e-05,57.0,2,-0.521111111,-0.216666667,57,0.012967156,6.204545455,152,0.69221269,0.333333333,9.95e-05
22.81909091,0.001759015,22,2.980286169,4829,108,52.74849928,10,0.000493441,2.0,-8665.667662,0.717488076,112.5,5.54e-06,29.0,2,-0.804444444,-0.314285714,34,0.012997926,1.909090909,99,0.283773452,1.0,2.22e-05
33.88194805,0.002638522,36,4.167567568,11160,167,71.48602801,15,0.001179915,10.06666667,-7338.557779,0.93799682,165.5,7.05e-06,43.0,3,-0.333333333,-0.130952381,50,0.002233403,4.772727273,125,0.545047522,0.0,4.23e-05
142.1888312,0.01055409,210,15.32098569,147630,504,84.87804396,39,0.007358184,113.2438187,-7523.027131,1.43290938,509.5,6.41e-05,81.0,3,-0.092640818,0.702045177,81,0.0027565,58.22727273,154,3.137945557,0.015151515,0.001154394
44.45,0.004397537,86,8.366931638,44892,307,58.70046851,33,0.002552864,9.066666667,-10054.07708,1.445945946,602.0,0.000860338,132.0,5,-0.455333333,-0.054545455,48,0.010290134,10.73863636,170,1.699843477,0.7,0.015486087
54.93,0.005277045,102,9.914149444,55692,339,61.73153852,36,0.003239338,9.097222222,-9831.255141,1.486486486,713.0,0.000984411,136.0,4,-0.425462963,0.096969697,46,0.014013348,13.36363636,170,2.019539616,0.6,0.021657044
30.91,0.004397537,56,4.384260731,15960,134,39.00630529,18,0.002552864,11.0,-10921.3623,1.002066773,288.0,0.000410569,35.0,2,-0.2352,0.4,31,0.005956617,9.147727273,129,0.766707779,0.1,0.004516264
44.45,0.004397537,86,8.366931638,44892,307,58.70046851,33,0.002552864,9.066666667,-10054.07708,1.445945946,602.0,0.000860338,132.0,5,-0.455333333,-0.054545455,48,0.010290134,10.73863636,170,1.699843477,0.7,0.015486087
56.25,0.005277045,100,9.648330684,54300,321,59.72943503,35,0.003239338,10.69781746,-9951.983305,1.472972973,682.25,0.000948095,136.0,4,-0.396373457,0.119191919,49,0.011982504,13.36363636,170,1.984422845,0.533333333,0.019909997
59.96454545,0.005277045,106,9.925755167,69218,388,71.83178408,38,0.003239338,23.68888889,-9419.146073,1.513513514,702.75,0.000938353,163.0,5,-0.356057099,0.063636364,67,0.00487455,15.75,170,2.31426913,0.466666667,0.019705421
33.83,0.00351803,56,6.090302067,22540,209,56.26641772,22,0.00186639,10.14583333,-9623.903029,1.267885533,403.25,0.000547092,75.75,3,-0.358072917,-0.016666667,47,0.001556455,7.0,165,1.041072423,0.333333333,0.007112192
