feature,score,rank
MCGM Values,0.0018257470135710774,1
Laplacian Centrality,0.001989631573268813,2
Eccentricity Centrality,0.00199474756638518,3
Local Gravity Model Centrality,0.0021085450676578965,4
LGC Scores,0.0021694929729759727,5
H-GSM_1,0.0022325126437854337,6
Extended Improved Gravity Index Values,0.0022469115259731165,7
Gravity Model Centrality,0.002305787769562029,8
PE Values,0.0026275286407586584,9
I-GSM Values,0.0026483843209278435,10
Centrality Values,0.002686441645051496,11
MDD Value,0.0026955819170083606,12
EIGSM Values,0.0028068935076933643,13
Extended Coreness,0.0028143635561777014,14
H Values,0.0028705466919629608,15
Extended Degree,0.00290006533493814,16
Local-Global Centrality,0.0029229806000061753,17
Gravity Index Centrality,0.002924185003497559,18
Societal Capital Scores,0.0029310639389413806,19
Improved Gravity Index Values,0.002949468652843068,20
Semi local centrality,0.0029548265527765682,21
Density Centrality,0.0030224326551916425,22
Coreness Centrality,0.003241606967887223,23
EHCC Value,0.0033046617930871935,24
CLC Values,0.003465963375201775,25
Eigenvector Centrality,0.003471158745950609,26
Degree Centrality,0.0035114672167378957,27
Constraint Coefficients,0.003897780739786416,28
GIN Values,0.0041225444863322025,29
HVGc Index,0.004340144232653831,30
Subgraph centrality,0.00458448308464543,31
Clustered Local Degree,0.004897760538786766,32
DNC Scores,0.004955178177492026,33
Second order centrality,0.005065156971371554,34
GGC Values,0.005087491687618129,35
GSM,0.005302205834936569,36
Node H-Index,0.005469129238898973,37
Global Relative Change in Avg Degree,0.005646034882689777,38
HCC Value,0.005683125963392488,39
K-Shell Value,0.005698909452610756,40
PageRank Centrality,0.0066845506124182386,41
P Value,0.010309577344117526,42
Isolating Centrality,0.012041418466234743,43
Volume Centrality,0.012654299317768958,44
Closeness Centrality,0.014505635296813146,45
DIL Centrality,0.015006682010705319,46
Leverage Centrality,0.024025459063556687,47
Clustering Coefficient,0.030744083337112538,48
Betweenness Centrality,0.035465412932289664,49
Global Relative Change in Avg Clustering,0.09004916721834633,50
