Lambda,Kendall_Tau,P_Value
0.2252,0.6317791740189266,3.574148988964208e-97
0.2753,0.6139584002735365,4.6223523492694765e-92
0.3253,0.5782597798758372,5.513013933081827e-82
0.3754,0.5473820808322821,9.713116635076149e-74
0.4254,0.5037085841049337,9.18277665391167e-63
0.4754,0.48619578971586325,1.2705986486619653e-58
0.5255,0.46272722046273623,2.7765705983007658e-53
0.5755,0.4627473923437829,2.71898392568882e-53
0.6256,0.4512829887965646,8.916623676356433e-51
0.6756,0.4583619288696581,2.4958509828584364e-52
