Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality
8,0.146341463,0.394887802,0.226262626,12,49.44937892,31.09531568,4.564514487,0.034587047,18,69,0.05056514,0.067498582,0.133333333,36.96230159,40.31734743,26.06666667,67.5,209.7013048,138,88,0.005847953,253,0.111111111,14.31818182,4.2,9.651340996,1.666666667,18,12.8,0.206133371,221.4188497,52.79,-0.241126543,1322.404105,0.589695332,3.710400671,46,68.43982096,34100,7.266666667,197.1091111,29,86.25,434.25,4,29.6848468,91.87092622,10.29175962,-86.09760321
39,0.097560976,0.200949999,-0.014285714,4,46.03034703,25.32418896,2.868072026,0.024229725,12,51,0.025580012,0.013045944,0.166666667,15.8,33.7206586,19.83333333,54,122.6294161,68,54,0.00591716,190,0.125,7.636363636,3.4,6.43550447,1.279693487,15,9.2,0.112661451,160.8315277,32.8,-0.321180556,752.1280981,0.389286827,1.351937413,48,62.63393728,17928,4.633333333,129.7715099,21,74.25,281.25,3,17.03046082,54.69550124,6.175206996,-95.97502716
19,0.097560976,0.41584264,-0.027777778,0,45.94595806,25.21900075,2.85715546,0.024137539,12,51,0.025580012,0.014180374,0.166666667,16.04761905,33.61270394,19.83333333,56.25,122.2368254,68,54,0.005882353,185,0.142857143,7.954545455,3.1,6.208173691,1.24265645,14,9.2,0.08586852,156.5991191,32.28,-0.31265625,820.7444843,0.389418865,1.030422234,51,62.10885608,18225,4.6,130.8492805,21,76.5,285,4,15.93948253,57.6407814,6.066781891,-94.17634056
7,0.097560976,0.238150183,0.021428571,8,45.49332632,24.98836524,2.826448158,0.024354253,12,48,0.025580012,0.013045944,0.166666667,14.9,32.43741777,18.66666667,51.75,117.9627494,64,52,0.005882353,181,0.125,7.318181818,3.4,6.480204342,1.282247765,16,8.8,0.118828571,153.2131922,34.51,-0.321180556,696.2805923,0.401366258,1.425942856,45,61.53401657,16406,4.633333333,131.2729938,20,69.75,285,3,16.54958499,50.39631338,6.089490084,-97.61053608
18,0.12195122,0.414410569,0.138888889,5,45.95362979,26.83850709,3.523895352,0.029890713,15,57,0.038072576,0.019852524,0.1,28.61904762,34.08928526,20.9,58.5,151.3164612,95,68,0.005649718,193,0.125,10.34090909,3.5,6.471264368,1.234993614,11,10.6,0.062795351,174.6336217,38.04,-0.245,964.2919911,0.492802797,0.941930266,41,61.59525382,21420,5.333333333,148.4662808,24,73.5,324.75,4,15.99662973,88.69029057,7.997199232,-95.38164341
14,0.073170732,0.000406504,-0.130952381,3,30.51532142,15.52042639,1.413567063,0.019957424,9,36,0.013087448,0.098128191,0.666666667,3.866666667,20.01454964,20,36,55.90440667,36,36,0.00308642,98,0.071428571,3.818181818,3,2.818646232,0.591315453,2,6.6,0.003688034,50.31487767,18.17,-0.598549383,290.1931979,0.206119277,0.033192302,27,39.63259375,7128,3.866666667,69.62004686,15,47.25,163.5,3,6.309269197,7.496842447,5.173793253,-182.7395935
15,0.12195122,0.11046748,0.166666667,10,36.85719987,21.3557056,2.791389408,0.030885961,15,54,0.038072576,0.064095292,0.2,22.33333333,27.71438198,21.6,54,123.0193644,90,66,0.003472222,150,0.076923077,9.545454545,3.5,4.637292465,0.941251596,4,10.2,0.007068288,122.809613,33.55,-0.3225,938.7393676,0.369852143,0.106024321,33,48.0018009,18084,6.666666667,118.9867903,23,65.25,282,3,11.76822707,41.04165235,8.464206554,-163.9528233
3,0.097560976,0.124796748,-0.027777778,0,38.43185262,20.96463055,2.368989181,0.024761319,12,51,0.025580012,0.038003403,0.166666667,16.30952381,28.53328787,19.83333333,51.75,103.76489,68,54,0.003891051,159,0.083333333,7.318181818,3.7,4.408684547,0.909323116,5,9.2,0.008739525,134.5905943,27.53,-0.3203125,777.4626237,0.315375433,0.104874294,40,50.87097571,15444,5.033333333,107.2457302,21,68.25,244.5,4,10.57556716,40.1911996,6.666437003,-152.2370792
9,0.073170732,0.00050813,-0.214285714,0,39.16461855,20.23386396,1.855499727,0.018440795,9,42,0.013087448,0.091321611,0.666666667,4.2,27.08945767,23.33333333,38.25,75.66595728,42,40,0.004694836,157,0.090909091,4.056818182,3,6.03192848,1.2899106,19,7.4,0.16190842,80.60648769,29.33,-0.553611111,466.7945518,0.322378974,1.457175782,34,53.62457937,10620,3.466666667,109.8320737,17,57,245.25,3,14.39245847,11.38212524,5.527556686,-121.2733106
10,0.12195122,0.158861789,0.144444444,10,45.39405885,26.71779391,3.514341931,0.028938212,15,57,0.038072576,0.074305162,0.2,22.47619048,35.24302356,22.8,58.5,156.4377066,95,68,0.004950495,216,0.090909091,10.34090909,3.8,9.189016603,1.605363985,21,10.6,0.245289215,176.8458427,47.39,-0.306322222,1202.868083,0.515895448,3.679338219,45,62.39768838,24208,6.1,167.1994996,24,76.5,383.25,3,28.06240277,60.8376733,8.364599444,-109.6954934
12,0.097560976,0.003658537,-0.01984127,4,36.40600769,20.11702441,2.283411408,0.023670431,12,51,0.025580012,0.12195122,0.5,7.476190476,28.1935943,25.5,47.25,102.5295516,68,54,0.003546099,166,0.071428571,6.681818182,3.7,8.507024266,1.687100894,26,9.2,0.230121807,100.6840895,30.79,-0.480295139,715.1025152,0.314696375,2.761461688,37,50.29315107,16146,5.433333333,116.6950444,21,66,269.25,3,22.04934745,17.92694424,7.820491868,-149.9438297
