Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,Clustered Local Degree,DIL Centrality,I-GSM Values,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.004385965,0.012489929,0.166666667,3,170.1156072,75.04641633,0.640278696,0.001672842,5,14,0.000881526,0.001461988,0,7,7,41.62632886,14,124.3332672,21,26,0.00012809,63,0.052631579,3.818181818,2.7,0.723264085,0.180704874,19,4.6,1.56E-09,63,17.33,-0.333333333,103.1805087,0.021331247,7.79E-09,22,267.7064998,3029,3,125.1719193,10,21.5,67.5,2,0.885416708,31.57024032,3.15202042,-4042.654845,2
2,0.004385965,0.020676507,-0.166666667,0,178.344687,78.47664057,0.672527129,0.001468506,6,25,0.000881526,0.002027078,0,13,10.33333333,50.77957154,21.5,151.6729966,39,38,0.00013282,124,0.052631579,5.25,2.7,1.166033465,0.294883195,32,7,7.38E-09,124,24.22,-0.333333333,279.4472111,0.027591988,4.43E-08,41,282.5350439,8550,3.1,145.1765195,16,40,107,3,1.505208552,53.4294041,3.585137027,-3730.075427,2
3,0.001461988,0,-0.5,0,150.5753991,65.27183279,0.188118286,0.000692255,2,5,0.000680817,0.001461988,0,3,1,29.44396112,3,29.4010086,3,8,0.000117786,24,0.05,0.477272727,1,0.232842939,0.052138065,2,1.8,2.39E-10,24,4.93,-1,6.621829941,0.006475614,4.78E-10,9,236.7409156,340,1,41.62632886,4,4.5,21.5,1,0.156250003,4.5,1.644935425,-5250.864519,1
4,0.004385965,0.013233743,0.066666667,0,176.293456,77.5193345,0.662353154,0.001578082,6,15,0.000881526,0.001461988,0,8,8.333333333,44.94838664,16.5,134.2558885,24,28,0.000130924,71,0.052631579,4.056818182,2.7,0.756082774,0.195537952,20,5,2.55E-09,71,16.19,-0.333333333,126.1095107,0.020927046,1.53E-08,22,277.1302103,3220,3,135.1263513,11,23,71.5,2,0.994791739,34.5,3.200128672,-3783.919449,2
5,0.007309942,0.014357866,0.257936508,0,168.4971009,74.32054208,1.052384687,0.002269418,10,30,0.00244387,0.007861999,0.1,16.5,23.85714286,47.26441037,27,234.6033536,75,60,0.000123716,139,0.05,10.73863636,3.5,1.807533748,0.354215504,36,9,1.80E-08,125.7724011,35.97,-0.281111111,549.5995582,0.035515791,1.80E-07,38,264.970604,14460,6.666666667,208.3674884,20,41.5,162,3,2.277778367,58.96998693,6.29112229,-3841.749857,2
6,0.007309942,0.034042125,0.271428571,0,190.7607317,84.56959181,1.194480624,0.002300402,10,30,0.00244387,0.001461988,0,15,30.06666667,56.28578028,29,279.3821548,75,60,0.000141723,165,0.055555556,11.53409091,3.8,1.677148169,0.336229892,31,9,2.83E-08,165,37.98,-0.2,468.3139908,0.04577023,2.83E-07,43,299.8167595,15420,5,245.7156289,20,44,171,3,2.430556647,107.0423814,5.584571307,-3379.205966,2
7,0.004385965,0.110437568,-0.047619048,0,183.1376276,80.09358142,0.687215695,0.001484125,6,20,0.000881526,0.001461988,0,10,9.4,51.20238916,19,152.9359063,30,32,0.000134084,101,0.055555556,4.534090909,2.7,1.164740118,0.221606984,21,5.8,1.28E-08,101,22.43,-0.333333333,229.2900194,0.026880249,7.66E-08,33,289.0943858,5600,3,152.7674837,13,31.5,98.5,3,1.250000383,45.76644021,3.338545501,-3862.24678,2
8,0.002923977,0.004685172,-0.2,0,177.0983321,77.49238229,0.444049253,0.001096791,4,12,0.000100355,0.001461988,0,6,3.333333333,42.29763328,12,84.34863331,12,18,0.00013574,49,0.052631579,1.909090909,2,0.571336189,0.158232964,19,3.6,2.80E-09,49,11.2,-0.5,61.86612729,0.014518376,1.12E-08,19,279.0686659,1647,2,94.30956429,8,18.5,48.5,2,0.63368062,18.5,2.400781279,-3947.043841,2
9,0.004385965,0.114669092,0.066666667,0,182.0914608,79.92583767,0.683534938,0.001588362,6,15,0.000881526,0.001461988,0,8,8.333333333,46.26762339,16.5,138.1963036,24,28,0.000136724,67,0.052631579,4.056818182,2.4,0.640974861,0.159566729,10,5,2.64E-09,67,16.16,-0.333333333,126.1095107,0.020927046,1.58E-08,22,286.2970422,3178,3,136.6400207,11,23,69.5,2,0.994791741,34.5,3.203602881,-4013.824823,2
10,0.004385965,0.013765482,0.233333333,3,165.0900886,72.45437072,0.618025897,0.001747108,5,12,0.000881526,0.001461988,0,6,6.333333333,36.96815048,13,110.4198006,18,24,0.000125707,46,0.05,3.579545455,2.4,0.438687252,0.119109207,5,4.2,7.13E-10,46,11.96,-0.333333333,60.9051614,0.016044235,3.57E-09,14,258.4555858,1824,3,112.3262618,9,16,46.25,2,0.739583352,24,3.087603397,-4657.446201,2
