Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
186,0.524336283,0.478305267,0.916136535,0,1782.075039,82118.04095,504.9714483,0.055040849,1298,19298,0.115083579,0.078072587,0.031109204,17199.80493,4632.360115,2761.310448,15117.5,699518.6667,634686,61762,0.001447178,776088,0.25,21510.44318,165.9,197.5350649,2,308,1213.4,0.379995045,752316.1981,60584.90347,-0.016078037,138166716.1,4.302277857,493.2335689,3741,5455.590469,22241638797,386.9822014,167390.961,2915,29437.5,1663513.25,23,125.0318327,341326.3024,38474147758,-560.0545305,10
1,0.015486726,0.000761198,-0.617459465,0,1033.954466,486.7682847,8.93753504,0.001685681,63,3201,0.001252049,0.000785215,0.714285714,23.28571429,710.6078814,894.8571429,2589,8982.617778,3654,1100,0.00092081,140465,0.2,169.2727273,6.7,10.07590051,0.899007596,221,213,0.038891047,68763.46921,2050.097182,-0.206259914,2351621.834,0.181434208,2.450135963,3210,2171.226399,193355250,8.457965672,12133.46694,529,7164,115131.25,6,3.997741955,1314.674189,403028252.2,-3820.551836,6
2,0.006637168,0,-0.751587302,0,1009.295324,447.6496241,3.739990346,0.000929406,25,2069,0.00072763,0.000976956,1,3,544.3531421,704,1209,3471.813333,1056,716,0.000912409,100559,0.2,68.25,3,5.213023769,0.702952708,179,142.6,0.025204085,36993.58872,1019.445047,-0.420060338,693568.3113,0.087880434,0.630102137,3217,2069.291976,119572358,3.647690923,7914.846281,355,3204.75,59607.5,3,2.094887389,275.882774,169269304.9,-5860.775585,3
3,0.013274336,0.000263749,-0.457843851,0,1030.528612,473.0419935,7.609403777,0.001582393,44,2350,0.000757129,0.000611315,0.533333333,23.42561371,591.7388425,605.6666667,2143.75,7183.751667,2370,832,0.000925069,110907,0.2,146.0454545,5.7,8.098505268,0.786914972,200,161.6,0.030099627,65063.17227,1764.837703,-0.246599993,1383384.751,0.147080959,1.324383604,3275,2113.694702,142249952,8.028643304,10128.88205,401,5575,82818.75,5,3.134587375,1452.327472,241409708.4,-4237.001152,5
5,0.004424779,0,-0.491631799,0,961.5358338,429.2922919,2.384132344,0.000919439,12,1310,0.00122255,0.004631424,1,2,421.3767641,478,671,2060.042222,478,484,0.000876424,68750,0.2,38.65909091,2,2.931585396,0.465792698,118,96.8,0.015014162,25291.71158,595.1518518,-0.814614155,159699.9235,0.048227418,0.180169943,2913,1956.753378,70837030,3.031109204,5053.73688,241,1815,31252.5,2,1.101226982,157.9410965,60067651.64,-8045.511859,2
13,0.015486726,0.000231705,-0.586504614,0,1044.780242,487.5270299,9.00409223,0.001655352,62,2961,0.001252049,0.000204046,0.714285714,21.26272096,672.6855642,819.4285714,2677.5,8829.564722,3346,1012,0.000933707,132700,0.2,176.5113636,6.7,9.900980152,0.86767949,216,195.4,0.039219092,64962.17822,2099.437997,-0.195863328,2452182.251,0.180689097,2.431583724,3286,2162.780221,176283822,8.676751795,12655.24821,485,7080,119213,6,4.084492418,1250.648328,409848645.1,-3822.971429,6
24,0.011061947,0.000330449,-0.559917355,0,1009.177578,461.9839151,6.227762902,0.001320491,40,2357,0.000262209,0.001194581,0.6,13.79948718,585.8460793,636.8,1988.75,5895.773611,1990,826,0.000905797,108869,0.2,112.5568182,5,6.609629993,0.755133546,190,162.2,0.027700982,59748.57401,1350.568364,-0.254878536,1100873.147,0.11981684,1.108039286,3129,2085.913399,135754339,6.334532627,8855.601991,403,5403.75,74831.25,5,2.760058185,1057.788638,204469316.1,-4595.772963,5
25,0.011061947,0.000330687,-0.559917355,0,1009.177578,461.9839151,6.227762902,0.001320045,40,2357,0.000262209,0.001194581,0.6,13.79948718,585.8460793,636.8,1988.75,5895.773611,1990,826,0.000905797,108869,0.2,112.5568182,5,6.609629993,0.755133546,190,162.2,0.027701399,59748.57401,1350.559793,-0.254878536,1100873.147,0.11981684,1.108055956,3129,2085.913399,135755165,6.334532627,8855.703637,403,5403.75,74833.75,5,2.760110193,1057.788638,204475468.5,-4595.673409,5
26,0.011061947,0.000330449,-0.559917355,0,1009.177578,461.9839151,6.227762902,0.00132049,40,2357,0.000262209,0.001194581,0.6,13.79948718,585.8460793,636.8,1988.75,5895.773611,1990,826,0.000905797,108869,0.2,112.5568182,5,6.609629993,0.755133546,190,162.2,0.027700982,59748.57401,1350.568364,-0.254878536,1100873.147,0.11981684,1.108039286,3129,2085.913399,135754339,6.334532627,8855.601991,403,5403.75,74831.25,5,2.760058185,1057.788638,204469316.1,-4595.772868,5
27,0.015486726,0.000226766,-0.644321492,0,1039.709321,494.9233061,8.966216037,0.001623253,64,3226,0.001252049,0.000407659,0.523809524,47.08960925,715.9357681,801.5238095,3060.75,9032.444167,3682,1108,0.000922509,141329,0.2,170.9431818,7,10.22364617,0.897133056,220,214.6,0.038817522,83703.51584,2087.576016,-0.179952611,2401173.183,0.186944474,2.484321426,3240,2178.250776,195228492,8.289867104,12113.90484,533,8431.5,115743.75,7,4.260747386,1936.968876,401506059,-3794.818725,7
