Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.036585366,0.498644986,0.066666667,0,27.56124095,18.23245305,0.965922115,0.01476002,6,14,0.021544715,8.333333333,16.12444989,8,16,46.65613627,24,28,0.001436782,56,0.055555556,4.056818182,2.4,6.96969697,1.825757576,20,5,0.245145242,14.7,-0.333333333,114.6450097,0.193318287,1.470871451,20,38.58817626,2772,3,44.27334154,11,22,59,2,14.70825778,33,3.198904806,-285.7118389,2
2,0.024390244,0.476061427,-0.2,0,25.69849725,16.41265557,0.597618626,0.010303869,4,12,0.010298103,3.333333333,13.48504096,6,12,26.32796781,12,18,0.001398601,39,0.052631579,1.909090909,2,4.924242424,1.53030303,19,3.6,0.131162302,9.8,-0.5,50.94857542,0.128773145,0.524649208,16,35.79694089,1341,2,29.06553673,8,17,38.5,2,7.172504351,17,2.391366736,-306.9971578,2
3,0.036585366,0.303221921,0.066666667,0,26.39185888,18.0710145,0.958786521,0.014876048,5,14,0.021544715,8.333333333,16.07760525,8,14,46.5205912,24,28,0.001430615,55,0.058823529,4.056818182,2.4,6.462121212,1.825757576,20,5,0.237691825,15.4,-0.333333333,126.1095107,0.200175634,1.188459124,21,38.25605848,2842,3,44.58859265,11,22.5,50,2,14.01341676,33.75,3.200532955,-306.6736146,2
4,0.036585366,0.315868714,0.166666667,3,26.49307827,17.62897399,0.92949886,0.015381326,5,14,0.021544715,7,14.71069532,7,14,42.56543388,21,26,0.001422475,49,0.058823529,3.818181818,2.1,6.037878788,1.787878788,21,4.6,0.261966104,14,-0.333333333,85.98375727,0.182670914,1.30983052,18,36.98350287,2353,3,41.37185821,10,19.5,50.5,2,14.29976116,29.25,3.146491158,-306.800951,2
5,0.036585366,0.473953628,0.2,0,26.20094932,16.86212191,0.883360205,0.015228881,6,12,0.021544715,7,12.94108684,6,15,37.44506728,18,24,0.001358696,39,0.05,3.579545455,2.1,5.613636364,1.568181818,18,4.2,0.09236699,12.6,-0.333333333,77.38538154,0.172111966,0.554201941,15,34.6441556,1764,3,37.58984735,9,16.5,49.5,2,7.538487946,24.75,3.085342174,-328.9243909,2
6,0.024390244,0.04817826,-0.2,0,22.83776972,14.56393356,0.527061046,0.010808125,4,11,0.010298103,3.333333333,11.61959424,6,11.5,22.68590093,12,18,0.001236094,34,0.047619048,1.909090909,2,3.757575758,1.075757576,9,3.6,0.052514807,8.4,-0.5,40.03102354,0.114741311,0.210059226,14,31.32646756,1179,2,24.15859529,8,16,32,2,4.68385445,16,2.391274854,-372.9172226,2
7,0.024390244,0.402589581,-0.2,0,24.57174063,15.46609839,0.561534355,0.010468556,4,12,0.010298103,3.333333333,12.48521215,6,12,24.37591881,12,18,0.00130719,37,0.047619048,1.909090909,2,4.568181818,1.439393939,17,3.6,0.054003201,9.1,-0.5,47.30939146,0.121915798,0.216012804,15,33.50717455,1260,2,26.46370356,8,16.5,35.5,2,4.867606017,16.5,2.392961536,-359.6228416,2
8,0.036585366,0.04456489,0.233333333,3,22.74461029,15.07782829,0.782070589,0.016538447,5,11,0.021544715,6.333333333,11.21750845,6,12.5,32.45788889,18,24,0.001196172,34,0.045454545,3.579545455,2.4,3.856060606,1.113636364,8,4.2,0.042764042,11.2,-0.333333333,53.73984829,0.15520166,0.213820211,13,30.33840074,1596,3,31.01605871,9,15.5,37.75,2,5.46029003,23.25,3.085253438,-391.0250481,2
9,0.036585366,0.042758205,0.166666667,3,22.8782485,15.09199931,0.785372539,0.016301911,5,13,0.021544715,7,12.10086405,7,13.5,35.01388053,21,26,0.001156069,42,0.043478261,3.818181818,2.1,4.340909091,1.242424242,9,4.6,0.040904963,11.2,-0.333333333,64.48781795,0.15520166,0.204524817,14,30.64780582,1911,3,32.18231873,10,17.5,39,2,5.926263697,26.25,3.139355358,-388.6119593,2
10,0.012195122,0,-0.5,0,18.61378335,11.44147294,0.215130761,0.006493248,2,5,0.000948509,1,7.295600422,3,3,7.208229012,3,8,0.001090513,16,0.043478261,0.477272727,1,1.537878788,0.424242424,2,1.8,0.016619252,4.2,-1,5.518191618,0.057370655,0.033238504,8,25.31758075,280,1,11.21750845,4,4.25,15.5,1,1.109640797,4.25,1.643137054,-454.6257672,1
11,0.036585366,0.425474255,0.133333333,0,25.64005008,16.45219181,0.862631837,0.015339787,6,13,0.021544715,7.666666667,13.52261672,7,15.5,39.12772547,21,26,0.001262626,42,0.045454545,3.818181818,2.4,5.590909091,1.560606061,16,4.6,0.046593148,13.3,-0.333333333,90.28294513,0.179286453,0.279558891,17,33.94837268,2132,3,36.97513383,10,19,50.5,2,6.6945872,28.5,3.141070999,-365.2714811,2
12,0.024390244,0.397470641,-0.2,0,24.09548228,15.08973716,0.547134819,0.010506046,4,12,0.010298103,3.333333333,12.38905763,6,12,24.18818834,12,18,0.001206273,37,0.043478261,1.909090909,2,4.295454545,1.348484848,15,3.6,0.024981886,9.1,-0.5,47.30939146,0.121915798,0.099927545,15,32.60528326,1260,2,25.78052405,8,16.5,35.5,2,4.14095404,16.5,2.389647603,-397.4811378,2
13,0.036585366,0.388587775,0.2,0,24.68560815,15.6989418,0.81937494,0.015360142,6,12,0.021544715,7,12.25790732,6,15,35.46828564,18,24,0.001152074,38,0.041666667,3.579545455,2.1,5.068181818,1.386363636,14,4.2,0.017685502,12.6,-0.333333333,77.38538154,0.172111966,0.106113014,15,31.97587926,1752,3,35.54388735,9,16.5,49,2,5.379876706,24.75,3.085312579,-428.8207725,2
14,0.024390244,0.056308341,-0.2,0,21.59804995,13.647955,0.492926156,0.010858346,4,11,0.010298103,3.333333333,11.1722976,6,11.5,21.81260646,12,18,0.001062699,34,0.04,1.909090909,2,3.575757576,1.075757576,9,3.6,0.010091179,8.4,-0.5,40.03102354,0.114741311,0.040364718,14,29.23946648,1179,2,23.10889618,8,16,32,2,3.662037607,16,2.391274539,-467.7042387,2
15,0.024390244,0.300963565,-0.2,0,23.01586057,14.40615661,0.522026946,0.010527111,4,12,0.010298103,3.333333333,11.98253212,6,12,23.39449475,12,18,0.001092896,37,0.04,1.909090909,2,4.022727273,1.257575758,13,3.6,0.010427231,9.1,-0.5,47.30939146,0.121915798,0.041708925,15,31.09589447,1260,2,25.344439,8,16.5,35.5,2,3.798610874,16.5,2.392961223,-461.5112006,2
16,0.036585366,0.202047576,0.066666667,0,23.65982069,16.36527974,0.893961011,0.016148878,4,10,0.021544715,8.333333333,14.78848621,8,5.75,42.790522,24,28,0.001312336,50,0.055555556,4.056818182,2.4,4.666666667,1.189393939,6,5,0.160743228,13.3,-0.333333333,103.1805087,0.177782922,0.642972911,18,35.30462706,2506,3,38.14060297,11,10.5,37.25,2,8.60750928,31.5,3.191976753,-368.620002,1
17,0.024390244,0.024390244,0.066666667,2,19.30744141,13.41486085,0.491923783,0.012396732,2,5,0.010298103,2.666666667,9.260040594,4,2.75,18.07914795,8,14,0.001189061,23,0.052631579,1.590909091,1.7,2.075757576,0.590909091,2,2.8,0.073578817,7,-0.5,24.26122639,0.095387157,0.147157634,10,28.6511505,665,2,20.70749594,6,5.5,13.25,1,2.82828421,11,2.286303107,-433.9777712,1
