Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,MCGM Values,GGC Values,Subgraph centrality,Second order centrality
2,0.096774194,0.111827957,-0.130952381,3,27.13986101,15.09220204,1.526444289,0.028299529,9,36,0.026171637,0.03393526,0.666666667,4.2,18.77744369,20,38.25,51.29117113,36,36,0.003921569,79,0.058823529,4.056818182,3,5.146153846,1.057692308,4,6.6,0.006441783,40.5599524,18.14,-0.62867284,249.5839812,0.360419599,0.057976049,27,31.07971361,6534,4.4,58.01685065,15,47.25,137.25,7.052607783,4.579476881,4.881875688,-165.1356257
27,0.096774194,0.111827957,-0.130952381,3,27.13986101,15.09220204,1.526444289,0.028299529,9,36,0.026171637,0.03393526,0.666666667,4.2,18.77744369,20,38.25,51.29117113,36,36,0.003921569,79,0.058823529,4.056818182,3,5.146153846,1.057692308,4,6.6,0.006441783,40.5599524,18.14,-0.62867284,249.5839812,0.360419599,0.057976049,27,31.07971361,6534,4.4,58.01685065,15,47.25,137.25,7.052607783,4.579476881,4.881875688,-165.1356257
24,0.161290323,0.180645161,0.25,25,28.14858362,18.30238094,2.538034546,0.044882448,15,45,0.065124772,0.046570135,0.4,7.666666667,20.59736033,21,47.25,88.08927957,75,60,0.003597122,88,0.055555556,8.352272727,3.5,9.215384615,2,13,9,0.009021461,58.98816405,28.5,-0.475555556,531.4164099,0.484966691,0.135321921,19,31.18017638,11100,9.333333333,83.82277767,20,48,207,10.48356665,7.4431736,8.662326042,-172.7129841
25,0.096774194,0.17311828,-0.047619048,6,27.89647914,15.27557019,1.54001773,0.029566316,9,30,0.026171637,0.057192374,0.666666667,3.866666667,16.49650128,16.66666667,33.75,45.06070602,30,32,0.004608295,64,0.066666667,3.579545455,3,3.315384615,0.803846154,2,5.8,0.005510625,32.85869562,15.52,-0.673611111,158.0578628,0.341440799,0.049595629,19,30.50974007,4208,4.333333333,50.78179576,13,36.75,113.25,5.805653875,4.084571927,4.564157008,-145.5670804
29,0.096774194,0.425806452,0,9,28.32109087,15.40029948,1.5492097,0.030130574,9,27,0.026171637,0.085928328,0.333333333,5.666666667,15.64324785,12,33.75,42.73001776,27,30,0.004950495,52,0.071428571,3.579545455,3,2.961538462,0.676923077,1,5.4,0.006726736,37.25962815,15.4,-0.50617284,157.3303237,0.323935776,0.060540622,19,30.2974342,3600,4.666666667,48.44227872,12,34.5,107.25,5.670440907,6.20820953,3.987841517,-132.9277055
3,0.129032258,0.322580645,0.142857143,16,28.95553981,17.26022413,2.10493366,0.037478218,12,36,0.045648205,0.085928328,0.333333333,7.2,18.64204663,16,40.5,65.80619363,48,44,0.004273504,76,0.0625,5.727272727,2.8,4.753846154,1.030769231,3,7.2,0.006888572,54.4563796,24.84,-0.444444444,338.5432451,0.454582388,0.082662861,20,31.73722854,6974,6.666666667,70.54788994,16,42,168,7.925711783,8.440350921,5.793221181,-150.9628262
4,0.096774194,0.17311828,-0.047619048,6,27.89647914,15.27557019,1.54001773,0.029566316,9,30,0.026171637,0.057192374,0.666666667,3.866666667,16.49650128,16.66666667,33.75,45.06070602,30,32,0.004608295,64,0.066666667,3.579545455,3,3.315384615,0.803846154,2,5.8,0.005510625,32.85869562,15.52,-0.673611111,158.0578628,0.341440799,0.049595629,19,30.50974007,4208,4.333333333,50.78179576,13,36.75,113.25,5.805653875,4.084571927,4.564157008,-145.5670804
18,0.129032258,0.060215054,0.107142857,12,25.86103682,15.56168204,1.906602607,0.036188213,12,39,0.045648205,0.039302287,0.666666667,4.8,17.93597721,21.66666667,38.25,63.31377732,52,46,0.003584229,65,0.055555556,5.409090909,3.1,8.723076923,1.85,13,7.6,0.229198919,33.37211274,18.05,-0.661024306,308.7606707,0.354908356,2.750387032,16,29.2623269,7176,7,65.31581038,17,41.25,154.5,16.09268186,3.997940308,7.578311318,-177.3008547
20,0.096774194,0,-0.095238095,3,22.04520085,12.2711675,1.245177166,0.028001227,9,33,0.026171637,0.021412199,1,3,14.79520129,22,29.25,40.41355223,33,34,0.003257329,54,0.052631579,3.102272727,3,7.1,1.7,13,6.2,0.185431627,19.86548982,12.6,-0.807098765,181.5832852,0.245136579,1.668884646,14,25.40390499,4573,5.333333333,50.66715571,14,35.25,117.75,10.9996886,1.177354356,5.833571792,-184.2053014
16,0.096774194,0.232258065,-0.095238095,3,26.83213771,14.92259786,1.513791059,0.028035356,9,33,0.026171637,0.085928328,0.333333333,6.066666667,17.78943058,14.66666667,36,48.5923826,33,34,0.003937008,59,0.058823529,3.818181818,3,6.819230769,1.623076923,12,6.2,0.195729882,42.27534732,15.1,-0.458333333,250.4053182,0.312105805,1.761568935,24,30.83695603,5474,4.666666667,53.593412,14,42.75,123.75,14.02048554,6.804227767,4.498698383,-163.007954
17,0.129032258,0.060215054,0.107142857,12,25.86103682,15.56168204,1.906602607,0.036188213,12,39,0.045648205,0.039302287,0.666666667,4.8,17.93597721,21.66666667,38.25,63.31377732,52,46,0.003584229,65,0.055555556,5.409090909,3.1,8.723076923,1.85,13,7.6,0.229198919,33.37211274,18.05,-0.661024306,308.7606707,0.354908356,2.750387032,16,29.2623269,7176,7,65.31581038,17,41.25,154.5,16.09268186,3.997940308,7.578311318,-177.3008547
12,0.129032258,0.261290323,0.071428571,8,31.42394755,19.06288147,2.342105698,0.035474575,12,42,0.045648205,0.021412199,0.5,6.383333333,21.92192866,21,42.75,77.38413658,56,48,0.005076142,96,0.071428571,6.045454545,3.1,7.484615385,1.592307692,9,8,0.343025392,58.22694333,22.95,-0.523003472,414.9163206,0.471982095,4.116304702,24,36.47595626,9240,6.166666667,81.23454308,18,49.5,183,24.39887863,8.913585251,6.787476815,-124.2868836
13,0.129032258,0.209677419,0.107142857,12,30.29420054,18.28782725,2.243093451,0.035828469,12,39,0.045648205,0.039302287,0.5,5.85,20.34328868,19.5,40.5,71.81155698,52,46,0.004694836,87,0.066666667,5.727272727,3.1,7.542307692,1.619230769,10,7.6,0.318122064,52.76816739,23.05,-0.5390625,356.3931442,0.471973378,3.81746477,20,34.62830733,7843,6.166666667,77.86252671,17,44.25,177,21.54011747,8.081328214,6.653751709,-129.782869
31,0.096774194,0.511827957,0,9,29.6013995,16.13007767,1.624470587,0.029982765,9,27,0.026171637,0.085928328,0.333333333,5.666666667,16.07913243,12,33.75,43.92065004,27,30,0.005882353,54,0.1,3.579545455,3,2.961538462,0.676923077,1,5.4,0.07594497,38.69269077,15.3,-0.50617284,157.3303237,0.323935776,0.683504732,19,31.89559512,3615,4.666666667,50.36089727,12,34.5,108.75,7.815013016,6.20820953,3.988102393,-99.94886138
32,0.096774194,0.241935484,-0.047619048,6,29.99102922,16.47702383,1.66425634,0.029326456,9,30,0.026171637,0.057192374,0.666666667,3.866666667,17.36043293,16.66666667,33.75,47.42056217,30,32,0.00591716,63,0.1,3.579545455,3,3.442307692,0.803846154,2,5.8,0.115710002,32.3452785,16.3,-0.673611111,163.1565036,0.354909754,1.041390018,20,33.17431282,4352,4.333333333,54.3696063,13,37.5,118.5,9.696960531,4.219150065,4.568875213,-104.6411721
7,0.096774194,0.241935484,-0.047619048,6,29.99102922,16.47702383,1.66425634,0.029326456,9,30,0.026171637,0.057192374,0.666666667,3.866666667,17.36043293,16.66666667,33.75,47.42056217,30,32,0.00591716,63,0.1,3.579545455,3,3.442307692,0.803846154,2,5.8,0.115710002,32.3452785,16.3,-0.673611111,163.1565036,0.354909754,1.041390018,20,33.17431282,4352,4.333333333,54.3696063,13,37.5,118.5,9.696960531,4.219150065,4.568875213,-104.6411721
8,0.129032258,0.511827957,0.107142857,12,32.20626084,19.35349752,2.369873322,0.03686658,12,39,0.045648205,0.076983284,0.333333333,7.733333333,20.93004094,17.33333333,42.75,73.88278521,52,46,0.005882353,86,0.090909091,6.045454545,3.1,5.211538462,1.157692308,4,7.6,0.210096534,61.62169271,22.2,-0.430989583,380.1714229,0.440989555,2.52115841,23,36.2813532,8004,6.5,75.26045614,17,46.5,167.25,17.2039711,10.14526566,5.938949158,-99.94886138
9,0.129032258,0.456989247,0.071428571,8,32.71986367,19.79882806,2.430327139,0.035871111,12,42,0.045648205,0.066137418,0.5,6.666666667,22.5409235,21,45,79.56918066,56,48,0.005714286,97,0.083333333,6.363636364,3.1,6.203846154,1.361538462,6,8,0.286205125,58.83347399,23.25,-0.535590278,401.5320476,0.483131412,3.434461503,27,37.67873944,9552,6,79.92078818,18,51.75,180.75,22.28585546,9.785435363,6.569024804,-106.4458889
5,0.096774194,0.224731183,0,9,28.5242718,15.4812732,1.556715198,0.030771981,9,27,0.026171637,0.075082462,0.666666667,3.666666667,15.15347026,15,31.5,41.39217506,27,30,0.005524862,49,0.083333333,3.340909091,3,2.707692308,0.676923077,1,5.4,0.018039875,25.15743883,14.5,-0.703703704,120.2241287,0.328791336,0.162358874,15,30.33608569,3150,4.333333333,46.24277785,12,31.5,99,5.565066025,3.670394934,4.429541187,-116.2315572
28,0.096774194,0.224731183,0,9,28.5242718,15.4812732,1.556715198,0.030771981,9,27,0.026171637,0.075082462,0.666666667,3.666666667,15.15347026,15,31.5,41.39217506,27,30,0.005524862,49,0.083333333,3.340909091,3,2.707692308,0.676923077,1,5.4,0.018039875,25.15743883,14.5,-0.703703704,120.2241287,0.328791336,0.162358874,15,30.33608569,3150,4.333333333,46.24277785,12,31.5,99,5.565066025,3.670394934,4.429541187,-116.2315572
30,0.096774194,0.451612903,0,9,28.56428258,15.50245372,1.558667013,0.03066356,9,27,0.026171637,0.085928328,0.333333333,5.666666667,15.44927616,12,33.75,42.20017806,27,30,0.005263158,52,0.076923077,3.579545455,3,2.707692308,0.676923077,1,5.4,0.012329474,37.25962815,13.4,-0.50617284,146.4799566,0.29863685,0.110965265,18,30.37165896,3405,4.666666667,45.95018837,12,33.75,97.5,5.754970304,6.010511677,3.975333827,-117.6000633
