Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
7,0.263157895,0.006683722,0.005005817,0,150.4541758,994.523643,18.49041534,0.028760873,57,655,0.034055728,0.021013149,0.577777778,29.15883853,168.4006006,184.6,558,1702.5,1170,344,0.015151515,4285,0.5,54.09090909,8.5,15.51496515,1.468634686,27,52.8,0.15847043,2404.501906,314.9251005,-0.235256122,102083.1913,0.972372579,9.032814517,330,288.8252028,2389768,14.71141497,2172.187651,127,1021.5,10680,7,19.30338844,265.8941289,2501.554854,-97.92548506,6
1,0.289473684,0.0504752,0.077933178,11,152.203643,1180.865629,20.67144062,0.032483626,60,691,0.040092879,0.034442518,0.4,68.74400745,181.3924031,173.6,571.5,1927.75,1364,380,0.015384615,4516,0.5,62.125,8.9,15.54762881,1.461117945,26,56.2,0.163314294,3027.165328,313.1206678,-0.181810184,114035.7999,1.011609613,9.79885765,329,300.3042799,2682610,15.45315102,2241.223395,135,1051.5,10877.25,7,20.51210853,435.4917884,2648.902967,-92.54835483,6
2,0.289473684,0.005608529,-0.037146187,0,155.1194216,1623.246486,21.17268022,0.030333582,66,861,0.040092879,0.023968592,0.563636364,43.65092656,217.2393697,239.2363636,594,2162.416667,1683,438,0.015151515,5617,0.333333333,61.25,9.2,18.40604073,1.568129015,26,67.8,0.200025579,3196.835294,347.5539044,-0.205795245,142046.2089,1.099508729,13.20168819,326,318.8661338,3554589,15.6387011,2771.277758,164,1177.5,12931.5,8,24.26258867,367.4898331,3953.935235,-90.81571575,6
6,0.105263158,0.00058358,-0.447825645,0,120.4154284,255.9990767,6.430580982,0.014267507,21,332,0.002167183,0.024867691,0.666666667,7.469537815,86.67087349,103.3333333,195.75,512,248,144,0.01369863,2258,0.333333333,15.59090909,3.7,5.701790351,0.391690584,4,27.2,0.070223525,1159.295855,126.3153492,-0.378230315,16437.63437,0.414837384,1.474694015,318,217.1696319,745056,5.388437951,1040.711255,66,378,4050.75,4,6.220767188,69.69140887,492.4890151,-160.5472532,3
8,0.342105263,0.026075556,0.154442088,0,159.2015116,1720.979585,25.47093037,0.036386676,72,828,0.052167183,0.04716381,0.397435897,72.92424128,219.5472796,204.025641,625.5,2486.25,1898,474,0.015873016,5337,0.5,79.625,10.3,18.09443761,1.512641793,25,66.2,0.200767711,3586.682928,399.5665179,-0.178017415,146737.7227,1.267719752,14.45527518,327,330.0623385,3687720,18.57229266,2697.437576,159,1147.5,13176.25,8,25.76210387,573.7446852,3984.630258,-82.8020382,6
9,0.184210526,0.00119547,-0.308110517,0,140.5405286,829.5065788,12.41242023,0.02072982,41,641,0.015944272,0.024512033,0.714285714,18.54862893,154.8549046,198.8571429,481.5,1188.833333,812,288,0.014285714,4272,0.333333333,32.29545455,6.7,11.88902556,1.305726391,23,50.6,0.139648472,2091.32197,219.8181861,-0.270204456,65741.01359,0.704420212,5.725587334,330,268.0391981,2016288,9.854107913,1981.768237,123,1017,8203.75,6,15.65595328,154.3136871,1930.268628,-117.0859702,6
11,0.184210526,0.003558359,-0.338666072,0,141.70684,830.0713008,12.50912245,0.02062216,42,652,0.015944272,0.001291309,0.571428571,28.36767654,157.2785808,185.4285714,490.5,1202.25,826,292,0.014492754,4307,0.5,32.85227273,7,12.41109744,1.387180538,25,51.4,0.140366675,2432.240951,219.1107502,-0.224505008,75040.16652,0.71593498,5.895400356,333,269.8341034,2052906,9.545560905,1991.0081,125,1030.5,8382,7,15.86522436,209.2006565,1946.706459,-115.4664911,6
12,0.236842105,0.009914039,-0.200967697,0,148.7047087,1199.556091,16.85579373,0.025467786,54,796,0.028018576,0.00477899,0.444444444,61.3317715,194.918231,206.5555556,544.5,1710,1287,376,0.014925373,5217,0.5,46.53409091,8.4,14.96255296,1.486811535,25,62.6,0.171657153,3345.038086,275.2356541,-0.182111364,113583.8719,0.912549745,9.269486246,331,298.5177431,2887680,12.10485129,2371.860915,152,1140,10425,8,20.18553556,392.0851319,2902.739205,-99.83900628,6
13,0.184210526,0.00363144,-0.383666072,0,141.70684,862.9680211,12.61851591,0.020513934,42,701,0.015944272,0.005765972,0.476190476,56.26323642,167.3749234,187.4761905,490.5,1249.5,889,310,0.014492754,4639,0.5,32.85227273,7,12.57742244,1.420390871,25,55,0.146310411,2881.492386,214.945344,-0.210208116,78838.84726,0.71995315,6.145037281,333,275.2188195,2239905,9.28739097,2043.966237,134,1071,8365.5,7,16.44508908,272.4769183,2113.074074,-114.9309254,6
35,0.394736842,0.048501006,0.274007922,0,163.8667574,1555.018449,29.99574957,0.042724617,80,817,0.064241486,0.022107459,0.342857143,110.883274,228.1617029,193.3714286,661.5,2838.75,2160,528,0.016393443,5247,0.5,99.03409091,10.8,19.58206915,1.54967883,26,66.6,0.204802425,3724.003659,455.3136036,-0.160621496,144343.5226,1.407741672,16.38419403,325,344.492036,3993000,22.15834395,2720.009696,159,1135.5,14236,8,27.72106693,673.3868134,4165.429063,-77.13190317,6
39,0.868421053,0.340866123,0.64774344,0,220.4328622,17908.75353,83.97737269,0.089719063,177,1380,0.172910217,0.067816504,0.134469697,603.531402,564.7493823,270.0037879,1098,8423.25,7854,1598,0.023255814,8637,0.5,359.625,23.1,35.93193932,1.962962963,26,115,0.384635824,7550.287208,1011.096485,-0.076524288,367410.4327,3.101904933,68.08054088,307,635.1063469,16182946,49.1466034,5002.882286,271,1531.5,29680.5,9,72.89923128,2645.091494,14546.48408,-38.5753402,6
22,0.342105263,0.024242132,0.08317827,0,162.1172902,2305.3336,26.01803709,0.035667984,77,953,0.052167183,0.017857972,0.397435897,91.71986977,250.9485592,237.5641026,648,2720.25,2210,522,0.015873016,6186,0.5,79.625,10.3,19.25898592,1.527128605,23,75.8,0.220949591,4157.245755,395.5882339,-0.168589102,168988.9384,1.264746944,17.01311852,327,346.8096876,4455792,18.49990623,3006.300462,183,1255.5,14358.5,8,28.43224425,659.3548548,4805.07207,-81.28943284,6
23,0.263157895,0.010918282,-0.11305092,0,152.203643,1417.161976,19.04681566,0.027999842,60,834,0.034055728,0.00822057,0.444444444,62.54507189,208.3805993,216.6666667,571.5,1950,1500,410,0.015151515,5466,0.5,54.09090909,9.1,16.17903512,1.442257756,23,66,0.186135185,3504.692003,305.2599117,-0.179152613,133622.7729,0.991419266,11.1681111,330,310.1478688,3252325,13.9165729,2552.986222,160,1170,11517,7,22.30278595,440.356184,3412.916112,-94.47116962,6
34,0.078947368,0.001185396,-0.285714286,0,92.87647395,29.10958293,3.729221609,0.012911525,12,96,0.008204334,0.030212372,0.333333333,6.933333333,31.52963631,25.33333333,81,215.0833333,57,50,0.010309278,629,0.333333333,5.488636364,3,2.118764521,0.118217849,1,9.4,0.022889935,450.6981944,78.66703369,-0.416953627,2567.00552,0.265087481,0.274679222,144,157.4940207,94275,4.066666667,310.7258718,22,150.75,1637.25,3,1.697442936,38.39760418,56.8381693,-197.7051523,3
37,0.105263158,0.004668202,-0.225689223,4,100.7961733,50.82090923,5.422479379,0.01557945,18,170,0.002167183,0.011871315,0.333333333,13.28190045,49.93389991,44,114,358.8888889,132,86,0.010989011,1144,0.333333333,9.863636364,3.7,3.797867979,0.210605439,2,15.6,0.040451235,819.7118193,106.0971947,-0.333760331,7374.256914,0.355639988,0.728122234,199,179.1280127,246820,5.40952381,536.0646782,37,223.5,2733.75,3,3.045416679,76.94508784,168.7668416,-168.0158991,3
