Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,Clustered Local Degree,DIL Centrality,I-GSM Values,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.049947971,0.002033235,-0.100067626,0,11032.79174,326533.5431,141.3090868,0.00123221,1433,113366,0.001513635,0.000206412,0.268617021,4761.119681,6111.317161,4467.025739,183984,571078,180144,9858,0.000476872,2680859,0.25,3405.818182,42.9,52.7955535,0.961200655,636,1530,0.030733449,2049345.029,26786.17885,-0.031317056,710380028.2,0.446582225,44.04103209,35341,21328.59896,26503592817,60.1183382,324438.6531,3801,372800,19080094.5,36,58.51214714,204213.8189,7.62E+28,-3404.13528,32
2,0.075962539,0.002071362,0.069329171,0,11510.4595,901374.9543,223.2193049,0.001685393,2257,169328,0.002843957,0.000574583,0.235540335,6922.732496,11245.25479,6549.051647,217965.5,969406.5417,409019,16608,0.000485437,4003308,0.25,5708.102273,60.7,80.89346732,1.165804353,719,2285,0.046346217,3163188.964,41621.64259,-0.022271442,1515182398,0.680571466,104.6034116,35329,22875.11957,50331889248,93.79968431,487118.4571,5676,443173,29574502.75,48,90.50147918,368965.742,1.73E+29,-2696.269203,34
3,0.044745057,0.000466609,-0.227445972,0,10893.51606,18688.3094,124.8159529,0.001044339,1364,107687,0.001247571,0.000130841,0.332225914,4729.401993,3727.974242,4223.45117,182539.5,500475.2083,152650,8992,0.0004649,2537423,0.25,2849.238636,40.9,51.28136011,0.950427895,637,1445.8,0.029686227,1820157.59,25206.62533,-0.035047068,671551354.1,0.417406013,40.49201354,34572,20979.60857,23226322512,54.03873689,307302.1891,3593,373081.5,18373833.25,37,54.7426518,155750.9847,7.11E+28,-3592.047673,33
4,0.089490114,0.00461618,0.158113276,0,11779.98567,1424968.922,270.2805875,0.002024173,2573,188880,0.003535724,0.001338239,0.149658003,7265.838577,29577.53365,7423.024867,231149,1198276.819,543520,20122,0.000502765,4472961,0.25,7353.977273,68.6,91.75655772,1.236918222,744,2579.6,0.051624394,3851230.096,48675.22302,-0.016542508,1872561242,0.812726911,132.8295666,36167,23728.63313,63565548915,106.5890406,546099.718,6406,468579.5,33333682.25,53,105.6437948,548733.2129,2.15E+29,-2452.608989,34
5,0.009365245,2.02E-06,-0.703175746,0,8616.670761,944.8177464,21.15628751,0.000340752,288,17760,0.000561667,0.001407861,0.805555556,1041.805556,32.48818356,921.866794,23033.25,67184.5175,5193,1244,0.000381971,416713,0.2,243.4090909,9,9.729438743,0.262613389,196,236.2,0.004956677,186203.8758,5206.295413,-0.142901272,18395122.65,0.084676521,1.427523101,20625,16396.70082,1670148372,11.51807915,51698.23112,586,50301,3582032.5,9,5.743066907,6341.274954,1.98E+27,-8058.761051,9
6,0.06867846,0.00126975,0.024837607,0,11344.01284,698327.8932,199.2325467,0.001543431,2021,151114,0.002471467,0.000297641,0.28018648,6441.898368,8655.928426,5896.802918,209703.5,846617.2917,332112,14486,0.000480769,3581613,0.25,4971.75,56.4,73.55215911,1.110425934,700,2052.4,0.041708981,2706420.133,37721.85024,-0.025819566,1252526226,0.621027905,84.29385151,35145,22375.0267,42161814449,83.57039796,437952.4846,5098,427048.5,26464115.5,46,80.50337024,294590.0058,1.40E+29,-2853.417653,34
7,0.023933403,5.86E-05,-0.538167995,0,9900.089408,2356.869829,61.09889701,0.00061231,768,59384,0.000183313,2.64E-05,0.391304348,2682.434783,1155.862516,2428.119372,97554.5,223719.2047,44344,4408,0.00042337,1392259,0.2,1095.897727,23,29.05669291,0.624854601,439,785,0.016798848,941409.8,13999.47177,-0.053771102,216812591.2,0.230448715,12.90151507,29563,18865.47991,9056804632,28.53883474,170916.5763,1951,203245.25,10479929,23,25.82552037,57717.18528,2.28E+28,-4968.679624,23
8,0.004162331,2.31E-05,-0.800562852,0,7940.062939,880.3484162,8.774994894,0.000264612,95,7140,0.000827731,0.000185808,0.333333333,348,18.28208927,506.7079371,6478,25103.27111,1044,542,0.000367782,170108,0.2,74.45454545,4,3.275170844,0.11217589,83,106.8,0.001767069,121887.7082,1936.897751,-0.264895658,2397732.707,0.033281083,0.16787151,13779,15005.79797,469687986,5.002635238,19775.04004,265,14562,1139541.5,4,1.517046953,4768.382069,2.52E+26,-12188.07643,4
9,0.189386056,0.011535378,0.452846206,0,13501.08551,45175460.35,653.3772849,0.003928806,5742,411944,0.00864416,0.004096593,0.167567239,15775.00097,54099.76157,16764.08305,315834.5,3529282.069,2459002,60328,0.000540833,9695924,0.25,20282.65909,128.3,204.2126955,1.747544241,823,5513.6,0.115639031,8200034.418,105430.4913,-0.011373615,7054127457,1.734537655,663.9993169,36708,30634.36478,2.71521E+11,229.1087028,1205637.607,13693,656548.5,75147460.75,76,288.1536114,1562621.338,1.08E+30,-1548.327168,34
10,0.070759625,0.000921988,-0.031122132,0,11452.4449,56608.08006,206.9408861,0.001520049,2216,171462,0.002577893,0.000451339,0.332309043,7391.650571,8422.612754,6455.490124,215016,899376.9722,377264,15788,0.000480077,4018664,0.25,5117,59,83.29519497,1.263995353,806,2260,0.049454438,2882449.536,40371.77452,-0.024876309,1630789199,0.66517167,109.5910343,35228,22713.1575,47395102360,84.83903347,502301.0973,5616,440912,30082718,50,91.34905119,280403.1893,1.97E+29,-2797.045926,34
