Lambda,Kendall_Tau,P_Value
0.0068,0.7610596888195026,5.172372538808612e-215
0.0083,0.7488658107028918,7.206256268877352e-209
0.0098,0.7400063351845907,2.1287862118060195e-204
0.0113,0.7270304144697751,1.213689439704744e-197
0.0128,0.7264046437599807,1.7709910334930645e-197
0.0143,0.7282513696424764,1.2824972890373686e-198
0.0158,0.7432278653805957,7.321756937541673e-207
0.0173,0.7545836307709668,3.182447658439367e-213
0.0188,0.7570201609023514,1.3023323766565798e-214
0.0203,0.7660920536134339,9.07010390127319e-220
