feature,rank
Extended Coreness,1
MCGM Values,2
Eigenvector Centrality,3
Semi local centrality,4
MDD Value,5
I-GSM Values,6
EHCC Value,7
PE Values,8
Coreness Centrality,9
Clustered Local Degree,10
Betweenness Centrality,11
P Value,12
GIN Values,13
Leverage Centrality,14
Global Relative Change in Avg Clustering,15
Node H-Index,16
Closeness Centrality,17
K-Shell Value,18
PageRank Centrality,19
Constraint Coefficients,20
Clustering Coefficient,21
Eccentricity Centrality,22
Degree Centrality,23
GSM,24
Volume Centrality,25
Second order centrality,26
HCC Value,27
DNC Scores,28
Global Relative Change in Avg Degree,29
Local-Global Centrality,30
Centrality Values,31
Improved Gravity Index Values,32
Gravity Index Centrality,33
DIL Centrality,34
Extended Improved Gravity Index Values,35
HVGc Index,36
Extended Degree,37
H Values,38
Subgraph centrality,39
Gravity Model Centrality,40
CLC Values,41
H-GSM_1,42
Societal Capital Scores,43
Isolating Centrality,44
GGC Values,45
Local Gravity Model Centrality,46
EIGSM Values,47
Density Centrality,48
Laplacian Centrality,49
LGC Scores,50
