Node,Spreading Ability,Rank
148,21.98,1
151,22.38,2
155,18.32,3
150,19.53,4
210,16.84,5
62,20.91,6
157,17.75,7
156,16.93,8
193,17.9,9
225,16.18,10
153,19.24,11
88,14.52,12
197,13.08,13
217,10.05,14
219,14.69,15
227,17.24,16
149,15.74,17
154,17.87,18
312,12.33,19
216,13.25,20
247,12.85,21
288,13.63,22
245,13.25,23
190,12.68,24
166,9.69,25
163,9.11,26
311,10.58,27
167,9.07,28
261,8.85,29
162,8.79,30
214,14.44,31
152,12.99,32
289,11.9,33
198,12.73,34
169,8.53,35
165,8.52,36
164,8.29,37
192,14.65,38
208,9.08,39
231,15.95,40
209,12.19,41
1,8.3,42
246,12.57,43
291,12.56,44
221,10.88,45
201,9.27,46
260,7.8,47
357,11.33,48
123,11.43,49
228,8.83,50
176,7.77,51
168,7.74,52
170,7.74,52
224,12.88,53
97,7.72,54
10,12.6,55
232,13.36,56
220,11.76,57
175,7.71,58
211,7.71,58
218,10.22,59
200,9.07,60
290,11.47,61
203,8.95,62
358,11.39,63
87,7.18,64
202,8.1,65
199,8.09,66
89,10.82,67
320,7.11,68
130,7.05,69
4,6.95,70
262,6.62,71
223,12.02,72
21,6.79,73
259,6.5,74
205,8.77,75
82,7.78,76
204,6.82,77
207,9.71,78
191,12.51,79
68,7.12,80
383,9.54,81
363,11.27,82
50,6.44,83
265,7.54,84
195,7.02,85
308,9.71,86
285,9.6,87
81,6.37,88
134,6.31,89
229,8.46,90
342,6.36,91
131,6.27,92
133,6.21,93
83,6.07,94
132,5.9,95
7,5.88,96
128,5.82,97
313,8.23,98
129,5.81,99
360,10.72,100
226,9.77,101
174,5.76,102
96,6.17,103
84,5.73,104
372,5.68,105
206,5.66,106
263,5.58,107
135,5.51,108
257,5.25,109
384,6.87,110
264,5.22,111
173,5.22,111
280,5.16,112
268,5.44,113
321,5.15,114
309,8.34,115
315,9.24,116
354,6.48,117
316,5.13,118
323,5.05,119
382,8.05,120
279,4.84,121
389,6.38,122
9,8.0,123
215,7.04,124
281,9.97,125
324,4.83,126
421,7.13,127
267,5.53,128
274,4.75,129
453,4.62,130
307,4.62,130
420,6.44,131
213,4.57,132
276,4.5,133
110,4.46,134
286,7.21,135
386,4.38,136
273,4.34,137
233,7.99,138
230,7.68,139
318,6.93,140
387,5.84,141
282,8.73,142
234,7.46,143
314,5.36,144
278,4.76,145
3,4.31,146
310,4.31,146
104,4.3,147
194,7.86,148
344,4.18,149
456,4.1,150
283,4.01,151
367,5.55,152
14,3.91,153
277,3.9,154
370,6.48,155
5,3.9,156
345,3.84,157
22,3.78,158
275,3.77,159
71,3.69,160
241,3.49,161
258,4.48,162
333,3.46,163
51,4.1,164
120,3.97,165
294,8.69,166
293,7.35,167
457,4.5,168
111,3.44,169
330,3.34,170
302,3.28,171
326,3.26,172
433,3.26,172
348,3.19,173
85,3.16,174
59,3.14,175
6,3.1,176
340,3.05,177
28,3.03,178
240,3.03,178
108,2.98,179
118,2.98,179
409,3.07,180
317,5.61,181
25,3.07,182
2,2.96,183
238,2.96,183
95,3.23,184
107,3.42,185
67,2.9,186
343,2.88,187
100,2.85,188
222,4.08,189
