Global Relative Change in Avg Clustering,Isolating Centrality,Clustering Coefficient,Betweenness Centrality,Eccentricity Centrality,Closeness Centrality,Leverage Centrality,K-Shell Value,Eigenvector Centrality,PageRank Centrality,Volume Centrality,GSM,Constraint Coefficients,Subgraph centrality,Second order centrality,GGC Values,DIL Centrality,Global Relative Change in Avg Degree,Clustered Local Degree,H Values,CLC Values,Node H-Index,P Value,GIN Values,DNC Scores,Average Spreading Ability
0.2758316607851615,0.0,0.5999999997,0.06482518034887891,0.23809523999999982,0.5615383949101963,0.6133318353669774,1.0,0.23701041668603,0.37619285484425924,0.6009615384615384,0.6588792450972665,0.7820502024938704,0.10265172820550376,0.8163541525672273,0.16198274137051558,0.15438345987011529,0.22222222029091993,0.40864367801061374,0.09836524916196368,0.26565101815648806,0.6000000000000001,0.39473684210526316,0.5578432199478625,0.3556555966857605,0.33118279569892467
0.07281002563934927,0.0,0.49999999925,0.07687242809494191,0.5555555599999997,0.7025741477549193,0.623795378877597,1.0,0.40592756070147884,0.4441936846626947,0.7788461538461539,0.7890407319912427,0.8666398438452795,0.20132249727664392,0.8789994418271371,0.29846409993003464,0.22171069303971286,0.33333333912724017,0.5630651339262289,0.21225751704756665,0.4553807383092717,0.8,0.5789473684210527,0.6978412390594342,0.45000414595352944,0.4333333333333333
0.2923595669404301,0.0,0.250000000375,0.036548962630080624,0.23809523999999982,0.4345238550157974,0.6532287672735634,0.6666666666666667,0.12441074227166482,0.31136731852977684,0.326923076923077,0.48053917108886157,0.8255429399515465,0.04056661911317064,0.7395954942838128,0.131852784241475,0.11449943029903041,0.11111111883632022,0.18206896545027346,0.03550932974386531,0.17471107282993453,0.4000000000000001,0.18421052631578946,0.3962115917780916,0.24862091343735176,0.2236559139784946
0.3539864496227386,0.45,0.3749999998125,0.2639784974045549,0.23809523999999982,0.6030125303859183,0.8726470201836013,1.0,0.6700330523402982,0.791791097311082,0.7451923076923077,0.8017440658754025,0.9636460643423054,0.4941648599451702,0.9296213089459718,0.5592908043058002,0.67517457636223,0.6666666782544803,0.690344827332287,0.4810403558404822,0.6636786065056361,1.0000000000000002,0.9999999999999999,0.7532664571339982,0.7363908173771311,0.6322580645161289
0.33135893616530654,0.0,0.49999999925,0.11746004414261914,0.5555555599999997,0.6321565174769664,0.7314017168104726,1.0,0.25508284801611125,0.4681350966096042,0.5673076923076923,0.7022536913737427,0.8311854370731913,0.12935058655759651,0.8612117413412317,0.2233735156079933,0.23116308872779506,0.33333333912724017,0.4147126435256229,0.12811080638915556,0.30914592418364273,0.8,0.368421052631579,0.5916691158517235,0.44723865652315864,0.33655913978494617
0.4464623699427083,0.0,0.5999999997,0.0934649455192847,0.5555555599999997,0.6704082552890985,0.6988339362449284,1.0,0.25324704570247347,0.4579316189466126,0.576923076923077,0.743110359832285,0.8149182580507939,0.13812866437017116,0.8711502941850996,0.21170064133931013,0.1563534552184318,0.33333333912724017,0.47944827568572007,0.1327278071542764,0.3196628496716586,0.8,0.42105263157894735,0.6199816821374313,0.44503894627688034,0.33655913978494617
0.04062943093736526,0.0,0.3863636368068181,0.24964834440040967,0.5555555599999997,0.827664522137966,0.9391993119236989,1.0,0.9999999999999999,0.9999999999999999,0.8509615384615384,1.0,0.9826365221017571,1.0,1.0,0.9766948890832089,0.9999999999999999,1.0,1.0,1.0,0.9930768036766812,1.0000000000000002,0.8684210526315789,0.988794812111186,0.9999999999999999,1.0
0.20186482458364968,0.0,0.35714285682142854,0.13411455469389041,0.5555555599999997,0.6704082552890985,0.7592328749696056,1.0,0.5190825548079737,0.5510154837175602,0.701923076923077,0.7690129534911969,0.933963271802702,0.29919005769453416,0.895490780972709,0.39081022067892296,0.3406093792112958,0.44444444058183985,0.5332019702038797,0.29380485546246987,0.5467469658217364,0.8,0.7105263157894737,0.6935748270223998,0.5426553578042221,0.5612903225806452
0.04217129626319818,0.0,0.3749999998125,0.5766642562301582,1.0,0.9422220455919973,0.7276942391379776,1.0,0.6576982625736606,0.6273596221982,0.9423076923076924,0.9636829620377922,0.9592309564507296,0.44174874705150996,0.9669569720877873,0.6389124562815416,0.5512459270583119,0.55555555941816,0.7535632181136319,0.45789438094000207,0.7433792369738133,1.0000000000000002,0.7631578947368421,0.8907796461465991,0.5920098330783267,0.6172043010752688
0.01409215013131775,0.0,0.49999999925,0.009562616071444829,0.23809523999999982,0.5417439211604199,0.3566433534591695,0.6666666666666667,0.24995599752595163,0.17554025919665991,0.5865384615384616,0.5725067626435332,0.6813225145639368,0.06842814487923836,0.6902166175471387,0.09870901134956776,0.052659036276232765,0.0,0.2798467432258035,0.06546976609217142,0.24340347176099464,0.4000000000000001,0.2894736842105263,0.4965091732224578,0.17589878411726118,0.24086021505376337
