feature,rank
Local Gravity Model Centrality,1
Semi local centrality,2
Subgraph centrality,3
Gravity Index Centrality,4
MCGM Values,5
Global Relative Change in Avg Degree,6
K-Shell Value,7
P Value,8
Degree Centrality,9
GGC Values,10
Constraint Coefficients,11
PE Values,12
Volume Centrality,13
Second order centrality,14
Eigenvector Centrality,15
Clustered Local Degree,16
MDD Value,17
H Values,18
EHCC Value,19
Leverage Centrality,20
Closeness Centrality,21
DIL Centrality,22
Clustering Coefficient,23
Node H-Index,24
Isolating Centrality,25
CLC Values,26
HVGc Index,27
Coreness Centrality,28
Betweenness Centrality,29
Eccentricity Centrality,30
Global Relative Change in Avg Clustering,31
GSM,32
LGC Scores,33
Local-Global Centrality,34
PageRank Centrality,35
Extended Coreness,36
GIN Values,37
H-GSM_1,38
Extended Degree,39
Societal Capital Scores,40
I-GSM Values,41
Gravity Model Centrality,42
Extended Improved Gravity Index Values,43
Laplacian Centrality,44
DNC Scores,45
Improved Gravity Index Values,46
Density Centrality,47
Centrality Values,48
HCC Value,49
EIGSM Values,50
