Lambda,Kendall_Tau,P_Value
0.2396,0.5646094322431964,1.1570015577487996e-162
0.2929,0.533645313552148,8.129227925324242e-146
0.3461,0.500588693859101,9.871438271923116e-129
0.3994,0.45201823753907594,2.0226180577862694e-105
0.4526,0.41810400586252083,1.6423940448520471e-90
0.5059,0.39443963584280595,8.659265156593814e-81
0.5591,0.37538692696860293,2.3118470528006348e-73
0.6124,0.36522269699513854,1.5058245726036623e-69
0.6656,0.3758348934897869,1.5316221247351318e-73
0.7189,0.39595523123277165,2.028125045188982e-81
