Node,Spreading Ability,Rank
44,28.56,1
103,27.72,2
268,27.15,3
88,19.95,4
83,24.19,5
251,21.69,6
72,15.0,7
95,15.75,8
93,20.86,9
279,13.63,10
65,20.97,11
116,14.82,12
81,13.23,13
112,14.63,14
121,19.26,15
320,15.32,16
273,16.52,17
507,12.61,18
106,18.07,19
258,13.55,20
269,12.35,21
109,15.7,22
195,14.63,23
94,13.87,24
503,10.15,25
84,12.59,26
276,9.86,27
227,9.81,28
117,11.42,29
104,13.44,30
101,13.93,31
102,12.4,32
198,10.44,33
92,12.31,34
315,15.22,35
235,12.21,36
280,9.73,37
97,11.27,38
76,10.31,39
318,12.63,40
398,12.32,41
105,9.36,42
241,11.8,43
100,9.23,44
261,11.22,45
270,10.29,46
110,9.4,47
182,10.98,48
375,9.71,49
230,8.98,50
79,8.94,51
411,11.35,52
505,8.85,53
364,9.7,54
197,9.18,55
349,9.24,56
183,10.94,57
245,10.34,58
272,9.16,59
319,9.02,60
271,9.79,61
309,9.41,62
77,8.76,63
576,8.41,64
244,7.64,65
502,7.52,66
255,11.01,67
85,10.16,68
508,9.6,69
199,9.08,70
414,8.04,71
118,7.71,72
82,11.19,73
257,8.09,74
331,12.32,75
340,8.31,76
178,7.79,77
250,8.14,78
259,9.09,79
504,7.41,80
231,8.73,81
530,7.39,82
461,7.22,83
460,7.07,84
412,7.07,84
363,6.79,85
277,6.78,86
108,6.73,87
264,6.38,88
313,9.11,89
548,8.24,90
74,6.3,91
253,7.44,92
240,6.19,93
420,11.04,94
90,9.59,95
499,9.34,96
510,8.07,97
115,7.31,98
471,6.2,99
490,8.9,100
513,7.14,101
481,6.34,102
328,6.87,103
336,6.16,104
312,6.1,105
316,7.71,106
305,9.13,107
377,7.47,108
323,6.04,109
275,9.42,110
317,8.31,111
246,5.9,112
476,5.48,113
98,8.8,114
522,5.27,115
111,5.2,116
252,5.17,117
274,7.63,118
123,6.05,119
236,7.66,120
492,5.73,121
96,5.13,122
593,5.1,123
419,5.09,124
516,8.03,125
262,6.94,126
347,6.2,127
314,5.79,128
247,5.02,129
586,5.01,130
407,4.98,131
225,5.22,132
322,7.06,133
249,4.84,134
307,8.68,135
202,4.83,136
584,6.37,137
311,4.78,138
229,4.64,139
605,6.42,140
393,6.57,141
185,6.37,142
416,6.22,143
60,6.27,144
446,4.62,145
243,4.76,146
462,5.51,147
588,4.61,148
242,6.39,149
127,5.97,150
200,5.37,151
493,8.81,152
521,4.76,153
578,4.62,154
201,5.65,155
62,6.56,156
284,6.16,157
113,4.71,158
487,4.59,159
410,7.66,160
171,5.58,161
330,5.18,162
745,4.46,163
346,4.4,164
520,4.8,165
28,4.35,166
267,4.23,167
234,4.22,168
146,4.15,169
232,4.43,170
298,5.76,171
506,4.48,172
324,4.09,173
380,5.45,174
283,4.26,175
714,5.12,176
263,4.98,177
301,6.35,178
266,7.34,179
344,5.38,180
210,4.8,181
478,4.79,182
63,4.69,183
594,5.8,184
519,4.26,185
571,4.08,186
310,4.06,187
448,5.44,188
306,4.89,189
494,5.98,190
288,5.96,191
545,4.05,192
287,4.0,193
216,4.98,194
509,4.16,195
281,4.82,196
165,4.23,197
130,3.98,198
326,3.95,199
248,6.31,200
479,5.95,201
653,4.05,202
282,4.64,203
515,5.24,204
223,3.94,205
595,3.89,206
226,3.84,207
120,3.83,208
321,6.08,209
551,3.81,210
265,5.38,211
379,3.76,212
759,4.43,213
71,3.72,214
547,3.87,215
587,3.7,216
406,4.0,217
190,3.66,218
256,4.37,219
443,3.63,220
173,3.58,221
188,3.58,221
401,5.45,222
333,5.08,223
496,5.85,224
500,3.78,225
296,4.42,226
351,4.94,227
99,4.26,228
352,3.74,229
482,3.63,230
610,3.57,231
779,3.55,232
337,3.55,232
613,3.96,233
345,3.5,234
641,5.45,235
690,5.2,236
470,5.15,237
50,3.85,238
518,3.99,239
458,4.1,240
154,3.73,241
517,3.48,242
238,3.46,243
217,3.37,244
222,3.75,245
619,7.14,246
304,3.3,247
615,4.63,248
137,3.26,249
143,3.26,249
429,5.46,250
348,4.87,251
661,3.24,252
408,5.17,253
329,5.27,254
233,4.0,255
192,3.58,256
542,3.22,257
523,3.21,258
498,3.17,259
119,4.2,260
69,3.16,261
114,6.03,262
501,4.16,263
568,3.49,264
750,4.12,265
483,3.47,266
260,5.1,267
440,3.61,268
800,3.17,269
599,3.2,270
86,3.12,271
590,4.86,272
387,4.09,273
170,3.12,274
592,2.99,275
38,2.99,275
1,2.96,276
783,2.96,276
49,2.96,276
186,3.37,277
327,4.75,278
654,4.31,279
660,2.94,280
145,3.22,281
278,3.25,282
495,3.91,283
64,2.91,284
543,2.83,285
561,4.44,286
622,4.71,287
224,2.75,288
360,3.2,289
335,4.28,290
742,2.82,291
300,4.73,292
303,3.98,293
497,3.69,294
193,3.05,295
459,3.53,296
591,2.71,297
758,2.71,297
438,2.7,298
12,2.61,299
477,2.98,300
302,4.02,301
54,3.26,302
606,3.4,303
616,3.21,304
562,2.98,305
334,3.19,306
756,2.56,307
61,2.53,308
651,2.76,309
511,2.49,310
122,3.63,311
194,2.92,312
213,2.47,313
362,2.47,313
696,2.47,313
824,2.41,314
386,2.4,315
389,2.4,315
643,3.92,316
342,3.27,317
191,3.27,317
172,2.38,318
512,3.97,319
39,2.37,320
392,2.36,321
663,2.35,322
167,2.35,322
719,3.35,323
151,2.42,324
70,2.34,325
415,3.91,326
525,2.75,327
52,2.3,328
339,2.26,329
485,2.25,330
214,3.55,331
747,3.2,332
667,2.38,333
399,2.86,334
489,2.66,335
166,3.7,336
776,3.29,337
374,2.55,338
463,2.6,339
67,2.37,340
761,3.09,341
73,3.0,342
299,2.86,343
621,2.32,344
582,2.23,345
405,2.22,346
413,2.22,346
441,2.18,347
573,2.18,347
449,3.24,348
135,2.8,349
400,2.17,350
753,2.15,351
847,2.12,352
834,2.11,353
491,2.1,354
597,3.05,355
66,2.76,356
215,2.08,357
434,2.08,357
254,3.68,358
664,2.06,359
455,2.04,360
376,2.03,361
228,2.02,362
297,2.52,363
332,4.58,364
6,2.01,365
11,2.01,365
726,2.0,366
708,2.33,367
124,3.84,368
163,2.8,369
418,2.74,370
445,2.49,371
239,2.49,371
557,1.98,372
51,1.97,373
357,1.97,373
447,3.34,374
