feature,score,rank
Isolating Centrality,0.000396341027713909,1
H-GSM_1,0.0006119915808963095,2
LGC Scores,0.002782325720225076,3
Local Gravity Model Centrality,0.0029245695940435246,4
Laplacian Centrality,0.0030225907236429705,5
I-GSM Values,0.003160403730917194,6
Societal Capital Scores,0.003462219856691373,7
Extended Degree,0.0034637873180018985,8
Gravity Model Centrality,0.0035548332193837684,9
Density Centrality,0.003555512305096098,10
EIGSM Values,0.0037287424947060055,11
MCGM Values,0.003810552417554902,12
Extended Coreness,0.003890413283554439,13
Semi local centrality,0.003934339960325883,14
GGC Values,0.004000466402649949,15
Coreness Centrality,0.0042139842802136895,16
EHCC Value,0.0044123279329343346,17
H Values,0.004423345472045703,18
Local-Global Centrality,0.0045248671459934275,19
Eigenvector Centrality,0.0046440666967557664,20
Clustered Local Degree,0.004923058122343171,21
GIN Values,0.0050029626616363565,22
Gravity Index Centrality,0.005051063407797818,23
Improved Gravity Index Values,0.005112335721148442,24
Extended Improved Gravity Index Values,0.005165194129097439,25
Subgraph centrality,0.00538289179008733,26
CLC Values,0.005565312452266102,27
HCC Value,0.005652669541148181,28
PE Values,0.006007887746346197,29
Centrality Values,0.006123709632987473,30
K-Shell Value,0.0062685186093274226,31
MDD Value,0.006286849555636187,32
Node H-Index,0.006303464441366535,33
HVGc Index,0.006642613948698917,34
GSM,0.006772548573714676,35
Degree Centrality,0.006902281923657605,36
Global Relative Change in Avg Degree,0.007366593118128595,37
P Value,0.008019104246481445,38
Betweenness Centrality,0.008533168099094102,39
DNC Scores,0.008843373613978245,40
Closeness Centrality,0.011313599159415433,41
PageRank Centrality,0.01401441276505655,42
Second order centrality,0.016909832556934123,43
Volume Centrality,0.01702262197176485,44
DIL Centrality,0.021632295566394233,45
Constraint Coefficients,0.023806823899311325,46
Global Relative Change in Avg Clustering,0.033394177188411645,47
Eccentricity Centrality,0.03716186361463181,48
Clustering Coefficient,0.04325250223837784,49
Leverage Centrality,0.0646194543489268,50
