Lambda,Kendall_Tau,P_Value
0.0264,0.6404218447061611,2.1372531284211893e-123
0.0323,0.6369701355054916,1.0048126553505418e-122
0.0382,0.6466399175171225,8.322745150006795e-127
0.0441,0.6427847104490896,1.1758781771752947e-125
0.0499,0.6528475366849437,8.108755311341776e-130
0.0558,0.6354742891080405,3.0938611814293314e-123
0.0617,0.6288804535312306,7.51873791270573e-121
0.0676,0.6356286994457802,1.644033971332385e-123
0.0734,0.6365829923396337,6.132324881591702e-124
0.0793,0.6379366471611174,1.6070177180661335e-124
