Starting Node,Average Spreading Ability,Rank
54,9.93,1.0
72,8.82,2.0
93,7.37,3.0
89,7.25,4.0
6,7.1,5.0
1,6.67,6.0
56,6.65,7.0
45,6.53,8.0
51,6.49,9.0
8,6.22,10.0
61,5.57,11.0
38,5.36,12.0
29,5.2,13.0
28,5.01,14.0
9,4.86,15.0
74,4.56,16.0
64,4.45,17.0
10,4.32,18.0
43,4.3,19.0
40,3.99,20.0
42,3.88,21.0
31,3.82,22.0
19,3.81,23.0
47,3.75,24.0
92,3.75,24.0
62,3.71,25.0
5,3.66,26.0
67,3.56,27.0
95,3.49,28.0
75,3.36,29.0
36,3.34,30.0
11,3.29,31.0
90,3.27,32.0
48,3.11,33.0
39,3.06,34.0
2,3.05,35.0
79,3.0,36.0
37,2.95,37.0
15,2.93,38.0
83,2.92,39.0
25,2.88,40.0
53,2.88,40.0
52,2.88,40.0
86,2.84,41.0
84,2.75,42.0
85,2.73,43.0
69,2.67,44.0
68,2.6,45.0
34,2.58,46.0
78,2.58,46.0
80,2.57,47.0
58,2.56,48.0
26,2.51,49.0
44,2.47,50.0
7,2.41,51.0
16,2.38,52.0
20,2.35,53.0
41,2.33,54.0
76,2.32,55.0
82,2.31,56.0
13,2.3,57.0
81,2.27,58.0
66,2.25,59.0
21,2.23,60.0
22,2.16,61.0
46,2.09,62.0
63,2.07,63.0
23,2.04,64.0
55,1.96,65.0
60,1.95,66.0
3,1.92,67.0
35,1.89,68.0
70,1.89,68.0
65,1.88,69.0
94,1.86,70.0
73,1.86,70.0
32,1.85,71.0
50,1.84,72.0
14,1.83,73.0
59,1.72,74.0
30,1.71,75.0
33,1.7,76.0
4,1.7,76.0
71,1.67,77.0
17,1.66,78.0
57,1.63,79.0
12,1.63,79.0
24,1.53,80.0
27,1.51,81.0
88,1.48,82.0
91,1.47,83.0
77,1.47,83.0
49,1.44,84.0
18,1.39,85.0
96,1.27,86.0
87,1.26,87.0
