feature,rank
P Value,1
Societal Capital Scores,2
Centrality Values,3
Improved Gravity Index Values,4
Extended Improved Gravity Index Values,5
Global Relative Change in Avg Degree,6
Subgraph centrality,7
Eigenvector Centrality,8
Constraint Coefficients,9
H-GSM_1,10
CLC Values,11
EIGSM Values,12
GGC Values,13
Second order centrality,14
Semi local centrality,15
Coreness Centrality,16
Clustering Coefficient,17
Closeness Centrality,18
Gravity Index Centrality,19
HVGc Index,20
GIN Values,21
Clustered Local Degree,22
Isolating Centrality,23
Betweenness Centrality,24
DNC Scores,25
DIL Centrality,26
PageRank Centrality,27
MCGM Values,28
Leverage Centrality,29
Volume Centrality,30
K-Shell Value,31
Node H-Index,32
Local Gravity Model Centrality,33
Global Relative Change in Avg Clustering,34
Eccentricity Centrality,35
PE Values,36
Local-Global Centrality,37
GSM,38
Extended Coreness,39
MDD Value,40
I-GSM Values,41
Gravity Model Centrality,42
Laplacian Centrality,43
Density Centrality,44
EHCC Value,45
HCC Value,46
Extended Degree,47
H Values,48
LGC Scores,49
Degree Centrality,50
