feature,score,rank
Isolating Centrality,0.0029101760116585626,1
Global Relative Change in Avg Clustering,0.002236093909291692,2
Centrality Values,0.0017657713909658695,3
Volume Centrality,0.0016210142914800975,4
Betweenness Centrality,0.0016113934175087472,5
Improved Gravity Index Values,0.0008159996662588724,6
PE Values,0.0007897061199606932,7
Extended Improved Gravity Index Values,0.0006888586657726194,8
Gravity Index Centrality,0.0005219275866648807,9
Closeness Centrality,0.0005113714202827894,10
Eccentricity Centrality,0.0004656094832761597,11
Semi local centrality,0.0004339508142760821,12
EIGSM Values,0.0004158437649951074,13
I-GSM Values,0.00032812738243736454,14
Second order centrality,0.0003117068735250046,15
Extended Coreness,0.0002990112033425252,16
GSM,0.0002510534038090818,17
Leverage Centrality,0.00024899824396773984,18
Eigenvector Centrality,0.00023271087024352797,19
GIN Values,0.00022989241130778982,20
CLC Values,0.00022164390198395944,21
P Value,0.00020427031188291166,22
Clustered Local Degree,0.00020027132107740037,23
Societal Capital Scores,0.00018962545143190408,24
HVGc Index,0.00018259342238040682,25
MCGM Values,0.00016712304709271756,26
LGC Scores,0.00016289212150214402,27
MDD Value,0.00015969162415770919,28
Extended Degree,0.0001554763766575208,29
H-GSM_1,0.00014031036930472647,30
HCC Value,0.00012643956666487084,31
H Values,0.0001242185696424086,32
EHCC Value,0.00010189075010712086,33
DNC Scores,8.519141557262314e-05,34
Density Centrality,8.317902688002834e-05,35
GGC Values,8.287968318224495e-05,36
Gravity Model Centrality,6.489022222040273e-05,37
Laplacian Centrality,5.9650418355640345e-05,38
Local Gravity Model Centrality,5.6210734427450007e-05,39
Subgraph centrality,4.195597597624954e-05,40
Local-Global Centrality,3.9987785905606816e-05,41
DIL Centrality,2.9570615051739522e-05,42
Constraint Coefficients,2.755661052177661e-05,43
Clustering Coefficient,2.3341159209710884e-05,44
PageRank Centrality,7.691344748982347e-06,45
Node H-Index,1.4792204006295467e-07,46
Degree Centrality,1.1338997820304307e-13,47
Global Relative Change in Avg Degree,1.1338997690171381e-13,48
Coreness Centrality,1.1338997690171374e-13,49
