Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.2222222222222222,0.0,0.0,0.0,0.6666666666666666
10,0.2857142857142857,0.05263157894736842,0.1111111111111111,0.1111111111111111,0.6666666666666666
15,0.2682926829268293,0.07142857142857142,0.25,0.07142857142857142,0.42857142857142855
20,0.24324324324324326,0.08108108108108109,0.21212121212121213,0.08108108108108109,0.48148148148148145
25,0.12698412698412698,0.1111111111111111,0.28205128205128205,0.0851063829787234,0.5625
30,0.049099836333878884,0.15384615384615385,0.30434782608695654,0.06779661016949153,0.4634146341463415
35,0.02169869807811531,0.16666666666666666,0.2727272727272727,0.057971014492753624,0.48936170212765956
40,0.024798512089274645,0.15942028985507245,0.2698412698412698,0.10526315789473684,0.45454545454545453
45,0.027898326100433975,0.15384615384615385,0.2676056338028169,0.13253012048192772,0.47540983606557374
50,0.03161810291382517,0.1744186046511628,0.2625,0.15384615384615385,0.463768115942029
55,0.0347179169249845,0.20652173913043478,0.27586206896551724,0.16161616161616163,0.48
60,0.038437693738375696,0.2079207920792079,0.2978723404255319,0.17757009345794392,0.4470588235294118
65,0.041537507749535026,0.21100917431192662,0.3333333333333333,0.1694915254237288,0.46153846153846156
70,0.044637321760694355,0.21367521367521367,0.3148148148148148,0.16535433070866143,0.45918367346938777
75,0.04773713577185369,0.22580645161290322,0.3217391304347826,0.17647058823529413,0.4528301886792453
80,0.05083694978301302,0.24615384615384617,0.32786885245901637,0.1888111888111888,0.4642857142857143
