feature,score,rank
Leverage Centrality,0.01978996836378139,1
Constraint Coefficients,0.0117258484651395,2
Clustering Coefficient,0.010798688814572932,3
Global Relative Change in Avg Clustering,0.00882501041247252,4
Second order centrality,0.006689380130152163,5
Eccentricity Centrality,0.0062518070695293795,6
DIL Centrality,0.005637826188473986,7
Volume Centrality,0.004716064861370841,8
PageRank Centrality,0.0033445342659645344,9
Closeness Centrality,0.0026395430308413345,10
P Value,0.0023564469644672854,11
DNC Scores,0.0019765813603632347,12
HVGc Index,0.0016725107105304258,13
PE Values,0.0016385375470868422,14
HCC Value,0.0016235657043783493,15
GSM,0.001621906982922002,16
Global Relative Change in Avg Degree,0.0016104313366188771,17
Centrality Values,0.001595642234191568,18
Clustered Local Degree,0.0015394027539182877,19
CLC Values,0.0015330141182823343,20
Degree Centrality,0.0013753522894259232,21
Subgraph centrality,0.001259233051588852,22
Extended Improved Gravity Index Values,0.0012483993215435408,23
EHCC Value,0.001238107558936793,24
GIN Values,0.0011758447090458662,25
Eigenvector Centrality,0.0011520487342248007,26
Semi local centrality,0.001119716125436904,27
Improved Gravity Index Values,0.0010919895758828336,28
Gravity Index Centrality,0.0010833632348243845,29
MDD Value,0.0010644123824924622,30
H Values,0.0010599364352284308,31
Coreness Centrality,0.0010511065095705713,32
Node H-Index,0.0010227499222782224,33
K-Shell Value,0.0010160498704673258,34
GGC Values,0.0009845159714181016,35
EIGSM Values,0.0009600779239737998,36
Betweenness Centrality,0.0009579286927803253,37
Local-Global Centrality,0.0009504185318454269,38
Extended Coreness,0.0009477431737659832,39
Societal Capital Scores,0.0009173457592374039,40
Extended Degree,0.0009027875900107955,41
MCGM Values,0.0008785433686659173,42
I-GSM Values,0.0007883570510186521,43
Gravity Model Centrality,0.0007831702751033251,44
Density Centrality,0.0007735861329065954,45
Laplacian Centrality,0.0007090158671176413,46
Local Gravity Model Centrality,0.0006726179925245924,47
LGC Scores,0.0006453010405850404,48
H-GSM_1,0.00012159964671149706,49
Isolating Centrality,2.720014398309514e-06,50
