Constraint Coefficients,Subgraph centrality,Degree Centrality,DNC Scores,HCC Value,Local-Global Centrality,Centrality Values,Semi local centrality,Volume Centrality,GIN Values,Extended Improved Gravity Index Values,Betweenness Centrality,Isolating Centrality,Leverage Centrality,PageRank Centrality,HVGc Index,Node H-Index,MDD Value,K-Shell Value,Global Relative Change in Avg Degree,P Value,I-GSM Values,Clustered Local Degree,LGC Scores,EHCC Value,Average Spreading Ability
1.0,0.930720073988506,0.9999999999999999,1.0,0.5393258424542355,0.8032090305929163,0.7777777777777778,0.6739130434782609,0.6666666666666666,0.575128541826389,0.696969696969697,0.3219223175062277,0.5,0.80000000072,0.8125641659881401,0.6029466876555687,0.5,0.8235294117647056,1.0,0.9999999999999999,0.3333333333333333,0.656054836198737,0.6666666666666665,0.6795981988223069,0.49180327868852447,0.4692082111436951
0.0,0.0020440095776959044,0.0,0.0,0.0,0.03232061305384987,0.1111111111111111,0.10869565217391303,0.1333333333333333,0.2007527208941542,0.2207792207792208,0.0,0.0,0.0,0.005497954732042509,0.008736598621504742,0.0,0.0,0.0,0.0,0.0,0.13020945994424893,0.0,0.024939383443020435,0.060109289672131166,0.241446725317693
1.0,0.9760778222736777,0.9999999999999999,1.0,0.6629213484661027,0.7943618565075388,0.8333333333333334,0.8043478260869565,0.7999999999999999,0.5739150724103093,0.8354978354978355,0.26662277807732554,0.0,0.680000000672,0.7445162883286097,0.8184899144789667,0.5,0.6470588235294117,1.0,0.9999999999999999,0.4444444444444445,0.7388041967750875,0.8333333333333333,0.8160720471077243,0.6147540983606556,0.5347018572825024
1.0,0.9608365170887665,0.9999999999999999,1.0,0.5280898878525437,0.8421220001864105,0.7222222222222221,0.7173913043478259,0.6666666666666666,0.6532997992191414,0.6233766233766234,0.447333772064546,0.0,0.680000000672,0.8190214052981343,0.7277348716392883,0.5,0.8235294117647056,1.0,0.9999999999999999,0.2222222222222222,0.7413153108173635,0.8333333333333333,0.7384828541738829,0.48907103819672126,0.6129032258064515
1.0,0.930720073988506,0.9999999999999999,1.0,0.5393258424542355,0.7987865952603526,0.7777777777777778,0.6739130434782609,0.6666666666666666,0.5665516780396358,0.696969696969697,0.3219223175062277,0.5,0.80000000072,0.8125512783513568,0.6029466876555687,0.5,0.8235294117647056,1.0,0.9999999999999999,0.3333333333333333,0.6533663809961109,0.6666666666666665,0.6795981988223069,0.49180327868852447,0.5835777126099706
0.0,0.0020440095776959044,0.0,0.0,0.0,0.031084720704200597,0.1111111111111111,0.10869565217391303,0.1333333333333333,0.19375869076378183,0.2207792207792208,0.0,0.0,0.0,0.005493955120627003,0.008736598621504742,0.0,0.0,0.0,0.0,0.0,0.12821576974666882,0.0,0.024939383443020435,0.060109289672131166,0.2805474095796677
1.0,0.9760778222736777,0.9999999999999999,1.0,0.6629213484661027,0.7906541781162717,0.8333333333333334,0.8043478260869565,0.7999999999999999,0.5667638797341421,0.8354978354978355,0.26662277807732554,0.0,0.680000000672,0.7445105111121205,0.8184899144789667,0.5,0.6470588235294117,1.0,0.9999999999999999,0.4444444444444445,0.7367657069091303,0.8333333333333333,0.8160720471077243,0.6147540983606556,0.4848484848484849
1.0,0.9608365170887665,0.9999999999999999,1.0,0.5280898878525437,0.8367517436636251,0.7222222222222221,0.7173913043478259,0.6666666666666666,0.6428137413965878,0.6233766233766234,0.447333772064546,0.0,0.680000000672,0.8189899416883321,0.7277348716392883,0.5,0.8235294117647056,1.0,0.9999999999999999,0.2222222222222222,0.7376609468054353,0.8333333333333333,0.7384828541738829,0.48907103819672126,0.6256109481915932
1.0,0.9285914954958998,0.9999999999999999,1.0,0.5393258424542355,0.7215277001506957,0.6666666666666666,0.6304347826086956,0.5333333333333333,0.41012861958895086,0.6103896103896104,0.1288676751684032,0.5,0.80000000072,0.835422034108153,0.5008472643817689,0.5,0.8235294117647056,1.0,0.9999999999999999,0.3333333333333333,0.5670235469167298,0.6666666666666665,0.6120540353307933,0.4644808742622951,0.4574780058651026
0.0,0.002008862289926805,0.0,0.0,0.0,0.011153872279513699,0.1111111111111111,0.06521739130434778,0.1333333333333333,0.07804535188389439,0.20346320346320346,0.0,0.0,0.0,0.011980080513066649,0.008736598621504742,0.0,0.0,0.0,0.0,0.0,0.08317928545913122,0.0,0.02216834083824039,0.060109289672131166,0.15444770283479964
1.0,0.8936648488322982,0.9999999999999999,1.0,0.4157303371165257,0.6814297094316968,0.6111111111111109,0.4565217391304347,0.4,0.31485708362919773,0.5541125541125541,0.09924292376737494,0.5,0.8799999999520001,0.874751724121381,0.38173127049636724,0.5,0.8235294117647056,1.0,0.9999999999999999,0.2222222222222222,0.44159643165293294,0.5,0.4710772428126083,0.39071038245901635,0.49462365591397855
1.0,0.9760415227887331,0.9999999999999999,1.0,0.6629213484661027,0.769058446797497,0.8333333333333334,0.7608695652173914,0.7999999999999999,0.5233307211532079,0.8181818181818182,0.18466096122739267,0.0,0.680000000672,0.7500907689590691,0.8184899144789667,0.5,0.8235294117647056,1.0,0.9999999999999999,0.4444444444444445,0.7153371758331449,0.8333333333333333,0.8063733979909942,0.6147540983606556,0.4936461388074292
1.0,0.9285914954958998,0.9999999999999999,1.0,0.5393258424542355,0.7188099125848795,0.6666666666666666,0.6304347826086956,0.5333333333333333,0.40493051713239736,0.6103896103896104,0.1288676751684032,0.5,0.80000000072,0.8354204342635866,0.5008472643817689,0.5,0.8235294117647056,1.0,0.9999999999999999,0.3333333333333333,0.5657672300306723,0.6666666666666665,0.6120540353307933,0.4644808742622951,0.3470185728250245
0.0,0.002008862289926805,0.0,0.0,0.0,0.010365093129777458,0.1111111111111111,0.06521739130434778,0.1333333333333333,0.07363340927053352,0.20346320346320346,0.0,0.0,0.0,0.011979813872305622,0.008736598621504742,0.0,0.0,0.0,0.0,0.0,0.08218786191047434,0.0,0.02216834083824039,0.060109289672131166,0.24633431085043994
1.0,0.8936648488322982,0.9999999999999999,1.0,0.4157303371165257,0.6790633719824879,0.6111111111111109,0.4565217391304347,0.4,0.3103460004071448,0.5541125541125541,0.09924292376737494,0.5,0.8799999999520001,0.874751190839859,0.38173127049636724,0.5,0.8235294117647056,1.0,0.9999999999999999,0.2222222222222222,0.4405827295533814,0.5,0.4710772428126083,0.39071038245901635,0.4897360703812316
1.0,0.9760415227887331,0.9999999999999999,1.0,0.6629213484661027,0.7659037302097609,0.8333333333333334,0.7608695652173914,0.7999999999999999,0.5172737222658428,0.8181818181818182,0.18466096122739267,0.0,0.680000000672,0.7500886358329809,0.8184899144789667,0.5,0.8235294117647056,1.0,0.9999999999999999,0.4444444444444445,0.7137531009274637,0.8333333333333333,0.8063733979909942,0.6147540983606556,0.6549364613880742
1.0,0.860110657624765,0.9999999999999999,1.0,0.2921348317788158,0.6873248920730832,0.5,0.30434782608695654,0.19999999999999996,0.30916077651291696,0.3852813852813853,0.08640553072019246,1.0,1.0,0.9833916580371348,0.3533703196089678,0.0,0.8235294117647056,0.0,0.9999999999999999,0.1111111111111111,0.3016302789913222,0.33333333333333326,0.33321787322480084,0.2704918032786885,0.19550342130987292
0.0,0.0,0.0,0.0,0.0,0.010000321834521653,0.0,0.0,0.0,0.06041551825847469,0.0,0.0,0.0,0.0,0.05390978458715079,0.0,0.0,0.0,0.0,0.0,0.0,0.016900185384819855,0.0,0.0,0.0,0.05865102639296188
0.0,0.0,0.0,0.0,0.0,0.010000321834521653,0.0,0.0,0.0,0.06041551825847469,0.0,0.0,0.0,0.0,0.05390978458715079,0.0,0.0,0.0,0.0,0.0,0.0,0.016900185384819855,0.0,0.0,0.0,0.2013685239491691
1.0,0.860110657624765,0.9999999999999999,1.0,0.2921348317788158,0.6829024553981999,0.5,0.30434782608695654,0.19999999999999996,0.30058391332463663,0.3852813852813853,0.08640553072019246,1.0,1.0,0.9833758373519802,0.3533703196089678,0.0,0.8235294117647056,0.0,0.9999999999999999,0.1111111111111111,0.29894182388706037,0.33333333333333326,0.33321787322480084,0.2704918032786885,0.4711632453567937
0.0,0.0,0.0,0.0,0.0,0.008764429484872438,0.0,0.0,0.0,0.053421488128102324,0.0,0.0,0.0,0.0,0.05390480729294489,0.0,0.0,0.0,0.0,0.0,0.0,0.014906495187239743,0.0,0.0,0.0,0.07233626588465297
0.0,0.0,0.0,0.0,0.0,0.008764429484872438,0.0,0.0,0.0,0.053421488128102324,0.0,0.0,0.0,0.0,0.05390480729294489,0.0,0.0,0.0,0.0,0.0,0.0,0.014906495187239743,0.0,0.0,0.0,0.15640273704789825
1.0,0.8947067688870769,0.9999999999999999,1.0,0.48314606742330507,0.8658679622276233,0.6666666666666666,0.4782608695652173,0.4666666666666667,0.6744002531650028,0.5974025974025974,0.45572745317497776,0.5,0.8799999999520001,0.845217437985803,0.43845317235032805,0.5,0.8235294117647056,1.0,0.9999999999999999,0.3333333333333333,0.5833479802419749,0.5,0.5001731901627988,0.4535519126229507,0.5395894428152492
0.749999999625,0.46314442542352574,0.5000000000000001,0.5,0.35955056208559527,0.45223815023305275,0.38888888888888884,0.4565217391304347,0.4666666666666667,0.5871631216632605,0.4545454545454546,0.39104674130897804,0.0,0.360000000144,0.409399335691208,0.24440132659803618,0.5,0.588235294117647,1.0,0.46428572518367306,0.2222222222222222,0.5436965181759136,0.5,0.32871492899203325,0.3060109290163934,0.47507331378299117
1.0,0.9608141506893189,0.9999999999999999,1.0,0.730337078772882,0.9575369913318537,0.7222222222222221,0.7391304347826086,0.6666666666666666,0.8795392529622876,0.7402597402597403,0.9553982887549195,0.0,0.680000000672,0.7769425601583776,0.6823573501402873,0.5,0.6470588235294117,1.0,0.9999999999999999,0.5555555555555556,0.8405316386559457,0.8333333333333333,0.7384828541738829,0.6366120218032787,0.702834799608993
0.0,0.0010109894239846984,0.0,0.0,0.0,0.05272473648536763,0.055555555555555525,0.06521739130434778,0.06666666666666665,0.3080376543448087,0.16883116883116883,0.0,0.0,0.0,0.014770742718063001,0.0,0.0,0.0,0.0,0.0,0.0,0.13905619096037758,0.0,0.012469691721510218,0.04644808737704917,0.27077223851417404
