Clustering Coefficient,Constraint Coefficients,Degree Centrality,Global Relative Change in Avg Degree,Isolating Centrality,DNC Scores,K-Shell Value,DIL Centrality,Density Centrality,Node H-Index,Subgraph centrality,Local Gravity Model Centrality,H Values,Global Relative Change in Avg Clustering,HVGc Index,MCGM Values,Laplacian Centrality,LGC Scores,Gravity Model Centrality,MDD Value,Coreness Centrality,Local-Global Centrality,GGC Values,Gravity Index Centrality,Extended Degree,Average Spreading Ability
0.0,0.625,0.2499999922500001,0.1987179446467786,0.0,0.2205882353103374,1.0,0.07593457945980543,0.12142857139714286,0.5,0.1359161960088447,0.0963855421686747,2.2481976273709143e-05,0.0,0.06053600007731918,0.06497282946636082,0.1724137931034483,0.05545528101076742,0.16445916729429091,0.35714285714285715,0.3333333333333333,0.23615636674543228,0.11948051948051946,0.35135135135135137,0.21428571428571427,0.3896041964711492
0.0,0.625,0.2499999922500001,0.1987179446467786,0.0,0.2205882353103374,1.0,0.07009345795211372,0.10714285712040819,0.5,0.12507316217378783,0.07228915662650603,8.880731879078375e-06,0.0,0.03475809081875955,0.0512082677952555,0.13793103448275862,0.029501462625256738,0.125642810636825,0.35714285714285715,0.3333333333333333,0.20915696488526903,0.08311688311688312,0.3153153153153153,0.16666666666666666,0.4315689079637577
0.0,0.83333333375,0.49999998450000016,0.46581196309785244,0.0,0.4411764706206747,1.0,0.2570093458127347,0.3071428570844898,0.5,0.31793334471579043,0.26506024096385544,8.566312465245638e-05,0.0,0.24986623965424112,0.13569429229383126,0.3793103448275862,0.19113711333789757,0.3684758742540195,0.6071428571428572,0.5555555555555556,0.4498969714662859,0.3246753246753247,0.5315315315315315,0.4285714285714286,0.6776347162613257
0.0,0.625,0.2499999922500001,0.1987179446467786,0.0,0.2205882353103374,1.0,0.07009345795211372,0.10714285712040819,0.5,0.1247558902462732,0.07228915662650603,3.514394795278269e-06,0.0,0.03046177260604819,0.049676860723171956,0.13793103448275862,0.025144706541358065,0.11012493826379549,0.35714285714285715,0.3333333333333333,0.19105881920800705,0.07792207792207792,0.3153153153153153,0.16666666666666666,0.3977110157367668
0.0,0.625,0.2499999922500001,0.1987179446467786,0.0,0.2205882353103374,1.0,0.07009345795211372,0.10714285712040819,0.5,0.1247505817052027,0.07228915662650603,1.3910088668256001e-06,0.0,0.03046177260604819,0.04967571548595496,0.13793103448275862,0.024709030932968196,0.10151751962878153,0.35714285714285715,0.3333333333333333,0.1777891929685706,0.07792207792207792,0.3153153153153153,0.16666666666666666,0.24558893657606104
0.0,0.83333333375,0.49999998450000016,0.46581196309785244,0.0,0.4411764706206747,1.0,0.2803738318084549,0.3285714285444898,1.0,0.33216438608302484,0.3012048192771084,9.731249546072456e-05,0.0,0.29300799189485777,0.1471652129429674,0.4137931034482759,0.22387502333976475,0.39847518173175106,0.39285714285714285,0.5555555555555556,0.4636520281847731,0.36363636363636365,0.5495495495495496,0.4761904761904763,0.8693371483071053
0.0,0.83333333375,0.49999998450000016,0.46581196309785244,0.0,0.4411764706206747,1.0,0.2570093458127347,0.3071428570844898,0.5,0.31793334471579043,0.26506024096385544,7.138593222985833e-05,0.0,0.24986623965424112,0.12614005048670535,0.3793103448275862,0.19113711333789757,0.3681339498967873,0.6071428571428572,0.4444444444444445,0.44878438714769736,0.3246753246753247,0.44144144144144143,0.4285714285714286,0.8869814020028612
0.0,0.83333333375,0.49999998450000016,0.46581196309785244,0.0,0.4411764706206747,1.0,0.2803738318084549,0.37142857137469387,0.5,0.3236988806079876,0.3373493975903614,0.00011542251522870503,0.0,0.32599874342076796,0.17393060375622674,0.4482758620689655,0.2949523868799403,0.46093509867812327,0.6071428571428572,0.5555555555555556,0.5033442060646223,0.43376623376623374,0.6396396396396397,0.5238095238095238,0.9237005245588936
0.0,0.83333333375,0.49999998450000016,0.46581196309785244,0.0,0.4411764706206747,1.0,0.303738317804175,0.37142857137469387,1.0,0.355091380501149,0.37349397590361444,0.00012096057509918673,0.0,0.3869047466464923,0.177753895649202,0.48275862068965514,0.3296197174332483,0.47880833630363206,0.49999999999999994,0.5555555555555556,0.5070088612955925,0.45714285714285713,0.6216216216216216,0.5714285714285714,0.9651883643299952
0.0,1.0,0.9999999999999999,1.0,0.0,0.8823529412413496,1.0,0.9999999999999999,1.0,1.0,0.684108463010948,0.819277108433735,0.00030950693376079923,0.0,0.831208135633536,0.3551312240344184,0.896551724137931,0.7234082280450613,0.9823179068820775,0.8928571428571428,1.0,1.0,1.0,1.0,0.8571428571428571,0.8893657606103957
0.0,0.625,0.2499999922500001,0.1987179446467786,0.0,0.2205882353103374,0.0,0.07593457945980543,0.12142857139714286,0.5,0.1359161960088447,0.0963855421686747,1.685658189774598e-05,0.0,0.06053600007731918,0.0401328374767149,0.1724137931034483,0.05545528101076742,0.16394006793339064,0.24999999999999994,0.2222222222222222,0.23442840377799629,0.11948051948051946,0.1081081081081081,0.21428571428571427,0.5703385789222698
0.0,0.625,0.2499999922500001,0.1987179446467786,0.0,0.2205882353103374,1.0,0.07593457945980543,0.12142857139714286,0.5,0.13603215912116268,0.0963855421686747,3.9832080621705215e-05,0.0,0.0712767956090976,0.06804119608708073,0.1724137931034483,0.06541358063110723,0.19130186507937885,0.35714285714285715,0.3333333333333333,0.26583603440243997,0.12987012987012986,0.35135135135135137,0.21428571428571427,0.6638054363376251
0.0,0.625,0.2499999922500001,0.1987179446467786,0.0,0.2205882353103374,1.0,0.07885514019612794,0.13571428567387755,0.5,0.14559651467148438,0.1204819277108434,0.0015013497765028335,0.0,0.08631390935358736,0.07823840840469347,0.20689655172413796,0.079355200099583,0.1891108840703108,0.35714285714285715,0.3333333333333333,0.2505182323584122,0.15064935064935064,0.3873873873873874,0.26190476190476186,0.6776347162613257
0.0,0.9375,0.7500000077499999,0.7329059815489263,0.0,0.6617647059310121,1.0,0.5151869159480358,0.5928571427987754,0.5,0.4570142442240844,0.4578313253012048,0.001701408716988225,0.0,0.382251951640943,0.20951399202461687,0.5862068965517242,0.28051285243044755,0.546918767669741,0.6428571428571428,0.7777777777777777,0.6511404323769677,0.5142857142857142,0.7477477477477478,0.5952380952380952,0.8125894134477823
0.0,0.625,0.2499999922500001,0.1987179446467786,0.0,0.2205882353103374,1.0,0.07009345795211372,0.10714285712040819,0.5,0.1253719600452013,0.07228915662650603,0.00409693022718865,0.0,0.03905440903147092,0.055301559134732045,0.13793103448275862,0.03385821870915542,0.1427083333859265,0.35714285714285715,0.3333333333333333,0.22774531405299897,0.08831168831168831,0.3153153153153153,0.16666666666666666,0.5603242727706246
