feature,rank
I-GSM Values,1
Semi local centrality,2
GIN Values,3
MCGM Values,4
Closeness Centrality,5
Societal Capital Scores,6
Local-Global Centrality,7
Improved Gravity Index Values,8
Extended Coreness,9
Extended Improved Gravity Index Values,10
Coreness Centrality,11
LGC Scores,12
Clustering Coefficient,13
GGC Values,14
H-GSM_1,15
Clustered Local Degree,16
Global Relative Change in Avg Degree,17
K-Shell Value,18
Leverage Centrality,19
Density Centrality,20
Gravity Model Centrality,21
Constraint Coefficients,22
DIL Centrality,23
Second order centrality,24
PageRank Centrality,25
Eigenvector Centrality,26
HCC Value,27
H Values,28
HVGc Index,29
Node H-Index,30
Volume Centrality,31
Gravity Index Centrality,32
P Value,33
Global Relative Change in Avg Clustering,34
CLC Values,35
EHCC Value,36
PE Values,37
Eccentricity Centrality,38
Betweenness Centrality,39
GSM,40
Isolating Centrality,41
MDD Value,42
Local Gravity Model Centrality,43
Laplacian Centrality,44
Extended Degree,45
Centrality Values,46
DNC Scores,47
EIGSM Values,48
Subgraph centrality,49
Degree Centrality,50
