Node,Spreading Ability,Rank
329,7.95,1
341,8.07,2
355,7.79,3
356,8.04,4
350,7.32,5
331,7.12,6
352,6.56,7
351,6.45,8
339,6.25,9
340,6.15,10
324,5.49,11
211,5.18,12
353,4.83,13
362,5.35,14
332,4.7,15
335,4.61,16
322,4.57,17
333,4.57,17
330,4.44,18
361,4.37,19
328,3.98,20
348,3.94,21
354,4.2,22
359,4.08,23
220,3.93,24
338,3.83,25
347,3.69,26
337,3.64,27
360,3.89,28
346,3.52,29
345,3.44,30
368,3.43,31
126,3.32,32
336,3.4,33
371,3.3,34
357,3.12,35
343,3.11,36
334,3.02,37
325,2.96,38
379,2.73,39
375,2.7,40
372,2.55,41
364,2.44,42
349,2.44,42
344,2.39,43
374,2.24,44
377,2.22,45
327,2.15,46
326,2.13,47
323,2.1,48
367,2.1,48
369,2.02,49
366,1.96,50
363,1.93,51
380,1.92,52
370,1.86,53
321,1.83,54
376,1.65,55
378,1.58,56
365,1.38,57
381,1.36,58
358,1.3,59
342,1.26,60
373,1.15,61
