Lambda,Kendall_Tau,P_Value
0.0097,0.5756515997697356,1.2019713165873087e-178
0.0118,0.5810136625541663,1.3104805554969487e-183
0.014,0.5837217061020201,1.4956247790650144e-186
0.0161,0.5840285094946134,7.019375359759915e-188
0.0183,0.5887762787651694,5.05285379773987e-192
0.0204,0.5904651056428327,9.171269033894819e-194
0.0226,0.5928439656934595,7.492256468566931e-196
0.0247,0.6009253140092538,1.0880525359356842e-201
0.0269,0.6014186465858748,1.2469369788976558e-202
0.029,0.6044319254368701,5.20343652861552e-205
