Subgraph centrality,Degree Centrality,GSM,PageRank Centrality,GGC Values,Extended Coreness,Local Gravity Model Centrality,Centrality Values,Improved Gravity Index Values,Clustered Local Degree,Closeness Centrality,MDD Value,Local-Global Centrality,H Values,Density Centrality,Eigenvector Centrality,Constraint Coefficients,Global Relative Change in Avg Clustering,HCC Value,Node H-Index,Eccentricity Centrality,Laplacian Centrality,Global Relative Change in Avg Degree,Extended Degree,EHCC Value
2501.554854,0.263157895,150.4541758,0.028760873,265.8941289,655,1170,314.9251005,1021.5,184.6,0.015151515,8.5,18.49041534,9.032814517,54.09090909,0.15847043,-0.235256122,0.021013149,1.468634686,7,0.5,344,0.034055728,52.8,15.51496515
2648.902967,0.289473684,152.203643,0.032483626,435.4917884,691,1364,313.1206678,1051.5,173.6,0.015384615,8.9,20.67144062,9.79885765,62.125,0.163314294,-0.181810184,0.034442518,1.461117945,7,0.5,380,0.040092879,56.2,15.54762881
3953.935235,0.289473684,155.1194216,0.030333582,367.4898331,861,1683,347.5539044,1177.5,239.2363636,0.015151515,9.2,21.17268022,13.20168819,61.25,0.200025579,-0.205795245,0.023968592,1.568129015,8,0.333333333,438,0.040092879,67.8,18.40604073
492.4890151,0.105263158,120.4154284,0.014267507,69.69140887,332,248,126.3153492,378.0,103.3333333,0.01369863,3.7,6.430580982,1.474694015,15.59090909,0.070223525,-0.378230315,0.024867691,0.391690584,4,0.333333333,144,0.002167183,27.2,5.701790351
3984.630258,0.342105263,159.2015116,0.036386676,573.7446852,828,1898,399.5665179,1147.5,204.025641,0.015873016,10.3,25.47093037,14.45527518,79.625,0.200767711,-0.178017415,0.04716381,1.512641793,8,0.5,474,0.052167183,66.2,18.09443761
1930.268628,0.184210526,140.5405286,0.02072982,154.3136871,641,812,219.8181861,1017.0,198.8571429,0.014285714,6.7,12.41242023,5.725587334,32.29545455,0.139648472,-0.270204456,0.024512033,1.305726391,6,0.333333333,288,0.015944272,50.6,11.88902556
1946.706459,0.184210526,141.70684,0.02062216,209.2006565,652,826,219.1107502,1030.5,185.4285714,0.014492754,7.0,12.50912245,5.895400356,32.85227273,0.140366675,-0.224505008,0.001291309,1.387180538,7,0.5,292,0.015944272,51.4,12.41109744
2902.739205,0.236842105,148.7047087,0.025467786,392.0851319,796,1287,275.2356541,1140.0,206.5555556,0.014925373,8.4,16.85579373,9.269486246,46.53409091,0.171657153,-0.182111364,0.00477899,1.486811535,8,0.5,376,0.028018576,62.6,14.96255296
2113.074074,0.184210526,141.70684,0.020513934,272.4769183,701,889,214.945344,1071.0,187.4761905,0.014492754,7.0,12.61851591,6.145037281,32.85227273,0.146310411,-0.210208116,0.005765972,1.420390871,7,0.5,310,0.015944272,55.0,12.57742244
4165.429063,0.394736842,163.8667574,0.042724617,673.3868134,817,2160,455.3136036,1135.5,193.3714286,0.016393443,10.8,29.99574957,16.38419403,99.03409091,0.204802425,-0.160621496,0.022107459,1.54967883,8,0.5,528,0.064241486,66.6,19.58206915
