Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,Clustered Local Degree,DIL Centrality,I-GSM Values,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.001759015,0.000369659,-0.214285714,0,172.0491214,104.4233387,0.314876882,0.000694662,4,13,0.000493441,0.000879507,0,7,3.3,39.23854317,12.5,78.33928639,14,20,6.85E-05,56,0.041666667,2.068181818,2,0.942448331,0.268680445,25,4,2.40E-07,56,10.9,-0.5,59.44000465,0.011387585,9.61E-07,18,280.8000224,1950,2,86.40879921,9,19.5,44.5,2,0.221454866,18.77012568,2.459509115,-9146.374587,2
2,0.001759015,0.000150714,-0.1,0,168.8902052,102.3560696,0.308830991,0.000678048,4,10,0.000493441,0.007648987,0,5,3.166666667,37.22158217,11,74.31244766,10,16,6.72E-05,43,0.041666667,1.75,2,1.264228935,0.224006359,22,3.2,4.75E-07,43,12,-0.5,54.58775937,0.010650546,1.90E-06,19,275.6891188,1544,2.333333333,88.1290739,7,17,51.5,2,0.193774648,12.11056705,2.377686773,-9280.441612,2
3,0.004397537,0.004945636,0.44047619,5,191.4997564,116.6288763,0.871989737,0.001617317,9,19,0.002552864,0.000879507,0,10,19.93333333,49.18721705,22.5,244.8578928,50,50,7.38E-05,97,0.043478261,9.943181818,3.5,2.090143084,0.449761526,42,7,6.74E-07,97,28.5,-0.2,287.3744943,0.030163109,6.07E-06,25,310.2718514,7800,5,229.2439361,15,27.5,112.25,2,0.605543427,65.98911409,5.083144743,-7859.029681,2
4,0.002638522,0.001536973,-0.044444444,0,184.7335159,111.6745025,0.506486439,0.000885234,6,22,0.001179915,0.005551498,0.333333333,14.66666667,5.428571429,48.89053074,18,146.2854452,33,34,7.20E-05,113,0.043478261,4.295454545,2.7,2.886645469,0.77154213,99,6.2,2.04E-06,80.96803809,21.7,-0.459876543,250.0191883,0.017283634,1.22E-05,31,303.5082813,6868,3.6,155.3243748,14,32,106,2,0.432542303,15.89079412,4.137084669,-8317.188996,2
5,0.001759015,0.000229303,-0.314285714,0,174.9965129,106.136338,0.320799849,0.0006553,4,15,0.000493441,0.007648987,0,8,3.466666667,42.6787175,13.5,85.20755368,16,22,6.90E-05,71,0.041666667,2.227272727,2,1.597615262,0.376311606,41,4.4,5.70E-07,71,14.12,-0.5,97.04490555,0.012585401,2.28E-06,25,287.1310666,3003,2.333333333,98.81051029,10,24.5,61,2,0.262979731,19.61056705,2.546451747,-8738.622562,2
6,0.000879507,0,-0.666666667,0,168.651375,102.0951652,0.154448628,0.000406617,2,9,0.000193033,0.000879507,0,5,1,35.92428499,4,35.89273094,5,12,6.81E-05,40,0.041666667,0.636363636,1,0.613195548,0.163434022,14,2.6,1.41E-07,40,7.12,-1,16.55457485,0.007343527,2.82E-07,14,275.3853674,900,1,49.18721705,6,7.25,27.5,1,0.077855196,7.25,1.755739301,-10281.94824,1
7,0.001759015,0.003000122,-0.314285714,0,199.37503,120.7094366,0.365544087,0.000657926,4,15,0.000493441,0.000879507,0,8,3.466666667,52.49887879,13.5,104.8133893,16,22,7.77E-05,79,0.045454545,2.227272727,2,1.611128776,0.376311606,41,4.4,7.37E-07,79,15.72,-0.5,101.8971508,0.015920735,2.95E-06,26,327.9500266,3091,2,120.2676177,10,25,67.5,2,0.266441093,24.62551996,2.543067084,-8211.228659,2
8,0.002638522,0.005286655,-0.027777778,3,203.4170305,123.6117214,0.560207401,0.001009363,5,22,0.001179915,0.001217981,0,12,8.523809524,58.90351168,18,176.2453035,36,36,7.75E-05,129,0.045454545,5.011363636,2.7,1.981399046,0.455643879,43,6.6,1.54E-06,129,22.01,-0.333333333,244.3371769,0.02137827,7.68E-06,36,335.6239622,7722,3.066666667,169.6902966,15,36,91.25,2,0.467141675,50.222954,3.524592689,-7858.563221,2
9,0.002638522,0.000775012,-0.044444444,0,185.2010035,111.9778329,0.508010977,0.000877988,6,22,0.001179915,0.005551498,0.333333333,14.66666667,5.428571429,49.62329324,18,148.4779452,33,34,7.20E-05,113,0.043478261,4.295454545,2.7,3.038950715,0.77154213,99,6.2,2.06E-06,80.96803809,23.8,-0.459876543,270.8541206,0.019306161,1.23E-05,34,304.561053,7276,3.6,160.0487477,14,33.5,112,2,0.445518405,17.04598264,4.142439406,-8211.059592,2
10,0.005277045,0.005885688,0.258080808,0,209.3778673,126.6638565,1.14637165,0.001529659,12,44,0.003239338,0.024506042,0.266666667,27.86666667,16.85813492,68.47949942,32,408.7163863,132,86,7.83E-05,273,0.045454545,15.27272727,4.2,6.733068362,1.119554849,126,12.4,7.26E-06,209.0984364,51.10909091,-0.320848765,1204.384727,0.037401391,8.71E-05,45,345.3999472,31304,8.4,370.9027172,28,55.5,264,3,1.211159275,60.05182683,10.50739944,-7213.998996,2
