Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.018181818,0.115922139,0.347042663,9,283.6314027,112.1221955,3.921792226,0.004358349,26,127,0.007144617,0.000333256,0.166666667,63.17808858,152.5563944,49,118.5,1348.318774,378,174,0.000335345,899,0.083333333,38.65909091,6.3,6.732946574,0.751222842,69,22.2,0.017321914,760.9870707,147.9994477,-0.187516429,7781.139463,0.158928107,0.450369765,147,462.6799013,253866,12.22380952,1073.951138,51,204.75,1449.75,4,7.351940723,242.7919462,25.74817983,-1705.617737,3
2,0.008080808,0.013180001,-0.004884005,0,237.8787963,91.73811726,1.462885693,0.002288042,10,57,0.002053051,0.005294021,0.166666667,14.10974026,101.7962271,22.16666667,59.25,403.9143643,76,58,0.000292056,333,0.076923077,9.227272727,3.4,2.473059568,0.505782429,56,10,0.002484962,281.8784144,55.11416221,-0.292160494,1142.372502,0.06309178,0.024849623,83,382.313809,36714,4.8,415.0628544,23,105,464.5,3,2.03460443,59.04513412,6.277368661,-2401.181755,3
3,0.01010101,0.071800682,-0.087698413,0,252.4883222,94.83239029,1.890460032,0.002452906,18,131,0.003071364,0.001341127,0.3,20.66666667,121.041009,42.9,124.5,599.1348347,165,96,0.0002936,527,0.076923077,16.30681818,4.1,4.285974292,0.671065104,68,16.2,0.002224439,390.4112023,72.92481156,-0.303540567,3848.974496,0.079948161,0.040039905,146,400.1590101,123744,6.560606061,552.0580171,38,183.75,1118.25,4,4.210667184,75.56791703,17.60946047,-2519.557475,3
4,0.014141414,0.114947531,0.138369963,7,284.1368678,113.4317689,3.122852884,0.003568856,18,110,0.00510799,0.000533402,0.142857143,58.04312354,151.9580089,48,97.5,1048.799516,294,140,0.000352361,836,0.083333333,28.95454545,5.8,4.985629242,0.746634816,70,21,0.003073322,724.7099242,110.3275405,-0.187539127,5607.333555,0.129107406,0.055319803,133,470.3298816,163870,8.530952381,891.3184874,49,194.25,942.75,5,4.730863992,207.8291715,16.42562001,-1602.050184,3
5,0.008080808,0.000740433,-0.06043956,0,227.0775522,88.65292773,1.41181333,0.002183405,11,59,0.002053051,0.008558952,0.666666667,4.818181818,94.38783792,36.66666667,48.75,374.5188271,88,64,0.000288434,398,0.076923077,7.954545455,3.4,2.95059341,0.589845676,66,11.2,0.002474858,204.3400134,52.85526611,-0.543824749,1126.215868,0.05678746,0.027223439,55,368.62249,35360,6.380952381,435.3741569,26,90.75,457.25,3,1.723491907,18.5857863,10.1701519,-2346.479836,3
6,0.006060606,0,-0.365800866,0,226.0714855,87.61135167,1.055593398,0.001652064,9,55,0.001034738,0.004270106,1,3,93.6946982,42,44.25,279.3891203,63,54,0.000288351,374,0.076923077,5.25,3,2.58961817,0.57854624,66,10.2,0.002419693,137.586911,46.59812325,-0.585691015,982.0558903,0.052564113,0.021777233,56,367.8800482,29160,4.047619048,363.8495009,24,89.25,422.25,3,1.450079016,7.337522437,8.187811226,-2423.151249,3
7,0.016161616,0.018774311,0.403505645,8,252.3880673,101.9516138,3.153561619,0.004459809,18,85,0.006126304,0.010088641,0.214285714,26.35405983,116.9052686,37.64285714,74.25,920.2785961,248,134,0.000316256,579,0.076923077,27.36363636,5.9,4.547378,0.670003413,67,17.2,0.00289331,467.3211755,97.99598039,-0.243254116,3322.898167,0.11128243,0.052079578,76,411.2626195,101974,11.30952381,797.3307628,39,126.75,704.25,3,3.620716916,130.1874281,19.16102456,-2015.07664,3
8,0.002020202,0,-0.8,0,221.9051833,84.33838103,0.344864153,0.000714092,3,26,0.001001889,0.002306125,0,1,83.54102213,9,9.25,83.37276232,9,20,0.000287687,184,0.076923077,0.954545455,1,1.022485117,0.271262276,32,4.2,0.001847226,184,21.38312325,-1,125.8147689,0.024674065,0.005541678,50,359.803028,7410,1.166666667,152.5563944,10,19.25,204.75,1,0.323133058,12.02180019,2.35141982,-3352.603148,1
9,0.008080808,0.016664239,-0.179487179,0,261.5270064,100.662008,1.623177209,0.001814617,14,103,0.002053051,0.000441993,0.333333333,12.12718531,135.1136556,37.33333333,90.75,536.113645,112,76,0.000317259,860,0.083333333,10.81818182,3.7,4.583323854,0.650589618,70,13.6,0.038040293,616.2169271,87.41514838,-0.322942174,3783.706152,0.09044411,0.532564103,177,433.4797986,137636,4.93030303,633.0519852,32,195.75,1455.5,3,5.62681796,76.77905588,23.80844427,-1969.369401,3
10,0.012121212,0.033159939,-0.211082694,0,279.9097307,107.911216,2.58012355,0.002262883,26,258,0.004089677,0.001578874,0.4,29.6393315,175.513411,85.4,210,1040.418329,366,164,0.000319489,2117,0.083333333,24.81818182,5.7,9.448337315,1.297994161,137,28,0.106973957,1419.067537,173.5814573,-0.252257292,20241.23961,0.169274439,2.781322877,262,470.7628232,536690,7.842661913,1182.432399,67,445,3610.5,5,16.85743396,161.6366028,144.9703476,-1689.657951,4
11,0.004040404,0.004040404,0,2,194.8536988,74.71165634,0.602361224,0.001637319,4,11,1.64E-05,0.003020933,0,2.75,60.65169538,5,6.25,120.815249,10,16,0.000255363,73,0.071428571,1.75,1.7,0.60925947,0.079816479,6,3.2,0.000268047,73,15.08532468,-0.5,57.62041267,0.019971735,0.001072188,22,310.1243851,2264,2.166666667,142.7711845,7,9.25,108,1,0.231489663,13.09879615,2.399003005,-3750.034909,1
12,0.006060606,0.003149849,-0.206349206,0,212.8460635,82.33141761,0.988275354,0.001626504,9,38,0.001034738,0.003421225,0.333333333,6.695238095,80.81375564,18.66666667,39.75,240.979314,42,40,0.000268962,221,0.076923077,4.534090909,3,2.052439995,0.465172715,55,7.4,0.003487733,158.3534196,32.75666275,-0.43595679,534.1293208,0.037488717,0.031389594,47,342.7156411,14700,4.166666667,300.3666775,17,66.75,327,3,1.21276879,18.57233792,5.156607631,-2588.479884,3
13,0.008080808,0.039798798,0.086580087,0,207.9638151,83.59447996,1.317374964,0.002949924,6,28,0.002053051,0.001153544,0.166666667,12.87222222,75.80766955,17.5,20,300.7951036,60,50,0.000275786,169,0.0625,7.954545455,3.1,1.240738634,0.322109733,32,8.4,1.86E-05,143.0554115,33.17965368,-0.317743764,425.7567114,0.046731149,0.000111315,38,335.4376803,13600,4.428571429,288.4173866,19,41.5,142.25,3,0.866646684,46.70399973,5.229057743,-3116.922161,2
14,0.014141414,0.108765451,0.38970474,7,251.1721459,98.79462634,2.714891368,0.004251694,15,69,0.00510799,0.007958514,0.095238095,44.80808081,110.6237868,25.19047619,53.5,763.5147034,161,102,0.000313676,342,0.066666667,22.27272727,5.2,3.642513176,0.411102264,36,13.4,0.00014842,310.9315035,72.14311688,-0.211592971,2023.235093,0.086839093,0.002226295,94,402.4034949,83793,9.366666667,613.260517,30,81.5,538,3,2.807914087,119.1655089,12.61906727,-2361.738443,2
15,0.006060606,0.0253024,-0.180952381,0,210.3591686,83.68897383,0.996322218,0.00209235,6,26,0.001034738,0.001153544,0.333333333,6.366666667,76.94330125,18.66666667,20,229.4379688,42,40,0.000277778,164,0.0625,5.011363636,2.7,1.266181322,0.310810298,32,7.4,1.84E-05,117.5111349,31.88108225,-0.429846939,373.4493766,0.044255889,0.000110124,41,338.4605688,11320,3.261904762,246.5136827,17,41.5,154,3,0.742853925,25.25158604,4.330550053,-2877.554974,2
16,0.004040404,0.004040404,0,2,175.5472523,69.85267156,0.55532507,0.001853705,3,7,1.64E-05,0.003020933,0,2.75,49.06928468,5,4.25,97.74364608,10,16,0.000242836,48,0.058823529,1.75,1.7,0.425586774,0.079816479,6,3.2,2.04E-06,48,11.23857143,-0.5,45.48979948,0.016594074,6.12E-06,18,280.6864039,1568,2.166666667,110.261196,7,8.25,44.5,1,0.177161716,12.89535519,2.379550173,-4244.089038,1
17,0.006060606,0.027988386,0.185714286,3,176.9500778,71.40711885,0.845562547,0.002618006,4,9,0.001034738,0.003020933,0,6.733333333,51.78101386,7,5.5,154.4063025,21,26,0.000243546,63,0.058823529,3.818181818,2.4,0.586281424,0.11689986,9,4.6,2.06E-06,63,16.88857143,-0.333333333,98.88132086,0.027024302,8.25E-06,23,283.7177382,3263,3.166666667,152.3515642,10,11,55.25,2,0.299795342,27.59303279,3.183388693,-4220.180536,1
18,0.002020202,0,-0.75,0,202.1698439,78.14307867,0.315876103,0.000819047,2,15,0.001001889,0.00224894,0,1,66.55072043,7,5.5,66.41668075,7,16,0.000271592,90,0.0625,0.795454545,1,0.570393964,0.1592917,17,3.4,1.61E-05,90,15.35393939,-1,51.50312176,0.019485408,3.22E-05,29,324.5983797,3080,1.095238095,110.6237868,8,12.5,81.5,1,0.179768086,8.856513374,1.977775279,-3729.426829,1
19,0.006060606,0.004040404,0.1,3,203.749236,80.11598223,0.955394584,0.002229739,5,21,0.001034738,0.006157198,0.333333333,3.833333333,68.7199601,13.33333333,15.5,204.9167089,30,32,0.000271813,125,0.0625,4.056818182,2.4,1.024608501,0.288211428,32,5.8,1.83E-05,89.56641382,23.92108225,-0.506235828,179.0197815,0.029551877,9.15E-05,28,326.5805977,6912,4.095238095,224.6498194,13,29,116.25,2,0.542994219,15.28615291,4.04074826,-3331.359753,2
20,0.004040404,0,-0.377777778,0,203.2472158,79.29262463,0.635628583,0.001450757,4,20,1.64E-05,0.006157198,1,2,68.83256147,20,14,137.1111393,20,26,0.000271739,120,0.0625,2.227272727,2,0.981875403,0.282561711,32,5.2,1.81E-05,44.14553294,21.59251082,-0.770975057,134.1429291,0.027485774,7.24E-05,29,326.4248526,5616,2.428571429,179.3437469,12,29.5,110.5,2,0.437365883,2.826892667,3.309121227,-3333.046725,2
