Gravity Model Centrality,Laplacian Centrality,GSM,Extended Improved Gravity Index Values,I-GSM Values,Second order centrality,Centrality Values,GGC Values,Eccentricity Centrality,Closeness Centrality,DNC Scores,PE Values,HVGc Index,P Value,Clustered Local Degree,Eigenvector Centrality,Isolating Centrality,Extended Coreness,Clustering Coefficient,Global Relative Change in Avg Degree,MCGM Values,Subgraph centrality,PageRank Centrality,EIGSM Values,Semi local centrality,Average Spreading Ability
0.22815842582591617,0.19999999999999996,0.47726661215515565,0.3630136986301369,0.5055587857692454,0.23561592454837488,0.3484276729559749,0.3168710731477165,0.1307189445896877,0.24973015202845583,0.013333333400000202,0.4806861783894758,0.3145969864086058,0.25,0.7999999999999998,0.002758865955041309,0.12,0.5,0.5000000007499998,0.0,0.07616965338290138,0.19341654933813446,0.05266620096668162,0.31861202265354494,0.625,0.5052631578947369
0.22815842582591617,0.19999999999999996,0.47726661215515565,0.3630136986301369,0.5055587857692454,0.23561592454837488,0.3484276729559749,0.3168710731477165,0.1307189445896877,0.24973015202845583,0.013333333400000202,0.4806861783894758,0.3145969864086058,0.25,0.7999999999999998,0.002758865955041309,0.12,0.5,0.5000000007499998,0.0,0.07616965338290138,0.19341654933813446,0.05266620096668162,0.31861202265354494,0.625,0.3842105263157898
0.9999999999999998,1.0,0.5717635182410379,1.0,0.7366031960039532,0.14676334603233165,1.0,0.5835935811852907,0.06172840340192054,0.12774984576087722,1.0,1.0,0.9999999999999999,0.9999999999999999,0.8999999999999999,0.010402021906200033,1.0,1.0,0.10000000044999996,0.9999999999999999,0.2518520812978979,1.0,1.0,1.0,0.8125,0.7578947368421052
0.0974742085602337,0.06666666666666665,0.5481464275421488,0.14383561643835607,0.2159856359255352,0.46507791062956616,0.18364779874213844,0.2707760066920776,0.29629630255144046,0.5079142246255495,0.0,0.4015518284876589,0.09200983537333973,0.08333333333333333,0.46666666700000015,0.0,0.24,0.16666666666666652,0.5000000007499998,0.0,0.012319313420334543,0.1256292210419213,0.12503404774178906,0.1275753118364158,0.3125,0.557894736842105
0.04858794315774351,0.0,0.5879239584262574,0.08904109589041087,0.10766230331669058,0.6132880112229282,0.17610062893081768,0.4685699783361337,0.39682538710758375,0.6365690150990797,0.06666666680000022,0.32856256598837774,0.09024049501053721,0.0,0.0,0.003603134200051164,0.36,0.0,0.0,0.0,0.005395726334429474,0.002668596282274893,0.15726846164533304,0.06580195323481619,0.0625,0.368421052631579
0.5326115156862123,0.46666666666666656,0.6473589917100537,0.6438356164383561,0.48836968315451657,0.4018070579077113,0.7698113207547171,0.6764699092722208,0.20833333245370378,0.3820449494723537,0.4666666668,0.8733090572046267,0.5309416698262671,0.16666666666666669,0.3999999999999999,0.0040826272943488735,0.64,0.5,0.0,0.5000000128359371,0.12087698928763552,0.38785798452622344,0.5770179342480977,0.6494856048831077,0.5625,0.9999999999999998
0.0974742085602337,0.06666666666666665,0.5481464275421488,0.14383561643835607,0.2159856359255352,0.46507791062956616,0.18364779874213844,0.2707760066920776,0.29629630255144046,0.5079142246255495,0.0,0.4015518284876589,0.09200983537333973,0.08333333333333333,0.46666666700000015,0.0,0.24,0.16666666666666652,0.5000000007499998,0.0,0.012319313420334543,0.1256292210419213,0.12503404774178906,0.1275753118364158,0.3125,0.7894736842105263
0.4803329989427696,0.5333333333333332,0.35746665111057796,0.5205479452054793,0.39873184527604,0.09296568843335251,0.3427672955974844,0.26270720438430234,0.06172840340192054,0.12290254531208933,0.5333333334,0.4577063992698298,0.4585118705287603,0.9999999999999999,0.9666666670000001,0.6627511323082347,0.48,0.6666666666666665,0.5000000007499998,0.5000000128359371,0.5390671184776878,0.768718471404587,0.5033237108473818,0.5113360973710874,0.33333333333333326,0.3894736842105264
0.0,0.1333333333333333,0.0,0.18493150684931492,0.0,0.012003714598040283,0.0,0.0,0.0,0.0,0.20000000000000007,0.0,0.14922253968613652,0.9999999999999999,1.0,0.5330759409409782,0.12,0.33333333333333326,1.0,0.0,0.27828013269435964,0.39646704747086925,0.03562507769283352,0.12454831917182929,0.10416666666666674,0.5947368421052628
0.17155124475967765,0.1333333333333333,0.4484391629711446,0.23972602739726012,0.38012726803549457,0.26056513597548814,0.1572327044025158,0.5240826581370471,0.1307189445896877,0.25553465614920623,0.06666666680000022,0.2792361035965325,0.31659443878685345,0.9166666666666666,0.26666666699999997,0.563587954064244,0.12,0.33333333333333326,0.0,0.0,0.4329601977227789,0.11166320147173525,0.037574767926935815,0.2018141291966009,0.20833333333333326,0.5473684210526313
