feature,score,rank
Subgraph centrality,1.0363764868515091e-07,1
HVGc Index,1.3099655105097696e-07,2
H Values,2.258226839968458e-07,3
Gravity Index Centrality,2.6703331658106677e-06,4
Improved Gravity Index Values,2.7780320930315128e-06,5
MCGM Values,2.993094869618851e-06,6
LGC Scores,6.304279934643553e-06,7
Extended Improved Gravity Index Values,1.0180065053377874e-05,8
Extended Coreness,1.0336865573168375e-05,9
EIGSM Values,1.0789174119452127e-05,10
Semi local centrality,1.079700263617589e-05,11
Eigenvector Centrality,1.2516574307785966e-05,12
Coreness Centrality,1.3409154788424082e-05,13
Societal Capital Scores,1.4819591439896307e-05,14
Extended Degree,1.5020750365635216e-05,15
Local Gravity Model Centrality,1.7735263147411473e-05,16
Laplacian Centrality,2.171134005779507e-05,17
Clustered Local Degree,2.2474243779102565e-05,18
Gravity Model Centrality,2.6444179831996983e-05,19
I-GSM Values,3.479240687109808e-05,20
Centrality Values,4.073682394678535e-05,21
EHCC Value,4.338203445364286e-05,22
PE Values,6.068723344143656e-05,23
K-Shell Value,7.389842316907203e-05,24
Local-Global Centrality,7.447206371147264e-05,25
Density Centrality,7.484019104841977e-05,26
CLC Values,7.900121543302774e-05,27
Node H-Index,8.76809219947372e-05,28
DNC Scores,0.00013102216426952307,29
Degree Centrality,0.00014126255136726051,30
MDD Value,0.00014885944348230762,31
Global Relative Change in Avg Degree,0.00015731484672409923,32
H-GSM_1,0.000323371103604142,33
GGC Values,0.00046808393995945163,34
HCC Value,0.0009460134383307839,35
GIN Values,0.00123514843551642,36
GSM,0.0012398466903653649,37
Constraint Coefficients,0.0016557162290159466,38
P Value,0.0022585173171647543,39
Volume Centrality,0.002325535584771332,40
Clustering Coefficient,0.002945345237191588,41
Closeness Centrality,0.004163424537072746,42
Second order centrality,0.004269275208717227,43
Isolating Centrality,0.004773868264012826,44
PageRank Centrality,0.0049304597309753895,45
Leverage Centrality,0.009500762063347157,46
DIL Centrality,0.009912089510753286,47
Eccentricity Centrality,0.01125181100540762,48
Betweenness Centrality,0.0144424761965265,49
Global Relative Change in Avg Clustering,0.015805580500448224,50
