Lambda,Kendall_Tau,P_Value
0.1767,0.6167206944158058,1.4425751252983304e-211
0.2159,0.6093675429549845,4.469613772141598e-207
0.2552,0.5930888702616551,1.5050939749082032e-196
0.2945,0.574067102218375,1.8164174132927714e-184
0.3337,0.5578973965272671,1.8166911308403592e-174
0.373,0.5357331887598293,4.056080873872633e-161
0.4123,0.5200643076439574,5.4037183142836425e-152
0.4515,0.5205292419291228,2.6772290949739796e-152
0.4908,0.5150747229443352,3.4541660680842686e-149
0.5301,0.5136799293817816,2.0735711657804127e-148
